Wavelength(nm)	n	k
206.64	1.83	0
210.14	1.83	0
213.77	1.83	0
217.52	1.83	0
221.4	1.83	0
225.43	1.83	0
229.6	1.83	0
233.93	1.83	0
238.43	1.83	0
243.11	1.83	0
247.97	1.83	0
253.03	1.83	0
258.3	1.83	0
263.8	1.83	0
269.53	1.83	0
275.52	1.83	0
281.78	1.82	0
288.34	1.82	0
295.2	1.82	0
302.4	1.81	0
309.96	1.81	0
317.91	1.81	0
326.28	1.8	0
335.1	1.8	0
344.4	1.8	0
354.24	1.8	0
364.66	1.79	0
375.71	1.79	0
387.45	1.79	0
399.95	1.79	0
413.28	1.78	0
427.54	1.78	0
442.8	1.78	0
459.2	1.78	0
476.87	1.78	0
495.94	1.78	0
516.6	1.77	0
539.07	1.77	0
563.57	1.77	0
590.41	1.77	0
619.93	1.77	0
652.55	1.77	0
688.81	1.76	0
729.32	1.76	0
774.91	1.76	0
826.57	1.76	0
885.61	1.76	0
953.73	1.76	0
1033.21	1.75	0
1127.14	1.75	0
1239.85	1.75	0
1377.61	1.75	0
1549.81	1.75	0
1771.22	1.74	0
2066.42	1.74	0
2479.7	1.73	0
