Wavelength(nm)	n	k
180	2.7215	0.3758
190	2.6863	0.2849
200	2.6042	0.1611
210	2.5121	0.0851
220	2.4315	0.0437
230	2.3664	0.0212
240	2.3137	0.00917
250	2.2714	0.0035
260	2.238	0.0013
270	2.2112	0.00047
280	2.1893	0.0002
290	2.171	0.0001
300	2.1555	0
310	2.1422	0
320	2.1306	0
330	2.1204	0
340	2.1114	0
350	2.1034	0
360	2.0963	0
370	2.0898	0
380	2.084	0
390	2.0787	0
400	2.0739	0
410	2.0695	0
420	2.0654	0
430	2.0617	0
440	2.0583	0
450	2.0551	0
460	2.0522	0
470	2.0494	0
480	2.0469	0
490	2.0445	0
500	2.0423	0
510	2.0402	0
520	2.0383	0
530	2.0364	0
540	2.0348	0
550	2.0331	0
560	2.0316	0
570	2.0301	0
580	2.0287	0
590	2.0275	0
600	2.0262	0
610	2.025	0
620	2.0239	0
630	2.0228	0
640	2.0218	0
650	2.0209	0
660	2.02	0
670	2.0191	0
680	2.0182	0
690	2.0174	0
700	2.0166	0
710	2.0158	0
720	2.0152	0
730	2.0145	0
740	2.0138	0
750	2.0132	0
760	2.0125	0
770	2.0119	0
780	2.0114	0
790	2.0108	0
800	2.0102	0
810	2.0097	0
820	2.0092	0
830	2.0087	0
840	2.0083	0
850	2.0078	0
860	2.0074	0
870	2.0069	0
880	2.0065	0
890	2.0061	0
900	2.0056	0
910	2.0053	0
920	2.0049	0
930	2.0045	0
940	2.0042	0
950	2.0038	0
960	2.0034	0
970	2.0031	0
980	2.0028	0
990	2.0024	0
1000	2.0021	0
1010	2.0018	0
1020	2.0015	0
1030	2.0012	0
1040	2.0009	0
1050	2.0006	0
1060	2.0003	0
1070	2.0001	0
1080	1.9997	0
1090	1.9995	0
1100	1.9992	0
1110	1.9989	0
1120	1.9987	0
1130	1.9985	0
1140	1.9981	0
1150	1.9979	0
1160	1.9977	0
1170	1.9974	0
1180	1.9972	0
1190	1.997	0
1200	1.9967	0
1210	1.9965	0
1220	1.9963	0
1230	1.996	0
1240	1.9958	0
1250	1.9956	0
1260	1.9953	0
1270	1.9951	0
1280	1.9949	0
1290	1.9947	0
1300	1.9945	0
1310	1.9943	0
1320	1.994	0
1330	1.9938	0
1340	1.9936	0
1350	1.9934	0
1360	1.9932	0
1370	1.993	0
1380	1.9927	0
1390	1.9926	0
1400	1.9924	0
1410	1.9922	0
1420	1.992	0
1430	1.9918	0
1440	1.9916	0
1450	1.9914	0
1460	1.9912	0
1470	1.991	0
1480	1.9908	0
1490	1.9906	0
1500	1.9904	0
1510	1.9902	0
1520	1.99	0
1530	1.9898	0
1540	1.9896	0
1550	1.9894	0
1560	1.9892	0
1570	1.989	0
1580	1.9888	0
1590	1.9886	0
1600	1.9884	0
1610	1.9882	0
1620	1.988	0
1630	1.9878	0
1640	1.9876	0
1650	1.9874	0
1660	1.9872	0
1670	1.987	0
1680	1.9868	0
1690	1.9866	0
1700	1.9864	0
1710	1.9863	0
1720	1.9861	0
1730	1.9859	0
1740	1.9857	0
1750	1.9855	0
1760	1.9853	0
1770	1.9851	0
1780	1.9849	0
1790	1.9847	0
1800	1.9845	0
1810	1.9843	0
1820	1.9841	0
1830	1.9839	0
1840	1.9837	0
1850	1.9835	0
1860	1.9834	0
1870	1.9832	0
1880	1.983	0
1890	1.9828	0
1900	1.9826	0
1910	1.9824	0
1920	1.9822	0
1930	1.982	0
1940	1.9818	0
1950	1.9815	0
1960	1.9813	0
1970	1.9811	0
1980	1.9809	0
1990	1.9807	0
2000	1.9805	0
2010	1.9803	0
2020	1.9801	0
2030	1.9799	0
2040	1.9797	0
2050	1.9794	0
2060	1.9792	0
2070	1.979	0
2080	1.9788	0
2090	1.9786	0
2100	1.9784	0
2110	1.9782	0
2120	1.978	0
2130	1.9778	0
2140	1.9776	0
2150	1.9773	0
2160	1.9771	0
2170	1.9769	0
2180	1.9767	0
2190	1.9765	0
2200	1.9763	0
2210	1.9761	0
2220	1.9759	0
2230	1.9757	0
2240	1.9755	0
2250	1.9752	0
2260	1.975	0
2270	1.9748	0
2280	1.9746	0
2290	1.9744	0
2300	1.9742	0
2310	1.974	0
2320	1.9738	0
2330	1.9735	0
2340	1.9733	0
2350	1.9731	0
2360	1.9729	0
2370	1.9726	0
2380	1.9724	0
2390	1.9722	0
2400	1.972	0
2410	1.9718	0
2420	1.9715	0
2430	1.9713	0
2440	1.9711	0
2450	1.9709	0
2460	1.9706	0
2470	1.9704	0
2480	1.9702	0
2490	1.9701	0
2500	1.9701	0
