Wavelength(nm)	n	k
210	1.5384	0
215	1.5332	0
220	1.5285	0
225	1.5242	0
230	1.5202	0
235	1.5166	0
240	1.5133	0
245	1.5103	0
250	1.5074	0
255	1.5048	0
260	1.5024	0
265	1.5001	0
270	1.498	0
275	1.496	0
280	1.4942	0
285	1.4924	0
290	1.4908	0
295	1.4892	0
300	1.4878	0
305	1.4864	0
310	1.4851	0
315	1.4839	0
320	1.4827	0
325	1.4816	0
330	1.4806	0
335	1.4796	0
340	1.4787	0
345	1.4778	0
350	1.4769	0
355	1.4761	0
360	1.4753	0
365	1.4745	0
370	1.4738	0
375	1.4731	0
380	1.4725	0
385	1.4719	0
390	1.4713	0
395	1.4707	0
400	1.4701	0
405	1.4696	0
410	1.4691	0
415	1.4686	0
420	1.4681	0
425	1.4676	0
430	1.4672	0
435	1.4668	0
440	1.4663	0
445	1.466	0
450	1.4656	0
455	1.4652	0
460	1.4648	0
465	1.4645	0
470	1.4641	0
475	1.4638	0
480	1.4635	0
485	1.4632	0
490	1.4629	0
495	1.4626	0
500	1.4623	0
505	1.4621	0
510	1.4618	0
515	1.4615	0
520	1.4613	0
525	1.461	0
530	1.4608	0
535	1.4606	0
540	1.4603	0
545	1.4601	0
550	1.4599	0
555	1.4597	0
560	1.4595	0
565	1.4593	0
570	1.4591	0
575	1.4589	0
580	1.4587	0
585	1.4586	0
590	1.4584	0
595	1.4582	0
600	1.458	0
605	1.4579	0
610	1.4577	0
615	1.4576	0
620	1.4574	0
625	1.4572	0
630	1.4571	0
635	1.457	0
640	1.4568	0
645	1.4567	0
650	1.4565	0
655	1.4564	0
660	1.4563	0
665	1.4561	0
670	1.456	0
675	1.4559	0
680	1.4558	0
685	1.4556	0
690	1.4555	0
695	1.4554	0
700	1.4553	0
710	1.4551	0
720	1.4549	0
730	1.4546	0
740	1.4544	0
750	1.4542	0
760	1.454	0
770	1.4539	0
780	1.4537	0
790	1.4535	0
800	1.4533	0
810	1.4531	0
820	1.453	0
830	1.4528	0
840	1.4527	0
850	1.4525	0
860	1.4523	0
870	1.4522	0
880	1.452	0
890	1.4519	0
900	1.4518	0
910	1.4516	0
920	1.4515	0
930	1.4513	0
940	1.4512	0
950	1.4511	0
960	1.4509	0
970	1.4508	0
980	1.4507	0
990	1.4505	0
1000	1.4504	0
1010	1.4503	0
1020	1.4502	0
1030	1.45	0
1040	1.4499	0
1050	1.4498	0
1060	1.4497	0
1070	1.4496	0
1080	1.4494	0
1090	1.4493	0
1100	1.4492	0
1110	1.4491	0
1120	1.449	0
1130	1.4489	0
1140	1.4487	0
1150	1.4486	0
1160	1.4485	0
1170	1.4484	0
1180	1.4483	0
1190	1.4482	0
1200	1.4481	0
1210	1.4479	0
1220	1.4478	0
1230	1.4477	0
1240	1.4476	0
1250	1.4475	0
1260	1.4474	0
1270	1.4473	0
1280	1.4471	0
1290	1.447	0
1300	1.4469	0
1310	1.4468	0
1320	1.4467	0
1330	1.4466	0
1340	1.4465	0
1350	1.4464	0
1360	1.4462	0
1370	1.4461	0
1380	1.446	0
1390	1.4459	0
1400	1.4458	0
1410	1.4457	0
1420	1.4455	0
1430	1.4454	0
1440	1.4453	0
1450	1.4452	0
1460	1.4451	0
1470	1.445	0
1480	1.4449	0
1490	1.4447	0
1500	1.4446	0
1510	1.4445	0
1520	1.4444	0
1530	1.4443	0
1540	1.4441	0
1550	1.444	0
1560	1.4439	0
1570	1.4438	0
1580	1.4437	0
1590	1.4435	0
1600	1.4434	0
1610	1.4433	0
1620	1.4432	0
1630	1.4431	0
1640	1.4429	0
1650	1.4428	0
1660	1.4427	0
1670	1.4426	0
1680	1.4424	0
1690	1.4423	0
1700	1.4422	0
1710	1.442	0
1720	1.4419	0
1730	1.4418	0
1740	1.4417	0
1750	1.4415	0
1760	1.4414	0
1770	1.4413	0
1780	1.4411	0
1790	1.441	0
1800	1.4409	0
1810	1.4407	0
1820	1.4406	0
1830	1.4405	0
1840	1.4403	0
1850	1.4402	0
1860	1.4401	0
1870	1.4399	0
1880	1.4398	0
1890	1.4397	0
1900	1.4395	0
1910	1.4394	0
1920	1.4392	0
1930	1.4391	0
1940	1.4389	0
1950	1.4388	0
1960	1.4387	0
1970	1.4385	0
1980	1.4384	0
1990	1.4382	0
2000	1.4381	0
2010	1.4379	0
2020	1.4378	0
2030	1.4376	0
2040	1.4375	0
2050	1.4373	0
2060	1.4372	0
2070	1.437	0
2080	1.4369	0
2090	1.4367	0
2100	1.4366	0
2110	1.4364	0
2120	1.4363	0
2130	1.4361	0
2140	1.436	0
2150	1.4358	0
2160	1.4357	0
2170	1.4355	0
2180	1.4353	0
2190	1.4352	0
2200	1.435	0
2210	1.4349	0
2220	1.4347	0
2230	1.4345	0
2240	1.4344	0
2250	1.4342	0
2260	1.434	0
2270	1.4339	0
2280	1.4337	0
2290	1.4335	0
2300	1.4334	0
2310	1.4332	0
2320	1.433	0
2330	1.4328	0
2340	1.4327	0
2350	1.4325	0
2360	1.4323	0
2370	1.4322	0
2380	1.432	0
2390	1.4318	0
2400	1.4316	0
2410	1.4314	0
2420	1.4313	0
2430	1.4311	0
2440	1.4309	0
2450	1.4307	0
2460	1.4305	0
2470	1.4304	0
2480	1.4302	0
2490	1.43	0
2500	1.4298	0
