Wavelength(m)	n	k
# material: Au
# source: Material_data set, optprop_Au.m
# model: Brendel-Bormann oscillators, sampled onto this grid
# type: model
# range: 1.5000e-07 - 1.0000e-04 m
# converted: 2026-08-03 by tools/convert_matlab_optprop.py
1.500000e-07	0.289501	1.14991
1.502441e-07	0.289789	1.15309
1.504886e-07	0.290079	1.15628
1.507335e-07	0.29037	1.15946
1.509788e-07	0.290661	1.16265
1.512245e-07	0.290954	1.16585
1.514705e-07	0.291248	1.16904
1.517170e-07	0.291543	1.17224
1.519639e-07	0.29184	1.17544
1.522112e-07	0.292137	1.17864
1.524589e-07	0.292435	1.18184
1.527070e-07	0.292735	1.18505
1.529555e-07	0.293035	1.18826
1.532044e-07	0.293336	1.19147
1.534537e-07	0.293639	1.19468
1.537034e-07	0.293942	1.1979
1.539536e-07	0.294247	1.20112
1.542041e-07	0.294552	1.20435
1.544550e-07	0.294858	1.20757
1.547064e-07	0.295166	1.2108
1.549581e-07	0.295474	1.21403
1.552103e-07	0.295783	1.21727
1.554629e-07	0.296093	1.22051
1.557158e-07	0.296404	1.22375
1.559692e-07	0.296716	1.22699
1.562230e-07	0.297029	1.23024
1.564773e-07	0.297342	1.23349
1.567319e-07	0.297657	1.23674
1.569870e-07	0.297972	1.24
1.572424e-07	0.298289	1.24326
1.574983e-07	0.298606	1.24653
1.577546e-07	0.298924	1.24979
1.580113e-07	0.299242	1.25306
1.582684e-07	0.299562	1.25634
1.585260e-07	0.299882	1.25962
1.587840e-07	0.300203	1.2629
1.590424e-07	0.300525	1.26619
1.593012e-07	0.300848	1.26948
1.595604e-07	0.301172	1.27277
1.598200e-07	0.301496	1.27607
1.600801e-07	0.301821	1.27937
1.603406e-07	0.302147	1.28267
1.606015e-07	0.302473	1.28598
1.608629e-07	0.302801	1.2893
1.611247e-07	0.303129	1.29261
1.613869e-07	0.303458	1.29594
1.616495e-07	0.303787	1.29926
1.619125e-07	0.304117	1.30259
1.621760e-07	0.304449	1.30593
1.624399e-07	0.30478	1.30927
1.627043e-07	0.305113	1.31261
1.629690e-07	0.305446	1.31596
1.632342e-07	0.30578	1.31931
1.634999e-07	0.306115	1.32267
1.637659e-07	0.30645	1.32604
1.640324e-07	0.306786	1.3294
1.642994e-07	0.307123	1.33278
1.645667e-07	0.307461	1.33615
1.648345e-07	0.3078	1.33954
1.651028e-07	0.308139	1.34292
1.653714e-07	0.308479	1.34632
1.656405e-07	0.308819	1.34972
1.659101e-07	0.309161	1.35312
1.661801e-07	0.309503	1.35653
1.664505e-07	0.309846	1.35994
1.667214e-07	0.31019	1.36336
1.669927e-07	0.310534	1.36679
1.672644e-07	0.31088	1.37022
1.675366e-07	0.311226	1.37366
1.678092e-07	0.311573	1.3771
1.680823e-07	0.311921	1.38055
1.683558e-07	0.312269	1.384
1.686298e-07	0.312619	1.38746
1.689042e-07	0.312969	1.39093
1.691791e-07	0.313321	1.3944
1.694544e-07	0.313673	1.39788
1.697301e-07	0.314026	1.40137
1.700063e-07	0.31438	1.40486
1.702830e-07	0.314736	1.40836
1.705601e-07	0.315092	1.41186
1.708376e-07	0.315449	1.41538
1.711156e-07	0.315807	1.4189
1.713941e-07	0.316166	1.42242
1.716730e-07	0.316527	1.42595
1.719524e-07	0.316888	1.42949
1.722322e-07	0.317251	1.43304
