Wavelength(m)	n	k
# material: Au
# source: lab MATLAB library, optprop_Au_Palik.m (inline Drude fit)
# model: eps = 1 - wp^2/(w^2 + i*Gamma*w), wp = 2pi*1.85e15, Gamma = 2pi*14.5355e12
# note: free-electron Drude only, no interband term; unreliable below roughly 1 um
# type: model
# range: 5.0000e-07 - 5.0000e-05 m
# converted: 2026-07-31 by tools/convert_matlab_optprop.py
5.000000e-07	0.0395199	2.91823
5.023102e-07	0.0398644	2.93329
5.046311e-07	0.040212	2.94841
5.069627e-07	0.040563	2.96359
5.093051e-07	0.0409172	2.97883
5.116583e-07	0.0412747	2.99413
5.140224e-07	0.0416355	3.0095
5.163974e-07	0.0419997	3.02493
5.187833e-07	0.0423674	3.04042
5.211803e-07	0.0427384	3.05597
5.235884e-07	0.0431129	3.07159
5.260076e-07	0.043491	3.08728
5.284380e-07	0.0438725	3.10303
5.308796e-07	0.0442576	3.11884
5.333325e-07	0.0446463	3.13472
5.357967e-07	0.0450387	3.15067
5.382723e-07	0.0454347	3.16668
5.407594e-07	0.0458344	3.18276
5.432579e-07	0.0462378	3.19891
5.457680e-07	0.0466449	3.21512
5.482896e-07	0.0470559	3.2314
5.508230e-07	0.0474707	3.24775
5.533680e-07	0.0478894	3.26416
5.559248e-07	0.048312	3.28065
5.584934e-07	0.0487385	3.2972
5.610739e-07	0.0491689	3.31382
5.636663e-07	0.0496034	3.33052
5.662707e-07	0.050042	3.34728
5.688871e-07	0.0504846	3.36411
5.715156e-07	0.0509313	3.38102
5.741562e-07	0.0513822	3.39799
5.768091e-07	0.0518373	3.41504
5.794742e-07	0.0522966	3.43216
5.821516e-07	0.0527603	3.44935
5.848414e-07	0.0532282	3.46661
5.875436e-07	0.0537004	3.48395
5.902583e-07	0.0541771	3.50136
5.929855e-07	0.0546582	3.51884
5.957253e-07	0.0551438	3.5364
5.984779e-07	0.0556339	3.55403
6.012431e-07	0.0561285	3.57173
6.040211e-07	0.0566278	3.58952
6.068119e-07	0.0571316	3.60737
6.096156e-07	0.0576402	3.62531
6.124323e-07	0.0581535	3.64332
6.152620e-07	0.0586716	3.6614
6.181048e-07	0.0591944	3.67957
6.209607e-07	0.0597222	3.69781
6.238298e-07	0.0602548	3.71613
6.267121e-07	0.0607924	3.73453
6.296078e-07	0.061335	3.753
6.325169e-07	0.0618826	3.77156
6.354394e-07	0.0624353	3.79019
6.383754e-07	0.0629932	3.80891
6.413249e-07	0.0635562	3.8277
6.442881e-07	0.0641244	3.84658
6.472650e-07	0.0646979	3.86554
6.502556e-07	0.0652768	3.88457
6.532601e-07	0.065861	3.90369
6.562784e-07	0.0664506	3.9229
6.593107e-07	0.0670458	3.94218
6.623570e-07	0.0676464	3.96155
6.654174e-07	0.0682526	3.981
6.684919e-07	0.0688644	4.00054
6.715806e-07	0.0694819	4.02016
6.746836e-07	0.0701052	4.03987
6.778009e-07	0.0707342	4.05966
6.809326e-07	0.0713691	4.07953
6.840788e-07	0.0720098	4.0995
6.872395e-07	0.0726565	4.11955
6.904149e-07	0.0733092	4.13968
6.936049e-07	0.0739679	4.15991
6.968096e-07	0.0746328	4.18022
7.000292e-07	0.0753038	4.20062
7.032636e-07	0.075981	4.2211
7.065130e-07	0.0766645	4.24168
7.097774e-07	0.0773544	4.26235
7.130569e-07	0.0780506	4.2831
7.163515e-07	0.0787533	4.30395
7.196613e-07	0.0794625	4.32489
7.229865e-07	0.0801783	4.34592
7.263270e-07	0.0809007	4.36704
7.296829e-07	0.0816298	4.38825
7.330543e-07	0.0823657	4.40956
7.364414e-07	0.0831084	4.43096
7.398440e-07	0.083858	4.45245
7.432624e-07	0.0846145	4.47404
7.466966e-07	0.085378	4.49572
7.501467e-07	0.0861486	4.51749
7.536127e-07	0.0869263	4.53936
7.570947e-07	0.0877113	4.56133
7.605928e-07	0.0885035	4.58339
7.641070e-07	0.089303	4.60555
7.676375e-07	0.09011	4.62781
7.711843e-07	0.0909244	4.65017
7.747475e-07	0.0917464	4.67262
7.783272e-07	0.092576	4.69517
7.819234e-07	0.0934133	4.71782
7.855362e-07	0.0942583	4.74057
7.891657e-07	0.0951111	4.76342
7.928120e-07	0.0959719	4.78638
7.964751e-07	0.0968406	4.80943
8.001552e-07	0.0977173	4.83258
8.038522e-07	0.0986022	4.85584
8.075663e-07	0.0994953	4.8792
8.112976e-07	0.100397	4.90266
8.150462e-07	0.101306	4.92622
8.188120e-07	0.102224	4.94989
8.225953e-07	0.103151	4.97367
8.263960e-07	0.104086	4.99754
8.302143e-07	0.10503	5.02153
8.340503e-07	0.105982	5.04562
8.379039e-07	0.106944	5.06981
8.417754e-07	0.107914	5.09412
8.456648e-07	0.108893	5.11853
8.495721e-07	0.109882	5.14305
8.534975e-07	0.110879	5.16768
8.574410e-07	0.111886	5.19241
8.614027e-07	0.112902	5.21726
8.653828e-07	0.113927	5.24222
8.693812e-07	0.114962	5.26728
8.733981e-07	0.116006	5.29246
8.774336e-07	0.117061	5.31775
8.814877e-07	0.118124	5.34315
8.855605e-07	0.119198	5.36867
