Wavelength(m)	n	k
# material: BaTiO3
# source: lab MATLAB library, wavnk_BTO_Intrinsic_260223.mat
# ray: extraordinary
# note: uniaxial crystal; pair with the matching -o / -e table to build a (nx, ny, nz) ucell
# type: tabulated nk
# range: 1.9300e-07 - 3.9884e-05 m
# converted: 2026-07-31 by tools/convert_matlab_optprop.py
1.930000e-07	1.83402	0.95077
1.940000e-07	1.85424	0.957698
1.950000e-07	1.87247	0.96259
1.960000e-07	1.8886	0.965976
1.970000e-07	1.90263	0.968367
1.980000e-07	1.91468	0.970229
1.990000e-07	1.92492	0.971966
2.000000e-07	1.93363	0.9739
2.010000e-07	1.94109	0.97626
2.020000e-07	1.94764	0.979179
2.030000e-07	1.95358	0.982688
2.040000e-07	1.95919	0.98673
2.050000e-07	1.96469	0.991171
2.060000e-07	1.97022	0.995826
2.070000e-07	1.97584	1.00049
2.080000e-07	1.98151	1.00494
2.090000e-07	1.98712	1.00901
2.100000e-07	1.99247	1.01257
2.110000e-07	1.99734	1.01556
2.120000e-07	2.00144	1.01802
2.130000e-07	2.00452	1.02005
2.140000e-07	2.00633	1.02187
2.150000e-07	2.00668	1.02375
2.160000e-07	2.00542	1.02605
2.170000e-07	2.00249	1.02917
2.180000e-07	1.99795	1.03352
2.190000e-07	1.99192	1.03956
2.200000e-07	1.98466	1.04769
2.210000e-07	1.97651	1.05831
2.220000e-07	1.96791	1.07172
2.230000e-07	1.95937	1.08815
2.240000e-07	1.95148	1.10771
2.250000e-07	1.94483	1.1304
2.260000e-07	1.94004	1.15606
2.270000e-07	1.93767	1.18445
2.280000e-07	1.93822	1.21518
2.290000e-07	1.94211	1.24776
2.300000e-07	1.94965	1.28167
2.310000e-07	1.96101	1.31631
2.320000e-07	1.97628	1.35109
2.330000e-07	1.9954	1.38546
2.340000e-07	2.01825	1.41888
2.350000e-07	2.04461	1.45088
2.360000e-07	2.07421	1.48106
2.370000e-07	2.10673	1.50907
2.380000e-07	2.14185	1.53464
2.390000e-07	2.17921	1.55756
2.400000e-07	2.21846	1.57768
2.410000e-07	2.25926	1.59489
2.420000e-07	2.30126	1.60915
2.430000e-07	2.34416	1.62043
2.440000e-07	2.38766	1.62875
2.450000e-07	2.43147	1.63416
2.460000e-07	2.47534	1.63673
