Wavelength(m)	n	k
# material: BaTiO3
# source: lab MATLAB library, wavnk_BTO_Intrinsic_260223.mat
# ray: ordinary
# note: uniaxial crystal; pair with the matching -o / -e table to build a (nx, ny, nz) ucell
# type: tabulated nk
# range: 1.9300e-07 - 3.9884e-05 m
# converted: 2026-07-31 by tools/convert_matlab_optprop.py
1.930000e-07	1.66146	0.799357
1.940000e-07	1.66606	0.814264
1.950000e-07	1.67085	0.82847
1.960000e-07	1.67577	0.841999
1.970000e-07	1.68072	0.854879
1.980000e-07	1.68566	0.867144
1.990000e-07	1.69051	0.878834
2.000000e-07	1.69521	0.889989
2.010000e-07	1.6997	0.900656
2.020000e-07	1.70393	0.910884
2.030000e-07	1.70785	0.920728
2.040000e-07	1.71139	0.930243
2.050000e-07	1.71453	0.939491
2.060000e-07	1.7172	0.94854
2.070000e-07	1.71935	0.957461
2.080000e-07	1.72096	0.966336
2.090000e-07	1.72196	0.975255
2.100000e-07	1.72232	0.98432
2.110000e-07	1.722	0.993649
2.120000e-07	1.72097	1.00338
2.130000e-07	1.71921	1.01366
2.140000e-07	1.71673	1.02468
2.150000e-07	1.71357	1.03664
2.160000e-07	1.70978	1.04975
2.170000e-07	1.70549	1.06426
2.180000e-07	1.70089	1.08038
2.190000e-07	1.69623	1.09834
2.200000e-07	1.69184	1.11829
2.210000e-07	1.68808	1.14035
2.220000e-07	1.6854	1.16453
2.230000e-07	1.68423	1.19073
2.240000e-07	1.685	1.21875
2.250000e-07	1.68808	1.24828
2.260000e-07	1.69376	1.27889
2.270000e-07	1.70219	1.31015
2.280000e-07	1.71344	1.34157
2.290000e-07	1.72741	1.3727
2.300000e-07	1.74394	1.40315
2.310000e-07	1.76277	1.43261
2.320000e-07	1.78362	1.46087
2.330000e-07	1.80619	1.48782
2.340000e-07	1.83022	1.51343
2.350000e-07	1.85549	1.53773
2.360000e-07	1.88183	1.5608
2.370000e-07	1.90916	1.58274
2.380000e-07	1.93744	1.60362
2.390000e-07	1.9667	1.62351
2.400000e-07	1.99697	1.64241
2.410000e-07	2.02833	1.6603
2.420000e-07	2.06081	1.67708
2.430000e-07	2.09447	1.69264
2.440000e-07	2.1293	1.70682
2.450000e-07	2.16526	1.71946
2.460000e-07	2.20226	1.73039
