Wavelength(m)	n	k
# material: CaF2
# source: Material_data set, optprop_CaF2.m
# model: Brendel-Bormann oscillators, sampled onto this grid
# type: model
# range: 1.5000e-07 - 1.0000e-04 m
# converted: 2026-08-03 by tools/convert_matlab_optprop.py
1.500000e-07	1.35692	4.9531e-08
1.502441e-07	1.35691	4.97839e-08
1.504886e-07	1.35691	5.00382e-08
1.507335e-07	1.3569	5.02939e-08
1.509788e-07	1.3569	5.05509e-08
1.512245e-07	1.3569	5.08092e-08
1.514705e-07	1.35689	5.10689e-08
1.517170e-07	1.35689	5.13299e-08
1.519639e-07	1.35688	5.15924e-08
1.522112e-07	1.35688	5.18562e-08
1.524589e-07	1.35687	5.21214e-08
1.527070e-07	1.35687	5.2388e-08
1.529555e-07	1.35687	5.2656e-08
1.532044e-07	1.35686	5.29254e-08
1.534537e-07	1.35686	5.31962e-08
1.537034e-07	1.35685	5.34685e-08
1.539536e-07	1.35685	5.37422e-08
1.542041e-07	1.35684	5.40173e-08
1.544550e-07	1.35684	5.42939e-08
1.547064e-07	1.35683	5.45719e-08
1.549581e-07	1.35683	5.48514e-08
1.552103e-07	1.35683	5.51324e-08
1.554629e-07	1.35682	5.54149e-08
1.557158e-07	1.35682	5.56988e-08
1.559692e-07	1.35681	5.59843e-08
1.562230e-07	1.35681	5.62712e-08
1.564773e-07	1.3568	5.65597e-08
1.567319e-07	1.3568	5.68497e-08
1.569870e-07	1.35679	5.71412e-08
1.572424e-07	1.35679	5.74343e-08
1.574983e-07	1.35678	5.77289e-08
1.577546e-07	1.35678	5.80251e-08
1.580113e-07	1.35677	5.83229e-08
1.582684e-07	1.35677	5.86222e-08
1.585260e-07	1.35677	5.89231e-08
1.587840e-07	1.35676	5.92256e-08
1.590424e-07	1.35676	5.95297e-08
1.593012e-07	1.35675	5.98354e-08
1.595604e-07	1.35675	6.01428e-08
1.598200e-07	1.35674	6.04517e-08
1.600801e-07	1.35674	6.07623e-08
1.603406e-07	1.35673	6.10746e-08
1.606015e-07	1.35673	6.13885e-08
1.608629e-07	1.35672	6.1704e-08
1.611247e-07	1.35672	6.20213e-08
1.613869e-07	1.35671	6.23402e-08
1.616495e-07	1.35671	6.26608e-08
1.619125e-07	1.3567	6.29832e-08
1.621760e-07	1.3567	6.33072e-08
1.624399e-07	1.35669	6.3633e-08
1.627043e-07	1.35669	6.39604e-08
1.629690e-07	1.35668	6.42897e-08
1.632342e-07	1.35668	6.46207e-08
1.634999e-07	1.35667	6.49534e-08
1.637659e-07	1.35667	6.52879e-08
1.640324e-07	1.35666	6.56242e-08
1.642994e-07	1.35666	6.59623e-08
1.645667e-07	1.35665	6.63022e-08
1.648345e-07	1.35665	6.66439e-08
1.651028e-07	1.35664	6.69874e-08
1.653714e-07	1.35664	6.73327e-08
1.656405e-07	1.35663	6.76799e-08
1.659101e-07	1.35663	6.8029e-08
1.661801e-07	1.35662	6.83799e-08
1.664505e-07	1.35662	6.87326e-08
1.667214e-07	1.35661	6.90873e-08
1.669927e-07	1.3566	6.94438e-08
1.672644e-07	1.3566	6.98023e-08
1.675366e-07	1.35659	7.01627e-08
1.678092e-07	1.35659	7.05249e-08
1.680823e-07	1.35658	7.08892e-08
1.683558e-07	1.35658	7.12554e-08
1.686298e-07	1.35657	7.16235e-08
1.689042e-07	1.35657	7.19936e-08
1.691791e-07	1.35656	7.23657e-08
1.694544e-07	1.35656	7.27398e-08
1.697301e-07	1.35655	7.31158e-08
1.700063e-07	1.35655	7.34939e-08
1.702830e-07	1.35654	7.3874e-08
1.705601e-07	1.35653	7.42562e-08
1.708376e-07	1.35653	7.46404e-08
1.711156e-07	1.35652	7.50267e-08
1.713941e-07	1.35652	7.5415e-08
1.716730e-07	1.35651	7.58054e-08
1.719524e-07	1.35651	7.61979e-08
1.722322e-07	1.3565	7.65926e-08
1.725125e-07	1.3565	7.69893e-08
1.727932e-07	1.35649	7.73882e-08
1.730744e-07	1.35648	7.77892e-08
1.733560e-07	1.35648	7.81924e-08
1.736381e-07	1.35647	7.85977e-08
1.739207e-07	1.35647	7.90052e-08
1.742037e-07	1.35646	7.94149e-08
1.744872e-07	1.35646	7.98268e-08
1.747711e-07	1.35645	8.0241e-08
1.750555e-07	1.35644	8.06573e-08
1.753404e-07	1.35644	8.1076e-08
1.756257e-07	1.35643	8.14968e-08
1.759115e-07	1.35643	8.19199e-08
1.761978e-07	1.35642	8.23454e-08
1.764845e-07	1.35641	8.27731e-08
1.767717e-07	1.35641	8.32031e-08
1.770594e-07	1.3564	8.36354e-08
1.773475e-07	1.3564	8.40701e-08
1.776361e-07	1.35639	8.45071e-08
1.779252e-07	1.35638	8.49465e-08
1.782147e-07	1.35638	8.53882e-08
1.785047e-07	1.35637	8.58324e-08
1.787952e-07	1.35637	8.62789e-08
1.790862e-07	1.35636	8.67279e-08
1.793776e-07	1.35635	8.71793e-08
1.796695e-07	1.35635	8.76331e-08
1.799619e-07	1.35634	8.80894e-08
1.802547e-07	1.35633	8.85481e-08
1.805480e-07	1.35633	8.90094e-08
1.808418e-07	1.35632	8.94731e-08
1.811361e-07	1.35632	8.99394e-08
1.814309e-07	1.35631	9.04082e-08
1.817261e-07	1.3563	9.08795e-08
1.820219e-07	1.3563	9.13534e-08
1.823181e-07	1.35629	9.18298e-08
1.826148e-07	1.35628	9.23089e-08
1.829119e-07	1.35628	9.27905e-08
1.832096e-07	1.35627	9.32748e-08
1.835077e-07	1.35626	9.37617e-08
1.838063e-07	1.35626	9.42513e-08
1.841054e-07	1.35625	9.47435e-08
1.844050e-07	1.35624	9.52384e-08
1.847051e-07	1.35624	9.57359e-08
1.850057e-07	1.35623	9.62362e-08
1.853068e-07	1.35622	9.67392e-08
1.856083e-07	1.35622	9.7245e-08
1.859103e-07	1.35621	9.77535e-08
1.862129e-07	1.3562	9.82648e-08
1.865159e-07	1.3562	9.87789e-08
1.868194e-07	1.35619	9.92958e-08
1.871234e-07	1.35618	9.98155e-08
1.874279e-07	1.35618	1.00338e-07
1.877329e-07	1.35617	1.00863e-07
1.880384e-07	1.35616	1.01392e-07
1.883444e-07	1.35616	1.01923e-07
1.886509e-07	1.35615	1.02457e-07
1.889579e-07	1.35614	1.02994e-07
1.892654e-07	1.35614	1.03534e-07
1.895734e-07	1.35613	1.04077e-07
1.898819e-07	1.35612	1.04623e-07
1.901909e-07	1.35612	1.05171e-07
1.905004e-07	1.35611	1.05723e-07
1.908104e-07	1.3561	1.06278e-07
1.911209e-07	1.35609	1.06836e-07
1.914319e-07	1.35609	1.07397e-07
1.917434e-07	1.35608	1.07961e-07
1.920554e-07	1.35607	1.08528e-07
1.923680e-07	1.35607	1.09099e-07
1.926810e-07	1.35606	1.09672e-07
1.929946e-07	1.35605	1.10249e-07
1.933086e-07	1.35604	1.10828e-07
1.936232e-07	1.35604	1.11411e-07
1.939383e-07	1.35603	1.11997e-07
1.942539e-07	1.35602	1.12587e-07
1.945700e-07	1.35601	1.13179e-07
1.948866e-07	1.35601	1.13775e-07
1.952038e-07	1.356	1.14374e-07
1.955214e-07	1.35599	1.14977e-07
1.958396e-07	1.35598	1.15582e-07
1.961583e-07	1.35598	1.16192e-07
1.964775e-07	1.35597	1.16804e-07
1.967972e-07	1.35596	1.1742e-07
1.971175e-07	1.35595	1.18039e-07
1.974382e-07	1.35595	1.18662e-07
1.977595e-07	1.35594	1.19288e-07
1.980813e-07	1.35593	1.19918e-07
1.984037e-07	1.35592	1.20551e-07
1.987265e-07	1.35592	1.21187e-07
1.990499e-07	1.35591	1.21827e-07
1.993738e-07	1.3559	1.22471e-07
1.996983e-07	1.35589	1.23118e-07
2.000232e-07	1.35588	1.23769e-07
2.003487e-07	1.35588	1.24424e-07
2.006748e-07	1.35587	1.25082e-07
2.010013e-07	1.35586	1.25743e-07
2.013284e-07	1.35585	1.26409e-07
2.016560e-07	1.35585	1.27078e-07
2.019842e-07	1.35584	1.27751e-07
2.023129e-07	1.35583	1.28427e-07
2.026421e-07	1.35582	1.29107e-07
2.029719e-07	1.35581	1.29792e-07
2.033022e-07	1.3558	1.30479e-07
2.036330e-07	1.3558	1.31171e-07
2.039644e-07	1.35579	1.31867e-07
2.042963e-07	1.35578	1.32566e-07
2.046287e-07	1.35577	1.3327e-07
2.049617e-07	1.35576	1.33977e-07
2.052953e-07	1.35576	1.34688e-07
2.056293e-07	1.35575	1.35403e-07
2.059640e-07	1.35574	1.36123e-07
2.062991e-07	1.35573	1.36846e-07
2.066348e-07	1.35572	1.37573e-07
2.069711e-07	1.35571	1.38304e-07
2.073079e-07	1.3557	1.3904e-07
2.076453e-07	1.3557	1.39779e-07
2.079832e-07	1.35569	1.40523e-07
2.083216e-07	1.35568	1.41271e-07
2.086606e-07	1.35567	1.42023e-07
2.090002e-07	1.35566	1.42779e-07
2.093403e-07	1.35565	1.4354e-07
2.096809e-07	1.35564	1.44305e-07
2.100221e-07	1.35564	1.45074e-07
2.103639e-07	1.35563	1.45847e-07
2.107062e-07	1.35562	1.46625e-07
2.110491e-07	1.35561	1.47407e-07
2.113926e-07	1.3556	1.48193e-07
2.117366e-07	1.35559	1.48984e-07
2.120811e-07	1.35558	1.4978e-07
2.124262e-07	1.35557	1.5058e-07
2.127719e-07	1.35556	1.51384e-07
2.131182e-07	1.35556	1.52193e-07
2.134650e-07	1.35555	1.53007e-07
2.138123e-07	1.35554	1.53825e-07
2.141603e-07	1.35553	1.54647e-07
2.145088e-07	1.35552	1.55475e-07
2.148579e-07	1.35551	1.56307e-07
2.152075e-07	1.3555	1.57143e-07
2.155577e-07	1.35549	1.57985e-07
2.159085e-07	1.35548	1.58831e-07
2.162598e-07	1.35547	1.59682e-07
2.166117e-07	1.35546	1.60538e-07
2.169642e-07	1.35545	1.61399e-07
2.173173e-07	1.35544	1.62264e-07
2.176709e-07	1.35543	1.63135e-07
2.180252e-07	1.35542	1.6401e-07
2.183800e-07	1.35542	1.64891e-07
2.187353e-07	1.35541	1.65776e-07
2.190913e-07	1.3554	1.66666e-07
2.194478e-07	1.35539	1.67562e-07
2.198049e-07	1.35538	1.68463e-07
2.201626e-07	1.35537	1.69368e-07
2.205209e-07	1.35536	1.70279e-07
2.208797e-07	1.35535	1.71195e-07
2.212392e-07	1.35534	1.72117e-07
2.215992e-07	1.35533	1.73043e-07
2.219598e-07	1.35532	1.73975e-07
2.223210e-07	1.35531	1.74912e-07
2.226828e-07	1.3553	1.75855e-07
2.230451e-07	1.35529	1.76803e-07
2.234081e-07	1.35528	1.77756e-07
2.237717e-07	1.35527	1.78715e-07
2.241358e-07	1.35526	1.79679e-07
2.245005e-07	1.35525	1.80649e-07
2.248659e-07	1.35524	1.81624e-07
2.252318e-07	1.35523	1.82605e-07
2.255983e-07	1.35522	1.83592e-07
2.259654e-07	1.35521	1.84584e-07
2.263331e-07	1.3552	1.85582e-07
2.267015e-07	1.35518	1.86585e-07
2.270704e-07	1.35517	1.87595e-07
2.274399e-07	1.35516	1.8861e-07
2.278100e-07	1.35515	1.89631e-07
2.281807e-07	1.35514	1.90658e-07
2.285520e-07	1.35513	1.91691e-07
2.289239e-07	1.35512	1.9273e-07
2.292965e-07	1.35511	1.93775e-07
2.296696e-07	1.3551	1.94825e-07
2.300434e-07	1.35509	1.95882e-07
2.304177e-07	1.35508	1.96945e-07
2.307927e-07	1.35507	1.98015e-07
2.311682e-07	1.35506	1.9909e-07
2.315444e-07	1.35505	2.00171e-07
2.319212e-07	1.35503	2.01259e-07
2.322986e-07	1.35502	2.02353e-07
2.326766e-07	1.35501	2.03454e-07
2.330553e-07	1.355	2.04561e-07
2.334345e-07	1.35499	2.05674e-07
2.338144e-07	1.35498	2.06794e-07
2.341949e-07	1.35497	2.0792e-07
2.345760e-07	1.35496	2.09053e-07
2.349577e-07	1.35494	2.10192e-07
2.353400e-07	1.35493	2.11338e-07
2.357230e-07	1.35492	2.12491e-07
2.361066e-07	1.35491	2.1365e-07
2.364908e-07	1.3549	2.14816e-07
2.368757e-07	1.35489	2.15989e-07
2.372611e-07	1.35488	2.17169e-07
2.376472e-07	1.35486	2.18355e-07
2.380340e-07	1.35485	2.19549e-07
2.384213e-07	1.35484	2.2075e-07
2.388093e-07	1.35483	2.21957e-07
2.391979e-07	1.35482	2.23172e-07
2.395872e-07	1.35481	2.24394e-07
2.399770e-07	1.35479	2.25622e-07
2.403676e-07	1.35478	2.26859e-07
2.407587e-07	1.35477	2.28102e-07
2.411505e-07	1.35476	2.29353e-07
2.415429e-07	1.35474	2.30611e-07
2.419360e-07	1.35473	2.31876e-07
2.423297e-07	1.35472	2.33149e-07
2.427240e-07	1.35471	2.34429e-07
2.431190e-07	1.3547	2.35717e-07
2.435146e-07	1.35468	2.37012e-07
2.439109e-07	1.35467	2.38315e-07
2.443078e-07	1.35466	2.39626e-07
2.447054e-07	1.35465	2.40945e-07
2.451036e-07	1.35463	2.42271e-07
2.455025e-07	1.35462	2.43605e-07
2.459020e-07	1.35461	2.44947e-07
2.463021e-07	1.3546	2.46297e-07
2.467029e-07	1.35458	2.47655e-07
2.471044e-07	1.35457	2.49021e-07
2.475065e-07	1.35456	2.50395e-07
2.479093e-07	1.35454	2.51777e-07
2.483127e-07	1.35453	2.53167e-07
2.487168e-07	1.35452	2.54566e-07
2.491215e-07	1.35451	2.55973e-07
2.495269e-07	1.35449	2.57388e-07
2.499330e-07	1.35448	2.58812e-07
2.503397e-07	1.35447	2.60244e-07
2.507471e-07	1.35445	2.61685e-07
2.511551e-07	1.35444	2.63134e-07
2.515638e-07	1.35443	2.64592e-07
