Wavelength(m)	n	k
# material: Graphene
# source: lab MATLAB library, optprop_Gr_Falkovsky.m (Falkovsky/Kubo model)
# conditions: Ef = 0.2 eV, mobility = 10000 cm^2/Vs, T = 300 K
# note: sheet conductivity spread over 3.4e-10 m to give a bulk index; valid only at this gating
# type: model
# range: 1.5000e-07 - 1.0000e-04 m
# converted: 2026-08-03 by tools/convert_matlab_optprop.py
1.500000e-07	1.20315	0.668967
1.502441e-07	1.20361	0.669798
1.504886e-07	1.20407	0.67063
1.507335e-07	1.20454	0.671463
1.509788e-07	1.205	0.672296
1.512245e-07	1.20547	0.67313
1.514705e-07	1.20593	0.673965
1.517170e-07	1.2064	0.6748
1.519639e-07	1.20687	0.675636
1.522112e-07	1.20734	0.676473
1.524589e-07	1.20781	0.67731
1.527070e-07	1.20828	0.678148
1.529555e-07	1.20875	0.678987
1.532044e-07	1.20922	0.679827
1.534537e-07	1.20969	0.680667
1.537034e-07	1.21017	0.681508
1.539536e-07	1.21064	0.682349
1.542041e-07	1.21112	0.683192
1.544550e-07	1.21159	0.684035
1.547064e-07	1.21207	0.684879
1.549581e-07	1.21255	0.685723
1.552103e-07	1.21302	0.686568
1.554629e-07	1.2135	0.687414
1.557158e-07	1.21398	0.68826
1.559692e-07	1.21446	0.689108
1.562230e-07	1.21495	0.689955
1.564773e-07	1.21543	0.690804
1.567319e-07	1.21591	0.691653
1.569870e-07	1.21639	0.692503
1.572424e-07	1.21688	0.693354
1.574983e-07	1.21736	0.694205
1.577546e-07	1.21785	0.695057
1.580113e-07	1.21834	0.69591
1.582684e-07	1.21883	0.696764
1.585260e-07	1.21931	0.697618
1.587840e-07	1.2198	0.698473
1.590424e-07	1.22029	0.699328
1.593012e-07	1.22079	0.700185
1.595604e-07	1.22128	0.701042
1.598200e-07	1.22177	0.701899
1.600801e-07	1.22226	0.702758
1.603406e-07	1.22276	0.703617
1.606015e-07	1.22325	0.704477
1.608629e-07	1.22375	0.705337
1.611247e-07	1.22425	0.706198
1.613869e-07	1.22474	0.70706
1.616495e-07	1.22524	0.707923
1.619125e-07	1.22574	0.708786
1.621760e-07	1.22624	0.70965
1.624399e-07	1.22674	0.710515
1.627043e-07	1.22724	0.71138
1.629690e-07	1.22774	0.712246
1.632342e-07	1.22825	0.713113
1.634999e-07	1.22875	0.71398
1.637659e-07	1.22926	0.714849
1.640324e-07	1.22976	0.715717
1.642994e-07	1.23027	0.716587
1.645667e-07	1.23078	0.717457
1.648345e-07	1.23128	0.718328
1.651028e-07	1.23179	0.7192
1.653714e-07	1.2323	0.720072
1.656405e-07	1.23281	0.720946
1.659101e-07	1.23333	0.721819
1.661801e-07	1.23384	0.722694
1.664505e-07	1.23435	0.723569
1.667214e-07	1.23486	0.724445
1.669927e-07	1.23538	0.725322
1.672644e-07	1.23589	0.726199
1.675366e-07	1.23641	0.727077
1.678092e-07	1.23693	0.727956
1.680823e-07	1.23745	0.728835
1.683558e-07	1.23796	0.729715
1.686298e-07	1.23848	0.730596
1.689042e-07	1.239	0.731478
1.691791e-07	1.23953	0.73236
1.694544e-07	1.24005	0.733243
1.697301e-07	1.24057	0.734127
1.700063e-07	1.24109	0.735011
1.702830e-07	1.24162	0.735896
1.705601e-07	1.24214	0.736782
1.708376e-07	1.24267	0.737668
1.711156e-07	1.2432	0.738556
1.713941e-07	1.24373	0.739444
1.716730e-07	1.24425	0.740332
1.719524e-07	1.24478	0.741221
1.722322e-07	1.24531	0.742111
1.725125e-07	1.24585	0.743002
1.727932e-07	1.24638	0.743894
1.730744e-07	1.24691	0.744786
1.733560e-07	1.24744	0.745679
1.736381e-07	1.24798	0.746572
1.739207e-07	1.24851	0.747466
1.742037e-07	1.24905	0.748361
1.744872e-07	1.24959	0.749257
1.747711e-07	1.25013	0.750154
1.750555e-07	1.25066	0.751051
1.753404e-07	1.2512	0.751948
1.756257e-07	1.25174	0.752847
1.759115e-07	1.25229	0.753746
1.761978e-07	1.25283	0.754646
1.764845e-07	1.25337	0.755547
1.767717e-07	1.25391	0.756448
1.770594e-07	1.25446	0.75735
1.773475e-07	1.255	0.758253
1.776361e-07	1.25555	0.759156
1.779252e-07	1.2561	0.760061
1.782147e-07	1.25665	0.760966
1.785047e-07	1.25719	0.761871
1.787952e-07	1.25774	0.762777
1.790862e-07	1.25829	0.763685
1.793776e-07	1.25885	0.764592
1.796695e-07	1.2594	0.765501
1.799619e-07	1.25995	0.76641
1.802547e-07	1.26051	0.76732
1.805480e-07	1.26106	0.76823
1.808418e-07	1.26162	0.769142
1.811361e-07	1.26217	0.770054
1.814309e-07	1.26273	0.770966
1.817261e-07	1.26329	0.77188
1.820219e-07	1.26385	0.772794
1.823181e-07	1.26441	0.773709
1.826148e-07	1.26497	0.774625
1.829119e-07	1.26553	0.775541
1.832096e-07	1.26609	0.776458
1.835077e-07	1.26665	0.777376
1.838063e-07	1.26722	0.778294
1.841054e-07	1.26778	0.779213
1.844050e-07	1.26835	0.780133
1.847051e-07	1.26892	0.781054
1.850057e-07	1.26948	0.781975
1.853068e-07	1.27005	0.782897
1.856083e-07	1.27062	0.78382
1.859103e-07	1.27119	0.784743
1.862129e-07	1.27176	0.785667
1.865159e-07	1.27233	0.786592
1.868194e-07	1.27291	0.787518
1.871234e-07	1.27348	0.788444
1.874279e-07	1.27406	0.789371
1.877329e-07	1.27463	0.790299
1.880384e-07	1.27521	0.791227
1.883444e-07	1.27578	0.792156
1.886509e-07	1.27636	0.793086
1.889579e-07	1.27694	0.794017
1.892654e-07	1.27752	0.794948
1.895734e-07	1.2781	0.79588
1.898819e-07	1.27868	0.796813
1.901909e-07	1.27926	0.797746
1.905004e-07	1.27985	0.798681
1.908104e-07	1.28043	0.799616
1.911209e-07	1.28102	0.800551
1.914319e-07	1.2816	0.801488
1.917434e-07	1.28219	0.802425
1.920554e-07	1.28278	0.803362
1.923680e-07	1.28336	0.804301
1.926810e-07	1.28395	0.80524
1.929946e-07	1.28454	0.80618
1.933086e-07	1.28513	0.807121
1.936232e-07	1.28573	0.808062
1.939383e-07	1.28632	0.809004
1.942539e-07	1.28691	0.809947
1.945700e-07	1.28751	0.810891
1.948866e-07	1.2881	0.811835
1.952038e-07	1.2887	0.81278
1.955214e-07	1.28929	0.813726
1.958396e-07	1.28989	0.814672
1.961583e-07	1.29049	0.815619
1.964775e-07	1.29109	0.816567
1.967972e-07	1.29169	0.817516
1.971175e-07	1.29229	0.818465
1.974382e-07	1.29289	0.819415
1.977595e-07	1.2935	0.820366
1.980813e-07	1.2941	0.821318
1.984037e-07	1.29471	0.82227
1.987265e-07	1.29531	0.823223
1.990499e-07	1.29592	0.824176
1.993738e-07	1.29653	0.825131
1.996983e-07	1.29714	0.826086
2.000232e-07	1.29774	0.827042
2.003487e-07	1.29835	0.827998
2.006748e-07	1.29897	0.828956
2.010013e-07	1.29958	0.829914
2.013284e-07	1.30019	0.830873
2.016560e-07	1.3008	0.831832
2.019842e-07	1.30142	0.832792
2.023129e-07	1.30203	0.833753
2.026421e-07	1.30265	0.834715
2.029719e-07	1.30327	0.835677
2.033022e-07	1.30389	0.83664
2.036330e-07	1.30451	0.837604
2.039644e-07	1.30513	0.838569
2.042963e-07	1.30575	0.839534
2.046287e-07	1.30637	0.8405
2.049617e-07	1.30699	0.841467
2.052953e-07	1.30761	0.842434
2.056293e-07	1.30824	0.843403
2.059640e-07	1.30886	0.844372
2.062991e-07	1.30949	0.845341
2.066348e-07	1.31012	0.846312
2.069711e-07	1.31074	0.847283
2.073079e-07	1.31137	0.848255
2.076453e-07	1.312	0.849227
2.079832e-07	1.31263	0.850201
2.083216e-07	1.31327	0.851175
2.086606e-07	1.3139	0.85215
2.090002e-07	1.31453	0.853125
2.093403e-07	1.31517	0.854101
2.096809e-07	1.3158	0.855078
2.100221e-07	1.31644	0.856056
2.103639e-07	1.31707	0.857035
2.107062e-07	1.31771	0.858014
2.110491e-07	1.31835	0.858994
2.113926e-07	1.31899	0.859974
2.117366e-07	1.31963	0.860956
2.120811e-07	1.32027	0.861938
2.124262e-07	1.32091	0.862921
2.127719e-07	1.32156	0.863905
2.131182e-07	1.3222	0.864889
2.134650e-07	1.32285	0.865874
2.138123e-07	1.32349	0.86686
2.141603e-07	1.32414	0.867846
2.145088e-07	1.32479	0.868834
2.148579e-07	1.32544	0.869822
2.152075e-07	1.32609	0.87081
2.155577e-07	1.32674	0.8718
2.159085e-07	1.32739	0.87279
2.162598e-07	1.32804	0.873781
2.166117e-07	1.32869	0.874773
2.169642e-07	1.32935	0.875765
2.173173e-07	1.33	0.876759
2.176709e-07	1.33066	0.877753
2.180252e-07	1.33131	0.878747
2.183800e-07	1.33197	0.879743
2.187353e-07	1.33263	0.880739
2.190913e-07	1.33329	0.881736
2.194478e-07	1.33395	0.882733
2.198049e-07	1.33461	0.883732
2.201626e-07	1.33527	0.884731
2.205209e-07	1.33594	0.885731
2.208797e-07	1.3366	0.886731
2.212392e-07	1.33727	0.887733
2.215992e-07	1.33793	0.888735
2.219598e-07	1.3386	0.889738
2.223210e-07	1.33927	0.890741
2.226828e-07	1.33994	0.891745
2.230451e-07	1.34061	0.892751
2.234081e-07	1.34128	0.893756
2.237717e-07	1.34195	0.894763
2.241358e-07	1.34262	0.89577
2.245005e-07	1.34329	0.896778
2.248659e-07	1.34397	0.897787
2.252318e-07	1.34464	0.898797
2.255983e-07	1.34532	0.899807
2.259654e-07	1.346	0.900818
2.263331e-07	1.34667	0.90183
2.267015e-07	1.34735	0.902842
2.270704e-07	1.34803	0.903855
2.274399e-07	1.34871	0.904869
2.278100e-07	1.3494	0.905884
2.281807e-07	1.35008	0.9069
2.285520e-07	1.35076	0.907916
2.289239e-07	1.35145	0.908933
2.292965e-07	1.35213	0.909951
2.296696e-07	1.35282	0.910969
2.300434e-07	1.3535	0.911989
2.304177e-07	1.35419	0.913009
2.307927e-07	1.35488	0.914029
2.311682e-07	1.35557	0.915051
