Wavelength(m)	n	k
# material: SiO2
# source: lab MATLAB library, wavnk_SiO2_JwKang_260409.mat (via optprop_SiO2_JwKang_260409.m)
# type: tabulated nk
# range: 1.2524e-06 - 3.9884e-05 m
# converted: 2026-08-03 by tools/convert_matlab_optprop.py
1.252393e-06	1.4499	0
1.277700e-06	1.44968	0
1.285302e-06	1.44961	0
1.307999e-06	1.4494	0
1.319987e-06	1.44929	0
1.320659e-06	1.44929	0
1.359441e-06	1.44892	0
1.362298e-06	1.44889	0
1.363015e-06	1.44889	0
1.370219e-06	1.44882	0
1.370943e-06	1.44881	0
1.371669e-06	1.4488	0
1.372395e-06	1.4488	0
1.373850e-06	1.44878	0
1.374578e-06	1.44878	0
1.375307e-06	1.44877	0
1.377500e-06	1.44875	0
1.378965e-06	1.44873	0
1.384119e-06	1.44868	0
1.386339e-06	1.44866	0
1.387824e-06	1.44865	0
1.390802e-06	1.44862	0
1.391548e-06	1.44861	0
1.393793e-06	1.44859	0
1.394542e-06	1.44858	0
1.395293e-06	1.44857	0
1.396044e-06	1.44857	0
1.397549e-06	1.44855	0
1.398303e-06	1.44854	0
1.399058e-06	1.44854	0
1.399813e-06	1.44853	0
1.402084e-06	1.44851	0
1.405124e-06	1.44848	0
1.405886e-06	1.44847	0
1.406649e-06	1.44846	0
1.407413e-06	1.44846	0
1.408177e-06	1.44845	0
1.410476e-06	1.44843	0
1.412012e-06	1.44841	0
1.412782e-06	1.4484	0
1.417416e-06	1.44836	0
1.419745e-06	1.44833	0
1.420523e-06	1.44833	0
1.421302e-06	1.44832	0
1.422081e-06	1.44831	0
1.422862e-06	1.4483	0
1.423643e-06	1.44829	0
1.425209e-06	1.44828	0
1.425992e-06	1.44827	0
1.426777e-06	1.44826	0
1.428349e-06	1.44825	0
1.429137e-06	1.44824	0
1.430714e-06	1.44822	0
1.431504e-06	1.44822	0
1.432295e-06	1.44821	0
1.433087e-06	1.4482	0
1.433880e-06	1.44819	0
1.434673e-06	1.44818	0
1.435467e-06	1.44817	0
1.436263e-06	1.44817	0
1.437059e-06	1.44816	0
1.437856e-06	1.44815	0
1.438654e-06	1.44814	0
1.439453e-06	1.44813	0
1.440252e-06	1.44813	0
1.441053e-06	1.44812	0
1.442657e-06	1.4481	0
1.443460e-06	1.44809	0
1.445069e-06	1.44808	0
1.445875e-06	1.44807	0
1.446682e-06	1.44806	0
1.447490e-06	1.44805	0
1.448299e-06	1.44805	0
1.449108e-06	1.44804	0
1.449919e-06	1.44803	0
1.450730e-06	1.44802	0
1.451542e-06	1.44801	0
1.452355e-06	1.448	0
1.453169e-06	1.44799	0
1.453984e-06	1.44799	0
1.454800e-06	1.44798	0
1.455617e-06	1.44797	0
1.456435e-06	1.44796	0
1.457254e-06	1.44795	0
1.458073e-06	1.44795	0
1.458894e-06	1.44794	0
1.459715e-06	1.44793	0
1.460538e-06	1.44792	0
1.461361e-06	1.44791	0
1.462185e-06	1.4479	0
1.463010e-06	1.44789	0
1.463836e-06	1.44789	0
1.464664e-06	1.44788	0
1.465491e-06	1.44787	0
1.466320e-06	1.44786	0
1.467150e-06	1.44785	0
1.467981e-06	1.44784	0
1.468813e-06	1.44783	0
1.469645e-06	1.44782	0
1.470479e-06	1.44782	0
1.471313e-06	1.44781	0
1.472149e-06	1.4478	0
1.472985e-06	1.44779	0
1.473823e-06	1.44778	0
1.474661e-06	1.44777	0
1.475500e-06	1.44776	0
1.476341e-06	1.44775	0
1.477182e-06	1.44775	0
1.478024e-06	1.44774	0
1.478867e-06	1.44773	0
1.479711e-06	1.44772	0
1.480556e-06	1.44771	0
1.481402e-06	1.4477	0
1.482249e-06	1.44769	0
1.483097e-06	1.44769	0
1.483946e-06	1.44768	0
1.484796e-06	1.44767	0
1.485647e-06	1.44766	0
1.486499e-06	1.44765	0
1.487352e-06	1.44764	0
1.488206e-06	1.44763	0
1.489060e-06	1.44762	0
1.489916e-06	1.44761	0
1.490773e-06	1.4476	0
1.491631e-06	1.44759	0
1.492489e-06	1.44759	0
1.493349e-06	1.44758	0
1.494210e-06	1.44757	0
1.495072e-06	1.44756	0
1.495934e-06	1.44755	0
1.496798e-06	1.44754	0
1.497663e-06	1.44753	0
1.498528e-06	1.44752	0
1.499395e-06	1.44751	0
1.500263e-06	1.4475	0
1.501132e-06	1.44749	0
1.502001e-06	1.44748	0
1.502872e-06	1.44748	0
1.503744e-06	1.44747	0
1.504616e-06	1.44746	0
1.505490e-06	1.44745	0
1.506365e-06	1.44744	0
1.507241e-06	1.44743	0
1.508118e-06	1.44742	0
1.508996e-06	1.44741	0
1.509874e-06	1.4474	0
1.510754e-06	1.44739	0
1.511635e-06	1.44738	0
1.512517e-06	1.44737	0
1.513400e-06	1.44736	0
1.514284e-06	1.44735	0
1.515169e-06	1.44735	0
1.516055e-06	1.44734	0
1.516942e-06	1.44733	0
1.517830e-06	1.44732	0
1.518720e-06	1.44731	0
1.519610e-06	1.4473	0
1.520501e-06	1.44729	0
1.521393e-06	1.44728	0
1.522287e-06	1.44727	0
1.523181e-06	1.44726	0
1.524077e-06	1.44725	0
1.524973e-06	1.44724	0
1.525871e-06	1.44723	0
1.526769e-06	1.44722	0
1.527669e-06	1.44721	0
1.528570e-06	1.4472	0
1.529472e-06	1.44719	0
1.530374e-06	1.44718	0
1.531278e-06	1.44717	0
1.532183e-06	1.44716	0
1.533089e-06	1.44715	0
1.533997e-06	1.44714	0
1.534905e-06	1.44713	0
1.535814e-06	1.44712	0
1.536725e-06	1.44711	0
1.537636e-06	1.4471	0
1.538549e-06	1.44709	0
1.539462e-06	1.44708	0
1.540377e-06	1.44707	0
1.541293e-06	1.44706	0
1.542210e-06	1.44705	0
1.543127e-06	1.44704	0
1.544047e-06	1.44703	0
1.544967e-06	1.44702	0
1.545888e-06	1.44701	0
1.546810e-06	1.447	0
1.547734e-06	1.44699	0
1.548658e-06	1.44698	0
1.549584e-06	1.44697	0
1.550511e-06	1.44696	0
1.551439e-06	1.44695	0
1.552368e-06	1.44694	0
1.553298e-06	1.44693	0
1.554229e-06	1.44692	0
1.555162e-06	1.44691	0
1.556095e-06	1.4469	0
1.557030e-06	1.44689	0
1.557965e-06	1.44688	0
1.558902e-06	1.44687	0
1.559840e-06	1.44686	0
1.560779e-06	1.44685	0
1.561719e-06	1.44684	0
1.562661e-06	1.44683	0
1.563603e-06	1.44682	0
1.564547e-06	1.44681	0
1.565492e-06	1.4468	0
1.566438e-06	1.44678	0
1.567385e-06	1.44677	0
1.568333e-06	1.44676	0
1.569282e-06	1.44675	0
1.570233e-06	1.44674	0
1.571185e-06	1.44673	0
1.572137e-06	1.44672	0
1.573091e-06	1.44671	0
1.574046e-06	1.4467	0
1.575003e-06	1.44669	0
1.575960e-06	1.44668	0
1.576919e-06	1.44667	0
1.577878e-06	1.44666	0
1.578839e-06	1.44665	0
1.579802e-06	1.44663	0
1.580765e-06	1.44662	0
1.581729e-06	1.44661	0
1.582695e-06	1.4466	0
1.583662e-06	1.44659	0
1.584630e-06	1.44658	0
1.585599e-06	1.44657	0
1.586569e-06	1.44656	0
1.587541e-06	1.44655	0
1.588514e-06	1.44654	0
1.589488e-06	1.44653	0
1.590463e-06	1.44651	0
1.591439e-06	1.4465	0
1.592417e-06	1.44649	0
1.593395e-06	1.44648	0
1.594375e-06	1.44647	0
1.595357e-06	1.44646	0
1.596339e-06	1.44645	0
1.597322e-06	1.44644	0
1.598307e-06	1.44643	0
1.599293e-06	1.44642	0
1.600280e-06	1.4464	0
1.601269e-06	1.44639	0
1.602258e-06	1.44638	0
1.603249e-06	1.44637	0
1.604241e-06	1.44636	0
1.605235e-06	1.44635	0
1.606229e-06	1.44634	0
1.607225e-06	1.44632	0
1.608222e-06	1.44631	0
1.609220e-06	1.4463	0
1.610220e-06	1.44629	0
1.611221e-06	1.44628	0
1.612223e-06	1.44627	0
1.613226e-06	1.44626	0
1.614231e-06	1.44624	0
1.615236e-06	1.44623	0
1.616243e-06	1.44622	0
1.617252e-06	1.44621	0
1.618261e-06	1.4462	0
1.619272e-06	1.44619	0
1.620284e-06	1.44617	0
1.621297e-06	1.44616	0
1.622312e-06	1.44615	0
1.623328e-06	1.44614	0
1.624345e-06	1.44613	0
1.625363e-06	1.44612	0
1.626383e-06	1.4461	0
1.627404e-06	1.44609	0
1.628426e-06	1.44608	0
1.629449e-06	1.44607	0
1.630474e-06	1.44606	0
1.631500e-06	1.44604	0
1.632528e-06	1.44603	0
1.633557e-06	1.44602	0
1.634587e-06	1.44601	0
1.635618e-06	1.446	0
1.636650e-06	1.44598	0
1.637684e-06	1.44597	0
1.638719e-06	1.44596	0
1.639756e-06	1.44595	0
1.640794e-06	1.44593	0
1.641833e-06	1.44592	0
1.642873e-06	1.44591	0
1.643915e-06	1.4459	0
1.644958e-06	1.44589	0
1.646003e-06	1.44587	0
1.647048e-06	1.44586	0
1.648096e-06	1.44585	0
1.649144e-06	1.44584	0
1.650194e-06	1.44582	0
1.651245e-06	1.44581	0
1.652297e-06	1.4458	0
1.653351e-06	1.44579	0
1.654406e-06	1.44578	0
1.655463e-06	1.44576	0
1.656520e-06	1.44575	0
1.657579e-06	1.44574	0
1.658640e-06	1.44572	0
1.659702e-06	1.44571	0
1.660765e-06	1.4457	0
1.661830e-06	1.44569	0
1.662896e-06	1.44567	0
1.663963e-06	1.44566	0
1.665032e-06	1.44565	0
1.666102e-06	1.44564	0
1.667173e-06	1.44562	0
1.668246e-06	1.44561	0
1.669320e-06	1.4456	0
1.670396e-06	1.44558	0
1.671473e-06	1.44557	0
1.672551e-06	1.44556	0
1.673631e-06	1.44555	0
1.674712e-06	1.44553	0
1.675795e-06	1.44552	0
1.676879e-06	1.44551	0
1.677964e-06	1.44549	0
1.679051e-06	1.44548	0
1.680139e-06	1.44547	0
1.681228e-06	1.44545	0
1.682320e-06	1.44544	0
1.683412e-06	1.44543	0
1.684506e-06	1.44541	0
1.685601e-06	1.4454	0
1.686698e-06	1.44539	0
1.687796e-06	1.44538	0
1.688895e-06	1.44536	0
1.689996e-06	1.44535	0
1.691099e-06	1.44534	0
1.692203e-06	1.44532	0
1.693308e-06	1.44531	0
1.694414e-06	1.44529	0
1.695523e-06	1.44528	0
1.696632e-06	1.44527	0
1.697744e-06	1.44525	0
1.698856e-06	1.44524	0
1.699970e-06	1.44523	0
1.701085e-06	1.44521	0
1.702202e-06	1.4452	0
1.703321e-06	1.44519	0
