Wavelength(m)	n	k
# material: Ti
# source: lab MATLAB library, wavnk_Ti_BrendelBormann.mat (via optprop_Ti_BrendelBormann.m)
# type: tabulated nk
# range: 2.4797e-07 - 3.0996e-05 m
# converted: 2026-07-31 by tools/convert_matlab_optprop.py
2.479700e-07	0.18885	1.4035
2.540600e-07	0.19618	1.4617
2.603000e-07	0.2041	1.5216
2.666900e-07	0.21269	1.5835
2.732400e-07	0.22214	1.6477
2.799500e-07	0.23275	1.7146
2.868300e-07	0.24492	1.7846
2.938700e-07	0.25928	1.8581
3.010900e-07	0.27664	1.9353
3.084800e-07	0.29798	2.0161
3.160600e-07	0.32441	2.1005
3.238200e-07	0.35707	2.1878
3.317700e-07	0.39701	2.277
3.399200e-07	0.44504	2.3668
3.482700e-07	0.50164	2.4557
3.568200e-07	0.56684	2.5419
3.655900e-07	0.64024	2.6237
3.745700e-07	0.72099	2.6994
3.837700e-07	0.80782	2.7678
3.931900e-07	0.8992	2.8277
4.028500e-07	0.99337	2.8785
4.127400e-07	1.0885	2.9201
4.228800e-07	1.1828	2.9525
4.332600e-07	1.2745	2.9764
4.439000e-07	1.3622	2.9928
4.548100e-07	1.4448	3.0028
4.659800e-07	1.5213	3.0078
4.774200e-07	1.5911	3.0093
4.891500e-07	1.6542	3.0088
5.011600e-07	1.7105	3.0077
5.134700e-07	1.7606	3.0074
5.260800e-07	1.805	3.009
5.390000e-07	1.8445	3.0134
5.522400e-07	1.8802	3.0214
5.658000e-07	1.9129	3.0334
5.797000e-07	1.9438	3.0495
5.939300e-07	1.9737	3.0699
6.085200e-07	2.0035	3.0943
6.234600e-07	2.0339	3.1224
6.387800e-07	2.0656	3.1537
6.544600e-07	2.0989	3.1878
6.705400e-07	2.1343	3.2241
6.870100e-07	2.1718	3.2621
7.038800e-07	2.2115	3.3014
7.211700e-07	2.2535	3.3414
7.388800e-07	2.2976	3.3818
7.570200e-07	2.3437	3.4223
7.756200e-07	2.3915	3.4625
