Wavelength(m)	n	k
# material: Ti
# source: Material_data set, optprop_Ti.m
# model: Brendel-Bormann oscillators, sampled onto this grid
# type: model
# range: 1.5000e-07 - 1.0000e-04 m
# converted: 2026-08-03 by tools/convert_matlab_optprop.py
1.500000e-07	0.216229	0.256304
1.502441e-07	0.213633	0.260711
1.504886e-07	0.211105	0.265147
1.507335e-07	0.208646	0.269608
1.509788e-07	0.206256	0.274091
1.512245e-07	0.203933	0.278594
1.514705e-07	0.201678	0.283113
1.517170e-07	0.19949	0.287645
1.519639e-07	0.197367	0.292188
1.522112e-07	0.195308	0.296739
1.524589e-07	0.193313	0.301296
1.527070e-07	0.19138	0.305856
1.529555e-07	0.189507	0.310418
1.532044e-07	0.187694	0.31498
1.534537e-07	0.185938	0.319539
1.537034e-07	0.184239	0.324094
1.539536e-07	0.182594	0.328644
1.542041e-07	0.181003	0.333187
1.544550e-07	0.179462	0.337722
1.547064e-07	0.177972	0.342248
1.549581e-07	0.176531	0.346764
1.552103e-07	0.175136	0.351269
1.554629e-07	0.173787	0.355762
1.557158e-07	0.172481	0.360243
1.559692e-07	0.171219	0.36471
1.562230e-07	0.169997	0.369164
1.564773e-07	0.168815	0.373604
1.567319e-07	0.167671	0.378029
1.569870e-07	0.166565	0.382439
1.572424e-07	0.165494	0.386834
1.574983e-07	0.164459	0.391213
1.577546e-07	0.163456	0.395577
1.580113e-07	0.162486	0.399925
1.582684e-07	0.161547	0.404257
1.585260e-07	0.160639	0.408574
1.587840e-07	0.159759	0.412874
1.590424e-07	0.158908	0.417159
1.593012e-07	0.158084	0.421427
1.595604e-07	0.157287	0.42568
1.598200e-07	0.156514	0.429917
1.600801e-07	0.155767	0.434138
1.603406e-07	0.155043	0.438343
1.606015e-07	0.154342	0.442533
1.608629e-07	0.153664	0.446708
1.611247e-07	0.153007	0.450867
1.613869e-07	0.152371	0.455011
1.616495e-07	0.151756	0.45914
1.619125e-07	0.15116	0.463254
1.621760e-07	0.150583	0.467354
1.624399e-07	0.150024	0.471439
1.627043e-07	0.149483	0.47551
1.629690e-07	0.14896	0.479567
1.632342e-07	0.148453	0.483611
1.634999e-07	0.147962	0.48764
1.637659e-07	0.147488	0.491656
1.640324e-07	0.147028	0.495659
1.642994e-07	0.146584	0.499648
1.645667e-07	0.146154	0.503625
1.648345e-07	0.145738	0.507589
1.651028e-07	0.145336	0.511541
1.653714e-07	0.144947	0.51548
1.656405e-07	0.144571	0.519407
1.659101e-07	0.144207	0.523323
1.661801e-07	0.143856	0.527226
1.664505e-07	0.143516	0.531119
1.667214e-07	0.143189	0.534999
1.669927e-07	0.142872	0.538869
1.672644e-07	0.142566	0.542728
1.675366e-07	0.142271	0.546576
1.678092e-07	0.141987	0.550414
1.680823e-07	0.141713	0.554241
1.683558e-07	0.141448	0.558059
1.686298e-07	0.141193	0.561866
1.689042e-07	0.140948	0.565663
1.691791e-07	0.140712	0.569451
1.694544e-07	0.140485	0.57323
1.697301e-07	0.140267	0.576999
1.700063e-07	0.140057	0.580759
1.702830e-07	0.139855	0.58451
1.705601e-07	0.139662	0.588253
1.708376e-07	0.139477	0.591986
1.711156e-07	0.1393	0.595712
1.713941e-07	0.13913	0.599429
1.716730e-07	0.138968	0.603138
1.719524e-07	0.138813	0.606839
1.722322e-07	0.138665	0.610532
1.725125e-07	0.138524	0.614218
1.727932e-07	0.13839	0.617896
1.730744e-07	0.138263	0.621567
1.733560e-07	0.138143	0.625231
1.736381e-07	0.138029	0.628887
1.739207e-07	0.137921	0.632537
1.742037e-07	0.137819	0.63618
1.744872e-07	0.137724	0.639816
1.747711e-07	0.137635	0.643446
1.750555e-07	0.137551	0.647069
1.753404e-07	0.137473	0.650686
1.756257e-07	0.137401	0.654297
1.759115e-07	0.137334	0.657902
1.761978e-07	0.137273	0.661501
1.764845e-07	0.137217	0.665095
1.767717e-07	0.137167	0.668682
1.770594e-07	0.137121	0.672265
1.773475e-07	0.137081	0.675841
1.776361e-07	0.137045	0.679413
1.779252e-07	0.137015	0.682979
1.782147e-07	0.136989	0.686541
1.785047e-07	0.136968	0.690097
1.787952e-07	0.136952	0.693649
1.790862e-07	0.13694	0.697196
1.793776e-07	0.136933	0.700738
1.796695e-07	0.13693	0.704276
1.799619e-07	0.136932	0.70781
1.802547e-07	0.136938	0.711339
1.805480e-07	0.136948	0.714864
1.808418e-07	0.136963	0.718384
1.811361e-07	0.136981	0.721901
1.814309e-07	0.137004	0.725414
1.817261e-07	0.137031	0.728923
1.820219e-07	0.137061	0.732429
1.823181e-07	0.137096	0.735931
1.826148e-07	0.137134	0.739429
1.829119e-07	0.137176	0.742924
1.832096e-07	0.137222	0.746415
1.835077e-07	0.137272	0.749903
1.838063e-07	0.137325	0.753388
1.841054e-07	0.137382	0.75687
1.844050e-07	0.137442	0.760349
1.847051e-07	0.137506	0.763825
1.850057e-07	0.137573	0.767299
1.853068e-07	0.137644	0.770769
1.856083e-07	0.137718	0.774237
1.859103e-07	0.137796	0.777702
1.862129e-07	0.137877	0.781165
1.865159e-07	0.137961	0.784625
1.868194e-07	0.138048	0.788083
1.871234e-07	0.138139	0.791538
1.874279e-07	0.138233	0.794991
1.877329e-07	0.13833	0.798443
1.880384e-07	0.13843	0.801892
1.883444e-07	0.138533	0.805339
1.886509e-07	0.138639	0.808784
1.889579e-07	0.138748	0.812227
1.892654e-07	0.13886	0.815669
1.895734e-07	0.138975	0.819109
1.898819e-07	0.139093	0.822547
1.901909e-07	0.139214	0.825983
1.905004e-07	0.139337	0.829419
1.908104e-07	0.139464	0.832852
1.911209e-07	0.139593	0.836284
1.914319e-07	0.139725	0.839715
