Wavelength(m)	n	k
# material: Iongel
# source: [Optprop][Iongel][JW].mat
# type: tabulated nk
# range: 1.6672e-06 - 3.3237e-05 m
# converted: 2026-08-04 by tools/convert_matlab_optprop.py
1.667200e-06	1.41219	0.000366079
1.667700e-06	1.41219	0.000365034
1.668200e-06	1.41219	0.000364139
1.668800e-06	1.41218	0.000362978
1.669300e-06	1.41218	0.000361896
1.669900e-06	1.41218	0.000360902
1.670400e-06	1.41218	0.000359756
1.670900e-06	1.41218	0.000358905
1.671500e-06	1.41218	0.000358126
1.672000e-06	1.41217	0.000357065
1.672600e-06	1.41217	0.000355931
1.673100e-06	1.41217	0.000354938
1.673600e-06	1.41217	0.000354113
1.674200e-06	1.41217	0.000352971
1.674700e-06	1.41216	0.00035208
1.675300e-06	1.41216	0.000351066
1.675800e-06	1.41216	0.00034991
1.676300e-06	1.41216	0.000349015
1.676900e-06	1.41216	0.000347752
1.677400e-06	1.41216	0.000347253
1.678000e-06	1.41215	0.0003461
1.678500e-06	1.41215	0.00034497
1.679100e-06	1.41215	0.000344059
1.679600e-06	1.41215	0.000343136
1.680100e-06	1.41215	0.000342122
1.680700e-06	1.41214	0.000341024
1.681200e-06	1.41214	0.000339945
1.681800e-06	1.41214	0.000339104
1.682300e-06	1.41214	0.000338185
1.682900e-06	1.41214	0.000337523
1.683400e-06	1.41214	0.000336136
1.684000e-06	1.41213	0.000335251
1.684500e-06	1.41213	0.000334166
1.685100e-06	1.41213	0.000333251
1.685600e-06	1.41213	0.000332375
1.686100e-06	1.41213	0.00033132
1.686700e-06	1.41212	0.000330417
1.687200e-06	1.41212	0.000329536
1.687800e-06	1.41212	0.00032845
1.688300e-06	1.41212	0.000327546
1.688900e-06	1.41212	0.000326725
1.689400e-06	1.41212	0.000325993
1.690000e-06	1.41211	0.000324639
1.690500e-06	1.41211	0.000323836
1.691100e-06	1.41211	0.000322779
1.691700e-06	1.41211	0.000321847
1.692200e-06	1.41211	0.000321127
1.692800e-06	1.4121	0.000319955
1.693300e-06	1.4121	0.000318982
1.693900e-06	1.4121	0.000318216
1.694400e-06	1.4121	0.000317289
1.695000e-06	1.4121	0.000316328
1.695500e-06	1.41209	0.000315681
1.696100e-06	1.41209	0.000314506
1.696600e-06	1.41209	0.000313665
1.697200e-06	1.41209	0.000312553
1.697700e-06	1.41209	0.000311723
1.698300e-06	1.41208	0.000310714
1.698900e-06	1.41208	0.000309796
1.699400e-06	1.41208	0.000308913
1.700000e-06	1.41208	0.000307906
1.700500e-06	1.41208	0.000307072
1.701100e-06	1.41208	0.000306105
1.701600e-06	1.41207	0.000305201
1.702200e-06	1.41207	0.000304248
1.702800e-06	1.41207	0.000303637
1.703300e-06	1.41207	0.000302708
1.703900e-06	1.41207	0.00030167
1.704400e-06	1.41206	0.000300859
1.705000e-06	1.41206	0.000299847
1.705600e-06	1.41206	0.000299169
1.706100e-06	1.41206	0.000298108
1.706700e-06	1.41206	0.000297091
1.707200e-06	1.41205	0.000296372
1.707800e-06	1.41205	0.000295364
1.708400e-06	1.41205	0.000294502
1.708900e-06	1.41205	0.000293676
