Wavelength(m)	n	k
# material: Graphene
# source: optprop_Gr_Falkovsky.m (Falkovsky/Kubo model)
# conditions: Ef = 0.6 eV, mobility = 10000 cm^2/Vs, T = 300 K
# note: sheet conductivity spread over 3.4e-10 m to give a bulk index; valid only at this gating
# type: model
# range: 5.0000e-07 - 5.0000e-05 m
# converted: 2026-08-04
5.000000e-07	1.82268	1.47213
5.023102e-07	1.82652	1.47582
5.046311e-07	1.83039	1.47951
5.069627e-07	1.83427	1.4832
5.093051e-07	1.83817	1.48689
5.116583e-07	1.84209	1.49059
5.140224e-07	1.84604	1.49428
5.163974e-07	1.85	1.49797
5.187833e-07	1.85398	1.50166
5.211803e-07	1.85798	1.50535
5.235884e-07	1.862	1.50905
5.260076e-07	1.86604	1.51274
5.284380e-07	1.8701	1.51643
5.308796e-07	1.87418	1.52012
5.333325e-07	1.87829	1.52381
5.357967e-07	1.88241	1.52749
5.382723e-07	1.88656	1.53118
5.407594e-07	1.89073	1.53486
5.432579e-07	1.89492	1.53855
5.457680e-07	1.89914	1.54223
5.482896e-07	1.90338	1.54591
5.508230e-07	1.90764	1.54958
5.533680e-07	1.91193	1.55325
5.559248e-07	1.91624	1.55692
5.584934e-07	1.92057	1.56059
5.610739e-07	1.92493	1.56425
5.636663e-07	1.92931	1.56791
5.662707e-07	1.93372	1.57157
5.688871e-07	1.93816	1.57522
5.715156e-07	1.94262	1.57887
5.741562e-07	1.9471	1.58251
5.768091e-07	1.95162	1.58614
5.794742e-07	1.95616	1.58977
5.821516e-07	1.96073	1.5934
5.848414e-07	1.96533	1.59702
5.875436e-07	1.96996	1.60063
5.902583e-07	1.97461	1.60424
5.929855e-07	1.9793	1.60784
5.957253e-07	1.98402	1.61143
5.984779e-07	1.98876	1.61501
6.012431e-07	1.99354	1.61859
6.040211e-07	1.99835	1.62216
6.068119e-07	2.0032	1.62572
6.096156e-07	2.00807	1.62926
6.124323e-07	2.01298	1.6328
6.152620e-07	2.01792	1.63633
6.181048e-07	2.0229	1.63985
6.209607e-07	2.02792	1.64336
6.238298e-07	2.03297	1.64685
6.267121e-07	2.03805	1.65033
6.296078e-07	2.04318	1.6538
6.325169e-07	2.04834	1.65726
6.354394e-07	2.05354	1.6607
6.383754e-07	2.05879	1.66413
6.413249e-07	2.06407	1.66755
6.442881e-07	2.06939	1.67094
6.472650e-07	2.07476	1.67432
6.502556e-07	2.08017	1.67769
6.532601e-07	2.08563	1.68104
6.562784e-07	2.09113	1.68436
6.593107e-07	2.09667	1.68767
6.623570e-07	2.10227	1.69096
6.654174e-07	2.10791	1.69423
6.684919e-07	2.1136	1.69748
6.715806e-07	2.11935	1.7007
6.746836e-07	2.12514	1.7039
6.778009e-07	2.13099	1.70708
6.809326e-07	2.13689	1.71023
6.840788e-07	2.14285	1.71336
6.872395e-07	2.14887	1.71646
6.904149e-07	2.15495	1.71953
6.936049e-07	2.16109	1.72257
6.968096e-07	2.16729	1.72558
7.000292e-07	2.17355	1.72855
7.032636e-07	2.17988	1.7315
7.065130e-07	2.18628	1.73441
7.097774e-07	2.19274	1.73728
7.130569e-07	2.19928	1.74011
7.163515e-07	2.20589	1.74291
7.196613e-07	2.21258	1.74566
7.229865e-07	2.21935	1.74838
7.263270e-07	2.22619	1.75104
