Wavelength(m)	n	k
# material: MgO
# source: wavnk_MgO_Palik.mat
# type: tabulated nk
# range: 1.3190e-06 - 1.3700e-05 m
# converted: 2026-08-04 by tools/convert_matlab_optprop.py
1.319000e-06	1.7177	7.1e-08
2.700000e-06	1.6973	1.1e-07
3.800000e-06	1.6734	2e-08
4.000000e-06	1.6679	3.7e-08
4.167000e-06	1.6634	7.4e-08
4.258000e-06	1.66039	1e-07
4.348000e-06	1.6581	1.5e-07
4.500000e-06	1.6533	2.5e-07
4.545000e-06	1.652	2.9e-07
4.762000e-06	1.645	5.8e-07
5.000000e-06	1.6373	1.2e-06
5.128000e-06	1.6328	1.63e-06
5.208000e-06	1.6299	2e-06
5.263000e-06	1.6278	2.3e-06
5.319000e-06	1.6256	2.7e-06
5.376000e-06	1.6233	3.1e-06
5.435000e-06	1.621	3.5e-06
5.495000e-06	1.6186	4e-06
5.555000e-06	1.6161	4.6e-06
5.618000e-06	1.6135	5.3e-06
5.682000e-06	1.6108	6.1e-06
5.747000e-06	1.608	7.1e-06
5.814000e-06	1.6051	8.1e-06
5.882000e-06	1.6021	9e-06
6.024000e-06	1.5957	1.2e-05
6.098000e-06	1.5922	1.4e-05
6.172000e-06	1.5887	1.6e-05
6.250000e-06	1.5849	1.83e-05
6.329000e-06	1.5811	2.2e-05
6.410000e-06	1.577	2.5e-05
6.494000e-06	1.5727	2.9e-05
6.579000e-06	1.5683	3.3e-05
6.667000e-06	1.5636	4.6e-05
6.757000e-06	1.551	5.38e-05
6.849000e-06	1.5536	5.98e-05
6.944000e-06	1.548	7e-05
7.042000e-06	1.543	7.89e-05
7.143000e-06	1.537	8.59e-05
7.246000e-06	1.53	9.3e-05
7.352000e-06	1.524	0.000103
7.463000e-06	1.517	0.000115
7.576000e-06	1.509	0.000131
7.692000e-06	1.502	0.000154
7.812000e-06	1.493	0.000184
7.936000e-06	1.485	0.000211
8.065000e-06	1.475	0.000247
8.197000e-06	1.465	0.000273
8.333000e-06	1.455	0.000309
8.475000e-06	1.443	0.000326
8.621000e-06	1.431	0.000352
8.772000e-06	1.418	0.000414
8.929000e-06	1.404	0.000576
9.091000e-06	1.389	0.000627
9.259000e-06	1.373	0.000847
9.434000e-06	1.355	0.00107
9.524000e-06	1.346	0.00133
9.615000e-06	1.336	0.00158
9.709000e-06	1.326	0.00192
9.804000e-06	1.315	0.00244
9.901000e-06	1.304	0.00302
1.000000e-05	1.292	0.0039
1.010000e-05	1.28	0.0047
1.020000e-05	1.267	0.00513
1.031000e-05	1.253	0.00429
1.042000e-05	1.239	0.00355
1.053000e-05	1.224	0.0034
1.064000e-05	1.209	0.0037
1.075000e-05	1.191	0.00458
1.087000e-05	1.174	0.00591
1.099000e-05	1.155	0.0078
1.111000e-05	1.135	0.0102
1.124000e-05	1.114	0.0137
1.136000e-05	1.091	0.0162
1.149000e-05	1.067	0.0196
1.163000e-05	1.041	0.0223
1.170000e-05	1.027	0.0229
1.176000e-05	1.013	0.0227
1.190000e-05	0.982	0.0205
1.205000e-05	0.949	0.0171
1.220000e-05	0.913	0.0147
1.227000e-05	0.893	0.0143
1.235000e-05	0.873	0.0146
1.250000e-05	0.829	0.0167
1.266000e-05	0.78	0.0236
1.282000e-05	0.724	0.0295
1.299000e-05	0.66	0.0346
1.333000e-05	0.503	0.0475
1.351000e-05	0.393	0.0913
1.370000e-05	0.267	0.172
