Wavelength(m)	n	k
# material: Si
# source: wavnk_Si_JwKang_260409.mat
# type: tabulated nk
# range: 1.2512e-06 - 3.9884e-05 m
# converted: 2026-08-04 by tools/convert_matlab_optprop.py
1.251185e-06	3.51545	0
1.251789e-06	3.51535	0
1.252393e-06	3.51525	0
1.252999e-06	3.51515	0
1.253605e-06	3.51506	0
1.254818e-06	3.51486	0
1.255426e-06	3.51476	0
1.256643e-06	3.51457	0
1.257252e-06	3.51447	0
1.258473e-06	3.51428	0
1.259084e-06	3.51418	0
1.260308e-06	3.51399	0
1.262149e-06	3.51369	0
1.262764e-06	3.5136	0
1.263379e-06	3.5135	0
1.265229e-06	3.51321	0
1.267084e-06	3.51292	0
1.268324e-06	3.51273	0
1.269566e-06	3.51254	0
1.271434e-06	3.51225	0
1.273308e-06	3.51196	0
1.273933e-06	3.51187	0
1.274560e-06	3.51177	0
1.277071e-06	3.51139	0
1.280224e-06	3.51091	0
1.285302e-06	3.51015	0
1.289137e-06	3.50958	0
1.289778e-06	3.50949	0
1.290420e-06	3.5094	0
1.293640e-06	3.50893	0
1.295579e-06	3.50864	0
1.296227e-06	3.50855	0
1.298174e-06	3.50827	0
1.298825e-06	3.50818	0
1.299476e-06	3.50808	0
1.300128e-06	3.50799	0
1.300780e-06	3.50789	0
1.302741e-06	3.50761	0
1.303396e-06	3.50752	0
1.304052e-06	3.50743	0
1.305365e-06	3.50724	0
1.309982e-06	3.50659	0
1.311307e-06	3.50641	0
1.312635e-06	3.50622	0
1.313300e-06	3.50613	0
1.313966e-06	3.50604	0
1.315299e-06	3.50585	0
1.315967e-06	3.50576	0
1.317974e-06	3.50549	0
1.319987e-06	3.50521	0
1.322681e-06	3.50484	0
1.324708e-06	3.50457	0
1.325386e-06	3.50448	0
1.327421e-06	3.5042	0
1.328102e-06	3.50411	0
1.330146e-06	3.50384	0
1.330829e-06	3.50375	0
1.331512e-06	3.50366	0
1.332196e-06	3.50357	0
1.334253e-06	3.5033	0
1.337006e-06	3.50293	0
1.339770e-06	3.50257	0
1.340462e-06	3.50248	0
1.341156e-06	3.50239	0
1.341850e-06	3.5023	0
1.342545e-06	3.50221	0
1.343937e-06	3.50203	0
1.344634e-06	3.50194	0
1.346730e-06	3.50167	0
1.347429e-06	3.50158	0
1.349534e-06	3.50131	0
1.350237e-06	3.50122	0
1.350940e-06	3.50114	0
1.352350e-06	3.50096	0
1.353762e-06	3.50078	0
1.354469e-06	3.50069	0
1.355177e-06	3.5006	0
1.355886e-06	3.50051	0
1.356596e-06	3.50042	0
1.357306e-06	3.50033	0
1.358017e-06	3.50025	0
1.359441e-06	3.50007	0
1.360155e-06	3.49998	0
1.360868e-06	3.49989	0
1.361583e-06	3.4998	0
1.364450e-06	3.49945	0
1.365168e-06	3.49936	0
1.365887e-06	3.49927	0
1.366607e-06	3.49918	0
1.367328e-06	3.4991	0
1.368050e-06	3.49901	0
1.368772e-06	3.49892	0
1.370219e-06	3.49874	0
1.370943e-06	3.49866	0
1.371669e-06	3.49857	0
1.372395e-06	3.49848	0
1.373122e-06	3.49839	0
1.373850e-06	3.49831	0
1.375307e-06	3.49813	0
1.376037e-06	3.49804	0
1.376768e-06	3.49796	0
1.377500e-06	3.49787	0
1.378232e-06	3.49778	0
1.378965e-06	3.49769	0
1.379699e-06	3.49761	0
1.380433e-06	3.49752	0
1.381169e-06	3.49743	0
1.381905e-06	3.49735	0
1.382642e-06	3.49726	0
1.383380e-06	3.49717	0
1.384119e-06	3.49709	0
1.384858e-06	3.497	0
1.385598e-06	3.49691	0
1.386339e-06	3.49682	0
1.387081e-06	3.49674	0
1.387824e-06	3.49665	0
1.388567e-06	3.49657	0
1.389311e-06	3.49648	0
1.390056e-06	3.49639	0
1.390802e-06	3.49631	0
1.391548e-06	3.49622	0
1.392296e-06	3.49613	0
1.393044e-06	3.49605	0
1.393793e-06	3.49596	0
1.394542e-06	3.49587	0
1.395293e-06	3.49579	0
