Wavelength(m)	n	k
# material: Ag
# source: P. B. Johnson and R. W. Christy. Optical constants of the noble metals. Phys. Rev. B 6, 4370-4379 (1972)
# conditions: Room temperature
# upstream: polyanskiy/refractiveindex.info-database@ff11b58 main/Ag/nk/Johnson.yml
# type: tabulated nk
# range: 1.8790e-07 - 1.9370e-06 m
# converted: 2026-07-31 (wavelength um -> m)
1.879000e-07	1.07	1.212
1.916000e-07	1.1	1.232
1.953000e-07	1.12	1.255
1.993000e-07	1.14	1.277
2.033000e-07	1.15	1.296
2.073000e-07	1.18	1.312
2.119000e-07	1.2	1.325
2.164000e-07	1.22	1.336
2.214000e-07	1.25	1.342
2.262000e-07	1.26	1.344
2.313000e-07	1.28	1.357
2.371000e-07	1.28	1.367
2.426000e-07	1.3	1.378
2.490000e-07	1.31	1.389
2.551000e-07	1.33	1.393
2.616000e-07	1.35	1.387
2.689000e-07	1.38	1.372
2.761000e-07	1.41	1.331
2.844000e-07	1.41	1.264
2.924000e-07	1.39	1.161
3.009000e-07	1.34	0.964
3.107000e-07	1.13	0.616
3.204000e-07	0.81	0.392
3.315000e-07	0.17	0.829
3.425000e-07	0.14	1.142
3.542000e-07	0.1	1.419
3.679000e-07	0.07	1.657
3.815000e-07	0.05	1.864
3.974000e-07	0.05	2.07
4.133000e-07	0.05	2.275
4.305000e-07	0.04	2.462
4.509000e-07	0.04	2.657
4.714000e-07	0.05	2.869
4.959000e-07	0.05	3.093
5.209000e-07	0.05	3.324
5.486000e-07	0.06	3.586
5.821000e-07	0.05	3.858
6.168000e-07	0.06	4.152
6.595000e-07	0.05	4.483
7.045000e-07	0.04	4.838
7.560000e-07	0.03	5.242
8.211000e-07	0.04	5.727
8.920000e-07	0.04	6.312
9.840000e-07	0.04	6.992
1.088000e-06	0.04	7.795
1.216000e-06	0.09	8.828
1.393000e-06	0.13	10.1
1.610000e-06	0.15	11.85
1.937000e-06	0.24	14.08
