Wavelength(m)	n	k
# material: Al2O3
# source: 1) I. H. Malitson and M. J. Dodge. Refractive index and birefringence of synthetic sapphire. J. Opt. Soc. Am. 62, 1405 (1972) 2) M. J. Dodge. "Refractive index" in Handbook of Laser Science and Technology, Volume IV, Optical Materials: Part 2, CRC Press, Boca Raton, 1986, p. 30 * Ref. 1 is a talk abstract in a conference program; Ref. 2 provides a dispersion formula
# conditions: Synthetic sapphire, Extraordinary ray (e), 20 degC
# upstream: polyanskiy/refractiveindex.info-database@ff11b58 main/Al2O3/nk/Malitson-e.yml
# type: formula 1
# note: dispersion formula sampled at 5000 points; k set to 0
# range: 2.0000e-07 - 5.0000e-06 m
# converted: 2026-07-31 by tools/convert_refractiveindex_info.py (wavelength um -> m)
2.000000e-07	1.90163	0
2.009602e-07	1.89965	0
2.019204e-07	1.89772	0
2.028806e-07	1.89583	0
2.038408e-07	1.89397	0
2.048010e-07	1.89216	0
2.057612e-07	1.89038	0
2.067213e-07	1.88864	0
2.076815e-07	1.88694	0
2.086417e-07	1.88526	0
2.096019e-07	1.88362	0
2.105621e-07	1.88202	0
2.115223e-07	1.88044	0
2.124825e-07	1.87889	0
2.134427e-07	1.87738	0
2.144029e-07	1.87589	0
2.153631e-07	1.87443	0
2.163233e-07	1.87299	0
2.172835e-07	1.87159	0
2.182436e-07	1.87021	0
2.192038e-07	1.86885	0
2.201640e-07	1.86752	0
2.211242e-07	1.86621	0
2.220844e-07	1.86492	0
2.230446e-07	1.86366	0
2.240048e-07	1.86242	0
2.249650e-07	1.8612	0
2.259252e-07	1.86	0
2.268854e-07	1.85882	0
2.278456e-07	1.85766	0
2.288058e-07	1.85652	0
2.297660e-07	1.8554	0
2.307261e-07	1.8543	0
2.316863e-07	1.85322	0
2.326465e-07	1.85215	0
2.336067e-07	1.8511	0
2.345669e-07	1.85007	0
2.355271e-07	1.84905	0
2.364873e-07	1.84805	0
2.374475e-07	1.84707	0
2.384077e-07	1.8461	0
2.393679e-07	1.84515	0
2.403281e-07	1.84421	0
2.412883e-07	1.84328	0
2.422484e-07	1.84237	0
2.432086e-07	1.84147	0
2.441688e-07	1.84059	0
2.451290e-07	1.83972	0
2.460892e-07	1.83886	0
2.470494e-07	1.83802	0
2.480096e-07	1.83719	0
2.489698e-07	1.83636	0
2.499300e-07	1.83556	0
2.508902e-07	1.83476	0
2.518504e-07	1.83397	0
2.528106e-07	1.8332	0
2.537708e-07	1.83243	0
2.547309e-07	1.83168	0
2.556911e-07	1.83094	0
2.566513e-07	1.83021	0
2.576115e-07	1.82948	0
2.585717e-07	1.82877	0
2.595319e-07	1.82807	0
2.604921e-07	1.82738	0
2.614523e-07	1.82669	0
2.624125e-07	1.82602	0
2.633727e-07	1.82535	0
2.643329e-07	1.82469	0
2.652931e-07	1.82405	0
2.662533e-07	1.82341	0
2.672134e-07	1.82278	0
2.681736e-07	1.82215	0
2.691338e-07	1.82154	0
2.700940e-07	1.82093	0
2.710542e-07	1.82033	0
2.720144e-07	1.81974	0
2.729746e-07	1.81915	0
2.739348e-07	1.81858	0
2.748950e-07	1.81801	0
2.758552e-07	1.81744	0
2.768154e-07	1.81689	0
2.777756e-07	1.81634	0
2.787357e-07	1.8158	0
2.796959e-07	1.81526	0
2.806561e-07	1.81473	0
2.816163e-07	1.81421	0
2.825765e-07	1.81369	0
2.835367e-07	1.81318	0
2.844969e-07	1.81268	0
2.854571e-07	1.81218	0
2.864173e-07	1.81169	0
2.873775e-07	1.8112	0
2.883377e-07	1.81072	0
2.892979e-07	1.81024	0
2.902581e-07	1.80977	0
2.912182e-07	1.80931	0
2.921784e-07	1.80885	0
2.931386e-07	1.80839	0
2.940988e-07	1.80794	0
2.950590e-07	1.8075	0
2.960192e-07	1.80706	0
2.969794e-07	1.80663	0
2.979396e-07	1.8062	0
2.988998e-07	1.80577	0
2.998600e-07	1.80536	0
3.008202e-07	1.80494	0
3.017804e-07	1.80453	0
3.027405e-07	1.80412	0
3.037007e-07	1.80372	0
3.046609e-07	1.80332	0
3.056211e-07	1.80293	0
3.065813e-07	1.80254	0
3.075415e-07	1.80216	0
3.085017e-07	1.80178	0
3.094619e-07	1.8014	0
3.104221e-07	1.80103	0
3.113823e-07	1.80066	0
3.123425e-07	1.8003	0
3.133027e-07	1.79993	0
3.142629e-07	1.79958	0
3.152230e-07	1.79922	0
3.161832e-07	1.79887	0
3.171434e-07	1.79853	0
3.181036e-07	1.79818	0
3.190638e-07	1.79784	0
3.200240e-07	1.79751	0
3.209842e-07	1.79718	0
3.219444e-07	1.79685	0
3.229046e-07	1.79652	0
3.238648e-07	1.7962	0
3.248250e-07	1.79588	0
3.257852e-07	1.79556	0
3.267453e-07	1.79525	0
3.277055e-07	1.79494	0
3.286657e-07	1.79463	0
3.296259e-07	1.79433	0
3.305861e-07	1.79403	0
3.315463e-07	1.79373	0
3.325065e-07	1.79343	0
3.334667e-07	1.79314	0
3.344269e-07	1.79285	0
3.353871e-07	1.79256	0
3.363473e-07	1.79228	0
3.373075e-07	1.792	0
3.382677e-07	1.79172	0
3.392278e-07	1.79144	0
3.401880e-07	1.79117	0
3.411482e-07	1.7909	0
3.421084e-07	1.79063	0
3.430686e-07	1.79036	0
3.440288e-07	1.7901	0
3.449890e-07	1.78984	0
3.459492e-07	1.78958	0
3.469094e-07	1.78932	0
3.478696e-07	1.78907	0
3.488298e-07	1.78881	0
3.497900e-07	1.78856	0
