Wavelength(m)	n	k
# material: Al2O3
# source: 1) I. H. Malitson and M. J. Dodge. Refractive index and birefringence of synthetic sapphire. J. Opt. Soc. Am. 62, 1405 (1972) 2) M. J. Dodge. "Refractive index" in Handbook of Laser Science and Technology, Volume IV, Optical Materials: Part 2, CRC Press, Boca Raton, 1986, p. 30 * Ref. 1 is a talk abstract in a conference program; Ref. 2 provides a dispersion formula
# conditions: Synthetic sapphire, Ordinary ray (o), 20 degC
# upstream: polyanskiy/refractiveindex.info-database@ff11b58 main/Al2O3/nk/Malitson-o.yml
# type: formula 1
# note: dispersion formula sampled at 5000 points; k set to 0
# range: 2.0000e-07 - 5.0000e-06 m
# converted: 2026-07-31 by tools/convert_refractiveindex_info.py (wavelength um -> m)
2.000000e-07	1.91271	0
2.009602e-07	1.9107	0
2.019204e-07	1.90873	0
2.028806e-07	1.9068	0
2.038408e-07	1.90492	0
2.048010e-07	1.90307	0
2.057612e-07	1.90126	0
2.067213e-07	1.89948	0
2.076815e-07	1.89774	0
2.086417e-07	1.89604	0
2.096019e-07	1.89437	0
2.105621e-07	1.89273	0
2.115223e-07	1.89112	0
2.124825e-07	1.88954	0
2.134427e-07	1.888	0
2.144029e-07	1.88648	0
2.153631e-07	1.88499	0
2.163233e-07	1.88352	0
2.172835e-07	1.88209	0
2.182436e-07	1.88068	0
2.192038e-07	1.87929	0
2.201640e-07	1.87794	0
2.211242e-07	1.8766	0
2.220844e-07	1.87529	0
2.230446e-07	1.874	0
2.240048e-07	1.87273	0
2.249650e-07	1.87149	0
2.259252e-07	1.87026	0
2.268854e-07	1.86906	0
2.278456e-07	1.86788	0
2.288058e-07	1.86671	0
2.297660e-07	1.86557	0
2.307261e-07	1.86444	0
2.316863e-07	1.86333	0
2.326465e-07	1.86225	0
2.336067e-07	1.86117	0
2.345669e-07	1.86012	0
2.355271e-07	1.85908	0
2.364873e-07	1.85806	0
2.374475e-07	1.85705	0
2.384077e-07	1.85606	0
2.393679e-07	1.85509	0
2.403281e-07	1.85413	0
2.412883e-07	1.85319	0
2.422484e-07	1.85225	0
2.432086e-07	1.85134	0
2.441688e-07	1.85043	0
2.451290e-07	1.84955	0
2.460892e-07	1.84867	0
2.470494e-07	1.84781	0
2.480096e-07	1.84695	0
2.489698e-07	1.84612	0
2.499300e-07	1.84529	0
2.508902e-07	1.84447	0
2.518504e-07	1.84367	0
2.528106e-07	1.84288	0
2.537708e-07	1.8421	0
2.547309e-07	1.84133	0
2.556911e-07	1.84057	0
2.566513e-07	1.83982	0
2.576115e-07	1.83908	0
2.585717e-07	1.83836	0
2.595319e-07	1.83764	0
2.604921e-07	1.83693	0
2.614523e-07	1.83623	0
2.624125e-07	1.83554	0
2.633727e-07	1.83486	0
2.643329e-07	1.83419	0
2.652931e-07	1.83353	0
2.662533e-07	1.83287	0
2.672134e-07	1.83223	0
2.681736e-07	1.83159	0
2.691338e-07	1.83096	0
2.700940e-07	1.83034	0
2.710542e-07	1.82973	0
2.720144e-07	1.82912	0
2.729746e-07	1.82852	0
2.739348e-07	1.82793	0
2.748950e-07	1.82735	0
2.758552e-07	1.82677	0
2.768154e-07	1.82621	0
2.777756e-07	1.82564	0
2.787357e-07	1.82509	0
2.796959e-07	1.82454	0
2.806561e-07	1.824	0
2.816163e-07	1.82347	0
2.825765e-07	1.82294	0
2.835367e-07	1.82242	0
2.844969e-07	1.8219	0
2.854571e-07	1.82139	0
2.864173e-07	1.82089	0
2.873775e-07	1.82039	0
2.883377e-07	1.8199	0
2.892979e-07	1.81941	0
2.902581e-07	1.81893	0
2.912182e-07	1.81846	0
2.921784e-07	1.81799	0
2.931386e-07	1.81752	0
2.940988e-07	1.81706	0
2.950590e-07	1.81661	0
2.960192e-07	1.81616	0
2.969794e-07	1.81572	0
2.979396e-07	1.81528	0
2.988998e-07	1.81485	0
2.998600e-07	1.81442	0
3.008202e-07	1.81399	0
3.017804e-07	1.81357	0
3.027405e-07	1.81316	0
3.037007e-07	1.81275	0
3.046609e-07	1.81234	0
3.056211e-07	1.81194	0
3.065813e-07	1.81154	0
3.075415e-07	1.81115	0
3.085017e-07	1.81076	0
3.094619e-07	1.81037	0
3.104221e-07	1.80999	0
3.113823e-07	1.80962	0
3.123425e-07	1.80924	0
3.133027e-07	1.80887	0
3.142629e-07	1.80851	0
3.152230e-07	1.80815	0
3.161832e-07	1.80779	0
3.171434e-07	1.80744	0
3.181036e-07	1.80709	0
3.190638e-07	1.80674	0
3.200240e-07	1.80639	0
3.209842e-07	1.80605	0
3.219444e-07	1.80572	0
3.229046e-07	1.80538	0
3.238648e-07	1.80506	0
3.248250e-07	1.80473	0
3.257852e-07	1.80441	0
3.267453e-07	1.80408	0
3.277055e-07	1.80377	0
3.286657e-07	1.80345	0
3.296259e-07	1.80314	0
3.305861e-07	1.80283	0
3.315463e-07	1.80253	0
3.325065e-07	1.80223	0
3.334667e-07	1.80193	0
3.344269e-07	1.80163	0
3.353871e-07	1.80134	0
3.363473e-07	1.80105	0
3.373075e-07	1.80076	0
3.382677e-07	1.80048	0
3.392278e-07	1.80019	0
3.401880e-07	1.79991	0
3.411482e-07	1.79964	0
3.421084e-07	1.79936	0
3.430686e-07	1.79909	0
3.440288e-07	1.79882	0
3.449890e-07	1.79855	0
3.459492e-07	1.79829	0
3.469094e-07	1.79802	0
3.478696e-07	1.79776	0
3.488298e-07	1.79751	0
3.497900e-07	1.79725	0
