Wavelength(m)	n	k
# material: Al2O3
# source: I. H. Malitson. Refraction and dispersion of synthetic sapphire. J. Opt. Soc. Am. 52, 1377-1379 (1962)
# conditions: Synthetic sapphire, Ordinary ray (o), 24 degC
# upstream: polyanskiy/refractiveindex.info-database@ff11b58 main/Al2O3/nk/Malitson.yml
# type: formula 1
# note: dispersion formula sampled at 5000 points; k set to 0
# range: 2.6520e-07 - 5.5770e-06 m
# converted: 2026-07-31 by tools/convert_refractiveindex_info.py (wavelength um -> m)
2.652000e-07	1.83365	0
2.662626e-07	1.83293	0
2.673251e-07	1.83222	0
2.683877e-07	1.83152	0
2.694503e-07	1.83083	0
2.705129e-07	1.83014	0
2.715754e-07	1.82947	0
2.726380e-07	1.82881	0
2.737006e-07	1.82815	0
2.747632e-07	1.82751	0
2.758257e-07	1.82687	0
2.768883e-07	1.82624	0
2.779509e-07	1.82563	0
2.790134e-07	1.82501	0
2.800760e-07	1.82441	0
2.811386e-07	1.82382	0
2.822012e-07	1.82323	0
2.832637e-07	1.82265	0
2.843263e-07	1.82208	0
2.853889e-07	1.82152	0
2.864515e-07	1.82096	0
2.875140e-07	1.82041	0
2.885766e-07	1.81987	0
2.896392e-07	1.81933	0
2.907017e-07	1.8188	0
2.917643e-07	1.81828	0
2.928269e-07	1.81776	0
2.938895e-07	1.81726	0
2.949520e-07	1.81675	0
2.960146e-07	1.81626	0
2.970772e-07	1.81577	0
2.981397e-07	1.81528	0
2.992023e-07	1.8148	0
3.002649e-07	1.81433	0
3.013275e-07	1.81386	0
3.023900e-07	1.8134	0
3.034526e-07	1.81295	0
3.045152e-07	1.8125	0
3.055778e-07	1.81205	0
3.066403e-07	1.81161	0
3.077029e-07	1.81118	0
3.087655e-07	1.81075	0
3.098280e-07	1.81032	0
3.108906e-07	1.8099	0
3.119532e-07	1.80949	0
3.130158e-07	1.80908	0
3.140783e-07	1.80867	0
3.151409e-07	1.80827	0
3.162035e-07	1.80788	0
3.172661e-07	1.80749	0
3.183286e-07	1.8071	0
3.193912e-07	1.80672	0
3.204538e-07	1.80634	0
3.215163e-07	1.80596	0
3.225789e-07	1.80559	0
3.236415e-07	1.80523	0
3.247041e-07	1.80486	0
3.257666e-07	1.80451	0
3.268292e-07	1.80415	0
3.278918e-07	1.8038	0
3.289544e-07	1.80345	0
3.300169e-07	1.80311	0
3.310795e-07	1.80277	0
3.321421e-07	1.80244	0
3.332046e-07	1.8021	0
3.342672e-07	1.80178	0
3.353298e-07	1.80145	0
3.363924e-07	1.80113	0
3.374549e-07	1.80081	0
3.385175e-07	1.80049	0
3.395801e-07	1.80018	0
3.406426e-07	1.79987	0
3.417052e-07	1.79957	0
3.427678e-07	1.79927	0
3.438304e-07	1.79897	0
3.448929e-07	1.79867	0
3.459555e-07	1.79838	0
3.470181e-07	1.79809	0
3.480807e-07	1.7978	0
3.491432e-07	1.79751	0
3.502058e-07	1.79723	0
3.512684e-07	1.79695	0
3.523309e-07	1.79668	0
3.533935e-07	1.7964	0
3.544561e-07	1.79613	0
3.555187e-07	1.79586	0
3.565812e-07	1.7956	0
3.576438e-07	1.79534	0
3.587064e-07	1.79508	0
3.597690e-07	1.79482	0
3.608315e-07	1.79456	0
3.618941e-07	1.79431	0
3.629567e-07	1.79406	0
3.640192e-07	1.79381	0
3.650818e-07	1.79356	0
3.661444e-07	1.79332	0
3.672070e-07	1.79308	0
3.682695e-07	1.79284	0
3.693321e-07	1.7926	0
3.703947e-07	1.79237	0
3.714573e-07	1.79213	0
3.725198e-07	1.7919	0
3.735824e-07	1.79168	0
3.746450e-07	1.79145	0
3.757075e-07	1.79123	0
3.767701e-07	1.791	0
3.778327e-07	1.79078	0
3.788953e-07	1.79056	0
3.799578e-07	1.79035	0
3.810204e-07	1.79013	0
3.820830e-07	1.78992	0
3.831455e-07	1.78971	0
3.842081e-07	1.7895	0
3.852707e-07	1.78929	0
3.863333e-07	1.78909	0
3.873958e-07	1.78889	0
3.884584e-07	1.78868	0
3.895210e-07	1.78848	0
3.905836e-07	1.78829	0
3.916461e-07	1.78809	0
3.927087e-07	1.7879	0
3.937713e-07	1.7877	0
3.948338e-07	1.78751	0
3.958964e-07	1.78732	0
3.969590e-07	1.78713	0
3.980216e-07	1.78695	0
3.990841e-07	1.78676	0
4.001467e-07	1.78658	0
4.012093e-07	1.7864	0
4.022719e-07	1.78622	0
4.033344e-07	1.78604	0
4.043970e-07	1.78586	0
4.054596e-07	1.78568	0
4.065221e-07	1.78551	0
4.075847e-07	1.78534	0
4.086473e-07	1.78516	0
4.097099e-07	1.78499	0
4.107724e-07	1.78482	0
4.118350e-07	1.78466	0
4.128976e-07	1.78449	0
4.139602e-07	1.78433	0
4.150227e-07	1.78416	0
4.160853e-07	1.784	0
4.171479e-07	1.78384	0
4.182104e-07	1.78368	0
4.192730e-07	1.78352	0
4.203356e-07	1.78336	0
4.213982e-07	1.78321	0
4.224607e-07	1.78305	0
4.235233e-07	1.7829	0
4.245859e-07	1.78275	0
4.256484e-07	1.7826	0
4.267110e-07	1.78245	0
4.277736e-07	1.7823	0
4.288362e-07	1.78215	0
4.298987e-07	1.782	0
4.309613e-07	1.78186	0
4.320239e-07	1.78171	0
4.330865e-07	1.78157	0
4.341490e-07	1.78143	0
4.352116e-07	1.78128	0
4.362742e-07	1.78114	0
4.373367e-07	1.78101	0
4.383993e-07	1.78087	0
4.394619e-07	1.78073	0
4.405245e-07	1.78059	0
4.415870e-07	1.78046	0
4.426496e-07	1.78033	0
4.437122e-07	1.78019	0
4.447748e-07	1.78006	0
4.458373e-07	1.77993	0
4.468999e-07	1.7798	0
4.479625e-07	1.77967	0
4.490250e-07	1.77954	0
4.500876e-07	1.77941	0
4.511502e-07	1.77929	0
4.522128e-07	1.77916	0
4.532753e-07	1.77904	0
4.543379e-07	1.77891	0
4.554005e-07	1.77879	0
4.564631e-07	1.77867	0
4.575256e-07	1.77855	0
4.585882e-07	1.77843	0
4.596508e-07	1.77831	0
4.607133e-07	1.77819	0
4.617759e-07	1.77807	0
4.628385e-07	1.77795	0
4.639011e-07	1.77784	0
4.649636e-07	1.77772	0
4.660262e-07	1.77761	0
4.670888e-07	1.77749	0
4.681514e-07	1.77738	0
4.692139e-07	1.77727	0
4.702765e-07	1.77716	0
4.713391e-07	1.77705	0
4.724016e-07	1.77694	0
4.734642e-07	1.77683	0
4.745268e-07	1.77672	0
4.755894e-07	1.77661	0
4.766519e-07	1.7765	0
4.777145e-07	1.7764	0
4.787771e-07	1.77629	0
4.798396e-07	1.77619	0
4.809022e-07	1.77608	0
4.819648e-07	1.77598	0
4.830274e-07	1.77587	0
4.840899e-07	1.77577	0
4.851525e-07	1.77567	0
4.862151e-07	1.77557	0
4.872777e-07	1.77547	0
4.883402e-07	1.77537	0
4.894028e-07	1.77527	0
4.904654e-07	1.77517	0
4.915279e-07	1.77507	0
4.925905e-07	1.77498	0
4.936531e-07	1.77488	0
4.947157e-07	1.77478	0
4.957782e-07	1.77469	0
4.968408e-07	1.77459	0
4.979034e-07	1.7745	0
4.989660e-07	1.77441	0
5.000285e-07	1.77431	0
5.010911e-07	1.77422	0
5.021537e-07	1.77413	0
5.032162e-07	1.77404	0
5.042788e-07	1.77395	0
5.053414e-07	1.77386	0
5.064040e-07	1.77377	0
5.074665e-07	1.77368	0
5.085291e-07	1.77359	0
5.095917e-07	1.7735	0
5.106543e-07	1.77341	0
5.117168e-07	1.77333	0
