Wavelength(m)	n	k
# material: Al
# source: K. M. McPeak, S. V. Jayanti, S. J. P. Kress, S. Meyer, S. Iotti, A. Rossinelli, D. J. Norris. Plasmonic films can easily be better: Rules and recipes. ACS Photonics 2, 326-333 (2015)
# conditions: Thermally evaporated Al at 150 A/s, template stripped from Si wafer
# upstream: polyanskiy/refractiveindex.info-database@ff11b58 main/Al/nk/McPeak.yml
# type: tabulated nk
# range: 1.5000e-07 - 1.7000e-06 m
# converted: 2026-07-31 (wavelength um -> m)
1.500000e-07	0.0953908	1.28367
1.550000e-07	0.0955104	1.33739
1.600000e-07	0.0990392	1.40293
1.650000e-07	0.0986928	1.46617
1.700000e-07	0.10085	1.53257
1.750000e-07	0.106956	1.59654
1.800000e-07	0.0997157	1.65766
1.850000e-07	0.108316	1.73437
1.900000e-07	0.106568	1.79116
1.950000e-07	0.111513	1.85341
2.000000e-07	0.110803	1.90861
2.050000e-07	0.111587	1.96994
2.100000e-07	0.113656	2.02806
2.150000e-07	0.115928	2.09185
2.200000e-07	0.116173	2.152
2.250000e-07	0.119772	2.21304
2.300000e-07	0.124316	2.2749
2.350000e-07	0.129277	2.33677
2.400000e-07	0.133003	2.39551
2.450000e-07	0.139689	2.45736
2.500000e-07	0.141163	2.51522
2.550000e-07	0.148766	2.57378
2.600000e-07	0.150723	2.63321
2.650000e-07	0.161465	2.69343
2.700000e-07	0.164611	2.75004
2.750000e-07	0.172366	2.811
2.800000e-07	0.178635	2.86897
2.850000e-07	0.18587	2.92328
2.900000e-07	0.188953	2.98248
2.950000e-07	0.197315	3.04234
3.000000e-07	0.204992	3.10086
3.050000e-07	0.210097	3.15735
3.100000e-07	0.218817	3.21479
3.150000e-07	0.224455	3.26747
3.200000e-07	0.237666	3.32378
3.250000e-07	0.244649	3.37933
3.300000e-07	0.251893	3.43678
3.350000e-07	0.259392	3.49375
3.400000e-07	0.267482	3.55015
3.450000e-07	0.275201	3.60718
3.500000e-07	0.283498	3.66352
3.550000e-07	0.291774	3.71983
3.600000e-07	0.300126	3.77625
3.650000e-07	0.308578	3.83161
3.700000e-07	0.317598	3.8892
3.750000e-07	0.326926	3.946
3.800000e-07	0.335956	4.00261
3.850000e-07	0.345714	4.05827
3.900000e-07	0.354902	4.11424
3.950000e-07	0.364968	4.16968
4.000000e-07	0.375151	4.22643
4.050000e-07	0.385212	4.28128
4.100000e-07	0.396086	4.33681
4.150000e-07	0.407065	4.39144
4.200000e-07	0.417648	4.44741
4.250000e-07	0.429544	4.5035
4.300000e-07	0.440996	4.55911
4.350000e-07	0.452838	4.61368
4.400000e-07	0.464233	4.6691
4.450000e-07	0.47707	4.72404
4.500000e-07	0.48922	4.77832
4.550000e-07	0.501228	4.83283
4.600000e-07	0.514817	4.88795
4.650000e-07	0.528042	4.94326
4.700000e-07	0.539877	4.99735
4.750000e-07	0.554933	5.05133
4.800000e-07	0.568005	5.10594
4.850000e-07	0.582771	5.15923
4.900000e-07	0.596705	5.21287
4.950000e-07	0.610784	5.26593
5.000000e-07	0.625686	5.32048
5.050000e-07	0.640306	5.37485
5.100000e-07	0.65571	5.42816
5.150000e-07	0.672566	5.48155
5.200000e-07	0.688336	5.53596
5.250000e-07	0.704045	5.58799
5.300000e-07	0.720794	5.64177
5.350000e-07	0.737604	5.69377
5.400000e-07	0.754468	5.7465
5.450000e-07	0.77233	5.79901
5.500000e-07	0.789405	5.85194
5.550000e-07	0.808352	5.90529
5.600000e-07	0.829205	5.95824
5.650000e-07	0.848631	6.00909
5.700000e-07	0.867377	6.06023
5.750000e-07	0.887662	6.11269
5.800000e-07	0.90857	6.16518
5.850000e-07	0.928309	6.21561
5.900000e-07	0.948956	6.26742
5.950000e-07	0.97149	6.3171
6.000000e-07	0.992466	6.36899
6.050000e-07	1.01607	6.41735
6.100000e-07	1.03815	6.46682
6.150000e-07	1.06206	6.51705
6.200000e-07	1.08816	6.56659
6.250000e-07	1.11266	6.61476
6.300000e-07	1.13633	6.66313
6.350000e-07	1.16573	6.71081
6.400000e-07	1.19027	6.75942
6.450000e-07	1.21851	6.80711
6.500000e-07	1.24636	6.85233
6.550000e-07	1.2753	6.89836
6.600000e-07	1.30438	6.94236
6.650000e-07	1.33385	6.98764
6.700000e-07	1.36541	7.03195
6.750000e-07	1.39589	7.0711
6.800000e-07	1.42602	7.11629
6.850000e-07	1.45739	7.15765
6.900000e-07	1.49323	7.19748
6.950000e-07	1.52749	7.23604
