Wavelength(m)	n	k
# material: Au
# source: P. B. Johnson and R. W. Christy. Optical constants of the noble metals. Phys. Rev. B 6, 4370-4379 (1972)
# conditions: Room temperature
# upstream: polyanskiy/refractiveindex.info-database@ff11b58 main/Au/nk/Johnson.yml
# type: tabulated nk
# range: 1.8790e-07 - 1.9370e-06 m
# converted: 2026-07-31 by tools/convert_refractiveindex_info.py (wavelength um -> m)
1.879000e-07	1.28	1.188
1.916000e-07	1.32	1.203
1.953000e-07	1.34	1.226
1.993000e-07	1.33	1.251
2.033000e-07	1.33	1.277
2.073000e-07	1.3	1.304
2.119000e-07	1.3	1.35
2.164000e-07	1.3	1.387
2.214000e-07	1.3	1.427
2.262000e-07	1.31	1.46
2.313000e-07	1.3	1.497
2.371000e-07	1.32	1.536
2.426000e-07	1.32	1.577
2.490000e-07	1.33	1.631
2.551000e-07	1.33	1.688
2.616000e-07	1.35	1.749
2.689000e-07	1.38	1.803
2.761000e-07	1.43	1.847
2.844000e-07	1.47	1.869
2.924000e-07	1.49	1.878
3.009000e-07	1.53	1.889
3.107000e-07	1.53	1.893
3.204000e-07	1.54	1.898
3.315000e-07	1.48	1.883
3.425000e-07	1.48	1.871
3.542000e-07	1.5	1.866
3.679000e-07	1.48	1.895
3.815000e-07	1.46	1.933
3.974000e-07	1.47	1.952
4.133000e-07	1.46	1.958
4.305000e-07	1.45	1.948
4.509000e-07	1.38	1.914
4.714000e-07	1.31	1.849
4.959000e-07	1.04	1.833
5.209000e-07	0.62	2.081
5.486000e-07	0.43	2.455
5.821000e-07	0.29	2.863
6.168000e-07	0.21	3.272
6.595000e-07	0.14	3.697
7.045000e-07	0.13	4.103
7.560000e-07	0.14	4.542
8.211000e-07	0.16	5.083
8.920000e-07	0.17	5.663
9.840000e-07	0.22	6.35
1.088000e-06	0.27	7.15
1.216000e-06	0.35	8.145
1.393000e-06	0.43	9.519
1.610000e-06	0.56	11.21
1.937000e-06	0.92	13.78
