Wavelength(m)	n	k
# material: Au
# source: K. M. McPeak, S. V. Jayanti, S. J. P. Kress, S. Meyer, S. Iotti, A. Rossinelli, D. J. Norris. Plasmonic films can easily be better: Rules and recipes. ACS Photonics 2, 326-333 (2015)
# conditions: Thermally evaporated Au at 10 A/s with base pressure of 3e-8 Torr, template stripped from Si wafer
# upstream: polyanskiy/refractiveindex.info-database@ff11b58 main/Au/nk/McPeak.yml
# type: tabulated nk
# range: 3.0000e-07 - 1.7000e-06 m
# converted: 2026-07-31 (wavelength um -> m)
3.000000e-07	1.69984	1.97316
3.100000e-07	1.74695	1.9745
3.200000e-07	1.78294	1.9598
3.300000e-07	1.80465	1.93195
3.400000e-07	1.80462	1.8968
3.500000e-07	1.76371	1.87068
3.600000e-07	1.71343	1.88767
3.700000e-07	1.6892	1.92209
3.800000e-07	1.67806	1.94838
3.900000e-07	1.6725	1.96651
4.000000e-07	1.66562	1.97392
4.100000e-07	1.65391	1.97523
4.200000e-07	1.63744	1.9703
4.300000e-07	1.61234	1.95948
4.400000e-07	1.58152	1.94031
4.500000e-07	1.53833	1.91075
4.600000e-07	1.47529	1.87232
4.700000e-07	1.38626	1.82768
4.800000e-07	1.25291	1.7821
4.900000e-07	1.06436	1.76787
5.000000e-07	0.848475	1.82828
5.100000e-07	0.661636	1.96453
5.200000e-07	0.529127	2.12974
5.300000e-07	0.438041	2.29499
5.400000e-07	0.372502	2.45166
5.500000e-07	0.323931	2.59716
5.600000e-07	0.28496	2.73898
5.700000e-07	0.254069	2.87186
5.800000e-07	0.228937	2.99952
5.900000e-07	0.207122	3.12135
6.000000e-07	0.18879	3.2417
6.100000e-07	0.172726	3.35676
6.200000e-07	0.160072	3.46563
6.300000e-07	0.146368	3.57763
6.400000e-07	0.135418	3.68596
6.500000e-07	0.125499	3.79233
6.600000e-07	0.117832	3.89614
6.700000e-07	0.111118	3.99954
6.800000e-07	0.105745	4.1027
6.900000e-07	0.101509	4.20503
7.000000e-07	0.0986079	4.30508
7.100000e-07	0.0977903	4.40381
7.200000e-07	0.0986233	4.49919
7.300000e-07	0.0969037	4.5958
7.400000e-07	0.0994633	4.68721
7.500000e-07	0.0985374	4.78108
7.600000e-07	0.0992066	4.87235
7.700000e-07	0.101707	4.95887
7.800000e-07	0.101315	5.05156
7.900000e-07	0.103068	5.14807
8.000000e-07	0.104227	5.22368
8.100000e-07	0.105938	5.31302
8.200000e-07	0.104339	5.40739
8.300000e-07	0.104535	5.49244
8.400000e-07	0.107001	5.57705
8.500000e-07	0.111013	5.65927
8.600000e-07	0.110763	5.7492
8.700000e-07	0.112039	5.83057
8.800000e-07	0.114173	5.91295
8.900000e-07	0.116005	5.99287
9.000000e-07	0.116828	6.08199
9.100000e-07	0.116997	6.16382
9.200000e-07	0.119457	6.24158
9.300000e-07	0.120636	6.32855
9.400000e-07	0.122559	6.41038
9.500000e-07	0.124003	6.49179
9.600000e-07	0.123935	6.57399
9.700000e-07	0.126244	6.66288
9.800000e-07	0.127975	6.73805
9.900000e-07	0.129943	6.81916
1.000000e-06	0.132312	6.90453
1.010000e-06	0.133908	6.97832
1.020000e-06	0.135401	7.06161
1.030000e-06	0.138149	7.14157
1.040000e-06	0.137938	7.22247
1.050000e-06	0.139247	7.30215
1.060000e-06	0.134049	7.40662
1.070000e-06	0.135718	7.48281
1.080000e-06	0.140363	7.55683
1.090000e-06	0.138686	7.63703
1.100000e-06	0.138419	7.71934
1.110000e-06	0.139443	7.79996
1.120000e-06	0.141678	7.8742
1.130000e-06	0.141308	7.96097
1.140000e-06	0.140236	8.05038
1.150000e-06	0.142818	8.11489
1.160000e-06	0.146729	8.2015
1.170000e-06	0.152748	8.26755
1.180000e-06	0.149693	8.35041
1.190000e-06	0.147906	8.44351
1.200000e-06	0.149395	8.51501
1.210000e-06	0.151985	8.59
1.220000e-06	0.153423	8.66686
1.230000e-06	0.153671	8.74435
1.240000e-06	0.157748	8.81753
1.250000e-06	0.159662	8.90098
1.260000e-06	0.165494	8.98762
1.270000e-06	0.159382	9.06876
1.280000e-06	0.163849	9.14652
1.290000e-06	0.166212	9.22619
1.300000e-06	0.166156	9.30358
1.310000e-06	0.170115	9.37246
1.320000e-06	0.169795	9.4452
1.330000e-06	0.17481	9.53093
1.340000e-06	0.176209	9.61244
1.350000e-06	0.179586	9.68758
1.360000e-06	0.177483	9.76937
1.370000e-06	0.184296	9.83936
1.380000e-06	0.186298	9.91639
1.390000e-06	0.190838	9.99227
1.400000e-06	0.191102	10.0716
1.410000e-06	0.194362	10.1414
1.420000e-06	0.205427	10.2226
1.430000e-06	0.208361	10.3215
1.440000e-06	0.206557	10.3751
1.450000e-06	0.208044	10.4658
1.460000e-06	0.205759	10.5405
1.470000e-06	0.212406	10.6421
1.480000e-06	0.216698	10.7059
1.490000e-06	0.219902	10.7805
1.500000e-06	0.215399	10.8589
1.510000e-06	0.219569	10.9114
1.520000e-06	0.222004	11.0059
1.530000e-06	0.230589	11.0862
1.540000e-06	0.235211	11.1685
1.550000e-06	0.23823	11.2631
1.560000e-06	0.236762	11.3171
1.570000e-06	0.235275	11.3809
1.580000e-06	0.240819	11.4428
1.590000e-06	0.24629	11.5317
1.600000e-06	0.243653	11.643
1.610000e-06	0.252115	11.7091
1.620000e-06	0.24883	11.7835
1.630000e-06	0.264448	11.8651
1.640000e-06	0.258451	11.928
1.650000e-06	0.265883	12.0117
1.660000e-06	0.278561	12.0697
1.670000e-06	0.278189	12.1876
1.680000e-06	0.2809	12.2405
1.690000e-06	0.290245	12.3468
1.700000e-06	0.316482	12.3705
