Wavelength(m)	n	k
# material: BaTiO3
# source: A. R. Johnston. Dispersion of electrooptic effect in BaTiO3. J. Appl. Phys. 42, 3501-3507 (1971)
# conditions: Crystalline BaTiO3. Clamped measurements.
# upstream: polyanskiy/refractiveindex.info-database@ff11b58 main/BaTiO3/nk/Johnston-clamped.yml
# type: tabulated nk
# range: 4.0000e-07 - 1.0000e-06 m
# converted: 2026-07-31 by tools/convert_refractiveindex_info.py (wavelength um -> m)
4.000000e-07	2.6122	0.33864
4.060600e-07	2.5978	0.32693
4.121200e-07	2.5845	0.31622
4.181800e-07	2.5721	0.30639
4.242400e-07	2.5606	0.29732
4.303000e-07	2.5499	0.28891
4.363600e-07	2.5399	0.2811
4.424200e-07	2.5305	0.27381
4.484800e-07	2.5218	0.26699
4.545500e-07	2.5136	0.26059
4.606100e-07	2.5058	0.25456
4.666700e-07	2.4986	0.24888
4.727300e-07	2.4917	0.2435
4.787900e-07	2.4852	0.23841
4.848500e-07	2.4791	0.23358
4.909100e-07	2.4733	0.22898
4.969700e-07	2.4678	0.2246
5.030300e-07	2.4626	0.22041
5.090900e-07	2.4576	0.21642
5.151500e-07	2.4529	0.21259
5.212100e-07	2.4484	0.20893
5.272700e-07	2.4442	0.20541
5.333300e-07	2.4401	0.20203
5.393900e-07	2.4362	0.19879
5.454500e-07	2.4325	0.19566
5.515200e-07	2.4289	0.19264
5.575800e-07	2.4255	0.18974
5.636400e-07	2.4222	0.18693
5.697000e-07	2.4191	0.18422
5.757600e-07	2.4161	0.1816
5.818200e-07	2.4132	0.17906
5.878800e-07	2.4105	0.17661
5.939400e-07	2.4078	0.17423
6.000000e-07	2.4053	0.17192
6.060600e-07	2.4028	0.16968
6.121200e-07	2.4004	0.16751
6.181800e-07	2.3982	0.1654
6.242400e-07	2.396	0.16335
6.303000e-07	2.3938	0.16135
6.363600e-07	2.3918	0.15941
6.424200e-07	2.3898	0.15752
6.484800e-07	2.3879	0.15568
6.545500e-07	2.3861	0.15389
6.606100e-07	2.3843	0.15214
6.666700e-07	2.3826	0.15044
6.727300e-07	2.3809	0.14877
6.787900e-07	2.3793	0.14715
6.848500e-07	2.3777	0.14557
6.909100e-07	2.3762	0.14402
6.969700e-07	2.3747	0.14251
7.030300e-07	2.3733	0.14104
7.090900e-07	2.3719	0.13959
7.151500e-07	2.3706	0.13818
7.212100e-07	2.3693	0.1368
7.272700e-07	2.368	0.13545
7.333300e-07	2.3668	0.13413
7.393900e-07	2.3656	0.13284
7.454500e-07	2.3644	0.13157
7.515200e-07	2.3633	0.13033
7.575800e-07	2.3622	0.12911
7.636400e-07	2.3611	0.12792
7.697000e-07	2.3601	0.12675
7.757600e-07	2.3591	0.1256
7.818200e-07	2.3581	0.12448
7.878800e-07	2.3572	0.12338
7.939400e-07	2.3562	0.1223
8.000000e-07	2.3553	0.12123
8.060600e-07	2.3544	0.12019
8.121200e-07	2.3536	0.11917
8.181800e-07	2.3527	0.11816
8.242400e-07	2.3519	0.11718
8.303000e-07	2.3511	0.11621
8.363600e-07	2.3503	0.11526
8.424200e-07	2.3496	0.11432
8.484800e-07	2.3488	0.1134
8.545500e-07	2.3481	0.1125
8.606100e-07	2.3474	0.11161
8.666700e-07	2.3467	0.11073
8.727300e-07	2.346	0.10987
8.787900e-07	2.3454	0.10903
8.848500e-07	2.3447	0.10819
8.909100e-07	2.3441	0.10737
8.969700e-07	2.3435	0.10657
9.030300e-07	2.3429	0.10577
9.090900e-07	2.3423	0.10499
9.151500e-07	2.3417	0.10422
9.212100e-07	2.3411	0.10347
9.272700e-07	2.3406	0.10272
9.333300e-07	2.34	0.10199
9.393900e-07	2.3395	0.10126
9.454500e-07	2.339	0.10055
9.515200e-07	2.3385	0.099847
9.575800e-07	2.338	0.099155
9.636400e-07	2.3375	0.098473
9.697000e-07	2.337	0.0978
9.757600e-07	2.3365	0.097137
9.818200e-07	2.3361	0.096483
9.878800e-07	2.3356	0.095839
9.939400e-07	2.3352	0.095203
1.000000e-06	2.3348	0.094576
