Wavelength(m)	n	k
# material: BaTiO3
# source: S.H. Wemple, M. Didomenico Jr., I. Camlibel. Dielectric and optical properties of melt-grown BaTiO3. J. Phys. Chem. Solids 29, 1797-1803 (1968)
# conditions: Extraordinary ray (e). Room temperature
# upstream: polyanskiy/refractiveindex.info-database@ff11b58 main/BaTiO3/nk/Wemple-e.yml
# type: formula 1
# note: dispersion formula sampled at 5000 points; k set to 0
# range: 4.0000e-07 - 7.0000e-07 m
# converted: 2026-07-31 by tools/convert_refractiveindex_info.py (wavelength um -> m)
4.000000e-07	2.57504	0
4.000600e-07	2.57491	0
4.001200e-07	2.57478	0
4.001800e-07	2.57466	0
4.002400e-07	2.57453	0
4.003001e-07	2.5744	0
4.003601e-07	2.57428	0
4.004201e-07	2.57415	0
4.004801e-07	2.57403	0
4.005401e-07	2.5739	0
4.006001e-07	2.57377	0
4.006601e-07	2.57365	0
4.007201e-07	2.57352	0
4.007802e-07	2.5734	0
4.008402e-07	2.57327	0
4.009002e-07	2.57315	0
4.009602e-07	2.57302	0
4.010202e-07	2.5729	0
4.010802e-07	2.57277	0
4.011402e-07	2.57265	0
4.012002e-07	2.57252	0
4.012603e-07	2.5724	0
4.013203e-07	2.57227	0
4.013803e-07	2.57215	0
4.014403e-07	2.57202	0
4.015003e-07	2.5719	0
4.015603e-07	2.57177	0
4.016203e-07	2.57165	0
4.016803e-07	2.57153	0
4.017403e-07	2.5714	0
4.018004e-07	2.57128	0
4.018604e-07	2.57115	0
4.019204e-07	2.57103	0
4.019804e-07	2.5709	0
4.020404e-07	2.57078	0
4.021004e-07	2.57066	0
4.021604e-07	2.57053	0
4.022204e-07	2.57041	0
4.022805e-07	2.57029	0
4.023405e-07	2.57016	0
4.024005e-07	2.57004	0
4.024605e-07	2.56992	0
4.025205e-07	2.56979	0
4.025805e-07	2.56967	0
4.026405e-07	2.56955	0
4.027005e-07	2.56942	0
4.027606e-07	2.5693	0
4.028206e-07	2.56918	0
4.028806e-07	2.56906	0
4.029406e-07	2.56893	0
4.030006e-07	2.56881	0
4.030606e-07	2.56869	0
4.031206e-07	2.56856	0
4.031806e-07	2.56844	0
4.032406e-07	2.56832	0
4.033007e-07	2.5682	0
4.033607e-07	2.56808	0
4.034207e-07	2.56795	0
4.034807e-07	2.56783	0
4.035407e-07	2.56771	0
4.036007e-07	2.56759	0
4.036607e-07	2.56747	0
4.037207e-07	2.56734	0
4.037808e-07	2.56722	0
4.038408e-07	2.5671	0
4.039008e-07	2.56698	0
4.039608e-07	2.56686	0
4.040208e-07	2.56674	0
4.040808e-07	2.56662	0
4.041408e-07	2.56649	0
4.042008e-07	2.56637	0
4.042609e-07	2.56625	0
4.043209e-07	2.56613	0
4.043809e-07	2.56601	0
4.044409e-07	2.56589	0
4.045009e-07	2.56577	0
4.045609e-07	2.56565	0
4.046209e-07	2.56553	0
4.046809e-07	2.56541	0
4.047409e-07	2.56529	0
4.048010e-07	2.56517	0
4.048610e-07	2.56505	0
4.049210e-07	2.56493	0
4.049810e-07	2.56481	0
4.050410e-07	2.56469	0
4.051010e-07	2.56457	0
4.051610e-07	2.56445	0
4.052210e-07	2.56433	0
4.052811e-07	2.56421	0
4.053411e-07	2.56409	0
4.054011e-07	2.56397	0
4.054611e-07	2.56385	0
4.055211e-07	2.56373	0
4.055811e-07	2.56361	0
4.056411e-07	2.56349	0
4.057011e-07	2.56337	0
4.057612e-07	2.56325	0
4.058212e-07	2.56313	0
4.058812e-07	2.56301	0
4.059412e-07	2.56289	0
4.060012e-07	2.56278	0
4.060612e-07	2.56266	0
4.061212e-07	2.56254	0
4.061812e-07	2.56242	0
4.062412e-07	2.5623	0
4.063013e-07	2.56218	0
4.063613e-07	2.56206	0
4.064213e-07	2.56195	0
4.064813e-07	2.56183	0
4.065413e-07	2.56171	0
4.066013e-07	2.56159	0
4.066613e-07	2.56147	0
4.067213e-07	2.56135	0
4.067814e-07	2.56124	0
4.068414e-07	2.56112	0
4.069014e-07	2.561	0
4.069614e-07	2.56088	0
4.070214e-07	2.56077	0
4.070814e-07	2.56065	0
4.071414e-07	2.56053	0
4.072014e-07	2.56041	0
4.072615e-07	2.5603	0
4.073215e-07	2.56018	0
4.073815e-07	2.56006	0
4.074415e-07	2.55994	0
4.075015e-07	2.55983	0
4.075615e-07	2.55971	0
4.076215e-07	2.55959	0
4.076815e-07	2.55948	0
4.077415e-07	2.55936	0
4.078016e-07	2.55924	0
4.078616e-07	2.55913	0
4.079216e-07	2.55901	0
4.079816e-07	2.55889	0
4.080416e-07	2.55878	0
4.081016e-07	2.55866	0
4.081616e-07	2.55854	0
4.082216e-07	2.55843	0
4.082817e-07	2.55831	0
4.083417e-07	2.5582	0
4.084017e-07	2.55808	0
4.084617e-07	2.55796	0
4.085217e-07	2.55785	0
4.085817e-07	2.55773	0
4.086417e-07	2.55762	0
4.087017e-07	2.5575	0
4.087618e-07	2.55739	0
4.088218e-07	2.55727	0
4.088818e-07	2.55715	0
4.089418e-07	2.55704	0
4.090018e-07	2.55692	0
4.090618e-07	2.55681	0
4.091218e-07	2.55669	0
4.091818e-07	2.55658	0
4.092418e-07	2.55646	0
4.093019e-07	2.55635	0
4.093619e-07	2.55623	0
4.094219e-07	2.55612	0
4.094819e-07	2.556	0
4.095419e-07	2.55589	0
4.096019e-07	2.55578	0
4.096619e-07	2.55566	0
4.097219e-07	2.55555	0
4.097820e-07	2.55543	0
4.098420e-07	2.55532	0
4.099020e-07	2.5552	0
4.099620e-07	2.55509	0
4.100220e-07	2.55497	0
4.100820e-07	2.55486	0
4.101420e-07	2.55475	0
4.102020e-07	2.55463	0
4.102621e-07	2.55452	0
4.103221e-07	2.55441	0
4.103821e-07	2.55429	0
4.104421e-07	2.55418	0
4.105021e-07	2.55406	0
4.105621e-07	2.55395	0
4.106221e-07	2.55384	0
4.106821e-07	2.55372	0
4.107421e-07	2.55361	0
4.108022e-07	2.5535	0
4.108622e-07	2.55338	0
4.109222e-07	2.55327	0
4.109822e-07	2.55316	0
4.110422e-07	2.55305	0
4.111022e-07	2.55293	0
4.111622e-07	2.55282	0
4.112222e-07	2.55271	0
4.112823e-07	2.55259	0
4.113423e-07	2.55248	0
4.114023e-07	2.55237	0
4.114623e-07	2.55226	0
4.115223e-07	2.55214	0
4.115823e-07	2.55203	0
4.116423e-07	2.55192	0
4.117023e-07	2.55181	0
4.117624e-07	2.5517	0
4.118224e-07	2.55158	0
4.118824e-07	2.55147	0
4.119424e-07	2.55136	0
4.120024e-07	2.55125	0
4.120624e-07	2.55114	0
4.121224e-07	2.55102	0
4.121824e-07	2.55091	0
4.122424e-07	2.5508	0
4.123025e-07	2.55069	0
4.123625e-07	2.55058	0
4.124225e-07	2.55047	0
4.124825e-07	2.55036	0
4.125425e-07	2.55024	0
4.126025e-07	2.55013	0
4.126625e-07	2.55002	0
4.127225e-07	2.54991	0
4.127826e-07	2.5498	0
4.128426e-07	2.54969	0
4.129026e-07	2.54958	0
4.129626e-07	2.54947	0
4.130226e-07	2.54936	0
4.130826e-07	2.54925	0
4.131426e-07	2.54914	0
4.132026e-07	2.54902	0
4.132627e-07	2.54891	0
4.133227e-07	2.5488	0
4.133827e-07	2.54869	0
4.134427e-07	2.54858	0
4.135027e-07	2.54847	0
4.135627e-07	2.54836	0
4.136227e-07	2.54825	0
4.136827e-07	2.54814	0
4.137427e-07	2.54803	0
4.138028e-07	2.54792	0
4.138628e-07	2.54781	0
4.139228e-07	2.5477	0
4.139828e-07	2.54759	0
4.140428e-07	2.54748	0
4.141028e-07	2.54737	0
4.141628e-07	2.54727	0
4.142228e-07	2.54716	0
4.142829e-07	2.54705	0
4.143429e-07	2.54694	0
4.144029e-07	2.54683	0
4.144629e-07	2.54672	0
4.145229e-07	2.54661	0
4.145829e-07	2.5465	0
4.146429e-07	2.54639	0
4.147029e-07	2.54628	0
4.147630e-07	2.54617	0
4.148230e-07	2.54607	0
4.148830e-07	2.54596	0
4.149430e-07	2.54585	0
4.150030e-07	2.54574	0
4.150630e-07	2.54563	0
4.151230e-07	2.54552	0
4.151830e-07	2.54541	0
4.152430e-07	2.54531	0
4.153031e-07	2.5452	0
4.153631e-07	2.54509	0
4.154231e-07	2.54498	0
4.154831e-07	2.54487	0
4.155431e-07	2.54477	0
4.156031e-07	2.54466	0
4.156631e-07	2.54455	0
4.157231e-07	2.54444	0
4.157832e-07	2.54433	0
4.158432e-07	2.54423	0
4.159032e-07	2.54412	0
4.159632e-07	2.54401	0
4.160232e-07	2.5439	0
4.160832e-07	2.5438	0
4.161432e-07	2.54369	0
4.162032e-07	2.54358	0
4.162633e-07	2.54347	0
4.163233e-07	2.54337	0
4.163833e-07	2.54326	0
4.164433e-07	2.54315	0
4.165033e-07	2.54305	0
4.165633e-07	2.54294	0
4.166233e-07	2.54283	0
4.166833e-07	2.54273	0
4.167433e-07	2.54262	0
4.168034e-07	2.54251	0
4.168634e-07	2.54241	0
4.169234e-07	2.5423	0
4.169834e-07	2.54219	0
4.170434e-07	2.54209	0
4.171034e-07	2.54198	0
4.171634e-07	2.54187	0
4.172234e-07	2.54177	0
4.172835e-07	2.54166	0
4.173435e-07	2.54156	0
4.174035e-07	2.54145	0
4.174635e-07	2.54134	0
4.175235e-07	2.54124	0
4.175835e-07	2.54113	0
4.176435e-07	2.54103	0
4.177035e-07	2.54092	0
4.177636e-07	2.54081	0
4.178236e-07	2.54071	0
4.178836e-07	2.5406	0
4.179436e-07	2.5405	0
4.180036e-07	2.54039	0
4.180636e-07	2.54029	0
4.181236e-07	2.54018	0
4.181836e-07	2.54008	0
4.182436e-07	2.53997	0
4.183037e-07	2.53987	0
4.183637e-07	2.53976	0
4.184237e-07	2.53966	0
4.184837e-07	2.53955	0
4.185437e-07	2.53945	0
4.186037e-07	2.53934	0
4.186637e-07	2.53924	0
