Wavelength(m)	n	k
# material: BaTiO3
# source: S.H. Wemple, M. Didomenico Jr., I. Camlibel. Dielectric and optical properties of melt-grown BaTiO3. J. Phys. Chem. Solids 29, 1797-1803 (1968)
# conditions: Ordinary ray (o). Room temperature.
# upstream: polyanskiy/refractiveindex.info-database@ff11b58 main/BaTiO3/nk/Wemple-o.yml
# type: formula 1
# note: dispersion formula sampled at 5000 points; k set to 0
# range: 4.0000e-07 - 7.0000e-07 m
# converted: 2026-07-31 by tools/convert_refractiveindex_info.py (wavelength um -> m)
4.000000e-07	2.65993	0
4.000600e-07	2.65977	0
4.001200e-07	2.65962	0
4.001800e-07	2.65946	0
4.002400e-07	2.65931	0
4.003001e-07	2.65916	0
4.003601e-07	2.659	0
4.004201e-07	2.65885	0
4.004801e-07	2.65869	0
4.005401e-07	2.65854	0
4.006001e-07	2.65839	0
4.006601e-07	2.65823	0
4.007201e-07	2.65808	0
4.007802e-07	2.65793	0
4.008402e-07	2.65777	0
4.009002e-07	2.65762	0
4.009602e-07	2.65747	0
4.010202e-07	2.65732	0
4.010802e-07	2.65716	0
4.011402e-07	2.65701	0
4.012002e-07	2.65686	0
4.012603e-07	2.6567	0
4.013203e-07	2.65655	0
4.013803e-07	2.6564	0
4.014403e-07	2.65625	0
4.015003e-07	2.6561	0
4.015603e-07	2.65594	0
4.016203e-07	2.65579	0
4.016803e-07	2.65564	0
4.017403e-07	2.65549	0
4.018004e-07	2.65534	0
4.018604e-07	2.65519	0
4.019204e-07	2.65503	0
4.019804e-07	2.65488	0
4.020404e-07	2.65473	0
4.021004e-07	2.65458	0
4.021604e-07	2.65443	0
4.022204e-07	2.65428	0
4.022805e-07	2.65413	0
4.023405e-07	2.65398	0
4.024005e-07	2.65383	0
4.024605e-07	2.65368	0
4.025205e-07	2.65353	0
4.025805e-07	2.65338	0
4.026405e-07	2.65323	0
4.027005e-07	2.65308	0
4.027606e-07	2.65293	0
4.028206e-07	2.65278	0
4.028806e-07	2.65263	0
4.029406e-07	2.65248	0
4.030006e-07	2.65233	0
4.030606e-07	2.65218	0
4.031206e-07	2.65203	0
4.031806e-07	2.65188	0
4.032406e-07	2.65173	0
4.033007e-07	2.65158	0
4.033607e-07	2.65143	0
4.034207e-07	2.65128	0
4.034807e-07	2.65113	0
4.035407e-07	2.65099	0
4.036007e-07	2.65084	0
4.036607e-07	2.65069	0
4.037207e-07	2.65054	0
4.037808e-07	2.65039	0
4.038408e-07	2.65024	0
4.039008e-07	2.65009	0
4.039608e-07	2.64995	0
4.040208e-07	2.6498	0
4.040808e-07	2.64965	0
4.041408e-07	2.6495	0
4.042008e-07	2.64936	0
4.042609e-07	2.64921	0
4.043209e-07	2.64906	0
4.043809e-07	2.64891	0
4.044409e-07	2.64877	0
4.045009e-07	2.64862	0
4.045609e-07	2.64847	0
4.046209e-07	2.64832	0
4.046809e-07	2.64818	0
4.047409e-07	2.64803	0
4.048010e-07	2.64788	0
4.048610e-07	2.64774	0
4.049210e-07	2.64759	0
4.049810e-07	2.64745	0
4.050410e-07	2.6473	0
4.051010e-07	2.64715	0
4.051610e-07	2.64701	0
4.052210e-07	2.64686	0
4.052811e-07	2.64671	0
4.053411e-07	2.64657	0
4.054011e-07	2.64642	0
4.054611e-07	2.64628	0
4.055211e-07	2.64613	0
4.055811e-07	2.64599	0
4.056411e-07	2.64584	0
4.057011e-07	2.6457	0
4.057612e-07	2.64555	0
4.058212e-07	2.64541	0
4.058812e-07	2.64526	0
4.059412e-07	2.64512	0
4.060012e-07	2.64497	0
4.060612e-07	2.64483	0
4.061212e-07	2.64468	0
4.061812e-07	2.64454	0
4.062412e-07	2.64439	0
4.063013e-07	2.64425	0
4.063613e-07	2.6441	0
4.064213e-07	2.64396	0
4.064813e-07	2.64382	0
4.065413e-07	2.64367	0
4.066013e-07	2.64353	0
4.066613e-07	2.64338	0
4.067213e-07	2.64324	0
4.067814e-07	2.6431	0
4.068414e-07	2.64295	0
4.069014e-07	2.64281	0
4.069614e-07	2.64267	0
4.070214e-07	2.64252	0
4.070814e-07	2.64238	0
4.071414e-07	2.64224	0
4.072014e-07	2.64209	0
4.072615e-07	2.64195	0
4.073215e-07	2.64181	0
4.073815e-07	2.64167	0
4.074415e-07	2.64152	0
4.075015e-07	2.64138	0
4.075615e-07	2.64124	0
4.076215e-07	2.6411	0
4.076815e-07	2.64095	0
4.077415e-07	2.64081	0
4.078016e-07	2.64067	0
4.078616e-07	2.64053	0
4.079216e-07	2.64039	0
4.079816e-07	2.64024	0
4.080416e-07	2.6401	0
4.081016e-07	2.63996	0
4.081616e-07	2.63982	0
4.082216e-07	2.63968	0
4.082817e-07	2.63954	0
4.083417e-07	2.6394	0
4.084017e-07	2.63925	0
4.084617e-07	2.63911	0
4.085217e-07	2.63897	0
4.085817e-07	2.63883	0
4.086417e-07	2.63869	0
4.087017e-07	2.63855	0
4.087618e-07	2.63841	0
4.088218e-07	2.63827	0
4.088818e-07	2.63813	0
4.089418e-07	2.63799	0
4.090018e-07	2.63785	0
4.090618e-07	2.63771	0
4.091218e-07	2.63757	0
4.091818e-07	2.63743	0
4.092418e-07	2.63729	0
4.093019e-07	2.63715	0
4.093619e-07	2.63701	0
4.094219e-07	2.63687	0
4.094819e-07	2.63673	0
4.095419e-07	2.63659	0
4.096019e-07	2.63645	0
4.096619e-07	2.63631	0
4.097219e-07	2.63617	0
4.097820e-07	2.63603	0
4.098420e-07	2.63589	0
4.099020e-07	2.63575	0
4.099620e-07	2.63562	0
4.100220e-07	2.63548	0
4.100820e-07	2.63534	0
4.101420e-07	2.6352	0
4.102020e-07	2.63506	0
4.102621e-07	2.63492	0
4.103221e-07	2.63478	0
4.103821e-07	2.63465	0
4.104421e-07	2.63451	0
4.105021e-07	2.63437	0
4.105621e-07	2.63423	0
4.106221e-07	2.63409	0
4.106821e-07	2.63396	0
4.107421e-07	2.63382	0
4.108022e-07	2.63368	0
4.108622e-07	2.63354	0
4.109222e-07	2.63341	0
4.109822e-07	2.63327	0
4.110422e-07	2.63313	0
4.111022e-07	2.63299	0
4.111622e-07	2.63286	0
4.112222e-07	2.63272	0
4.112823e-07	2.63258	0
4.113423e-07	2.63245	0
4.114023e-07	2.63231	0
4.114623e-07	2.63217	0
4.115223e-07	2.63204	0
4.115823e-07	2.6319	0
4.116423e-07	2.63176	0
4.117023e-07	2.63163	0
4.117624e-07	2.63149	0
4.118224e-07	2.63135	0
4.118824e-07	2.63122	0
4.119424e-07	2.63108	0
4.120024e-07	2.63095	0
4.120624e-07	2.63081	0
4.121224e-07	2.63068	0
4.121824e-07	2.63054	0
4.122424e-07	2.6304	0
4.123025e-07	2.63027	0
4.123625e-07	2.63013	0
4.124225e-07	2.63	0
4.124825e-07	2.62986	0
4.125425e-07	2.62973	0
4.126025e-07	2.62959	0
4.126625e-07	2.62946	0
4.127225e-07	2.62932	0
4.127826e-07	2.62919	0
4.128426e-07	2.62905	0
4.129026e-07	2.62892	0
4.129626e-07	2.62878	0
4.130226e-07	2.62865	0
4.130826e-07	2.62852	0
4.131426e-07	2.62838	0
4.132026e-07	2.62825	0
4.132627e-07	2.62811	0
4.133227e-07	2.62798	0
4.133827e-07	2.62784	0
4.134427e-07	2.62771	0
4.135027e-07	2.62758	0
4.135627e-07	2.62744	0
4.136227e-07	2.62731	0
4.136827e-07	2.62718	0
4.137427e-07	2.62704	0
4.138028e-07	2.62691	0
4.138628e-07	2.62678	0
4.139228e-07	2.62664	0
4.139828e-07	2.62651	0
4.140428e-07	2.62638	0
4.141028e-07	2.62624	0
4.141628e-07	2.62611	0
4.142228e-07	2.62598	0
4.142829e-07	2.62585	0
4.143429e-07	2.62571	0
4.144029e-07	2.62558	0
4.144629e-07	2.62545	0
4.145229e-07	2.62532	0
4.145829e-07	2.62518	0
4.146429e-07	2.62505	0
4.147029e-07	2.62492	0
4.147630e-07	2.62479	0
4.148230e-07	2.62465	0
4.148830e-07	2.62452	0
4.149430e-07	2.62439	0
4.150030e-07	2.62426	0
4.150630e-07	2.62413	0
4.151230e-07	2.624	0
4.151830e-07	2.62386	0
4.152430e-07	2.62373	0
4.153031e-07	2.6236	0
4.153631e-07	2.62347	0
4.154231e-07	2.62334	0
4.154831e-07	2.62321	0
4.155431e-07	2.62308	0
4.156031e-07	2.62295	0
4.156631e-07	2.62282	0
4.157231e-07	2.62269	0
4.157832e-07	2.62255	0
4.158432e-07	2.62242	0
4.159032e-07	2.62229	0
4.159632e-07	2.62216	0
4.160232e-07	2.62203	0
4.160832e-07	2.6219	0
4.161432e-07	2.62177	0
4.162032e-07	2.62164	0
4.162633e-07	2.62151	0
4.163233e-07	2.62138	0
4.163833e-07	2.62125	0
4.164433e-07	2.62112	0
4.165033e-07	2.62099	0
4.165633e-07	2.62086	0
4.166233e-07	2.62073	0
4.166833e-07	2.6206	0
4.167433e-07	2.62047	0
4.168034e-07	2.62035	0
4.168634e-07	2.62022	0
4.169234e-07	2.62009	0
4.169834e-07	2.61996	0
4.170434e-07	2.61983	0
4.171034e-07	2.6197	0
4.171634e-07	2.61957	0
4.172234e-07	2.61944	0
4.172835e-07	2.61931	0
4.173435e-07	2.61919	0
4.174035e-07	2.61906	0
4.174635e-07	2.61893	0
4.175235e-07	2.6188	0
4.175835e-07	2.61867	0
4.176435e-07	2.61854	0
4.177035e-07	2.61842	0
4.177636e-07	2.61829	0
4.178236e-07	2.61816	0
4.178836e-07	2.61803	0
4.179436e-07	2.6179	0
4.180036e-07	2.61778	0
4.180636e-07	2.61765	0
4.181236e-07	2.61752	0
4.181836e-07	2.61739	0
4.182436e-07	2.61727	0
4.183037e-07	2.61714	0
4.183637e-07	2.61701	0
4.184237e-07	2.61688	0
4.184837e-07	2.61676	0
4.185437e-07	2.61663	0
4.186037e-07	2.6165	0
4.186637e-07	2.61638	0
