Wavelength(m)	n	k
# material: Cu
# source: P. B. Johnson and R. W. Christy. Optical constants of the noble metals. Phys. Rev. B 6, 4370-4379 (1972)
# conditions: Room temperature
# upstream: polyanskiy/refractiveindex.info-database@ff11b58 main/Cu/nk/Johnson.yml
# type: tabulated nk
# range: 1.8790e-07 - 1.9370e-06 m
# converted: 2026-07-31 (wavelength um -> m)
1.879000e-07	0.94	1.337
1.916000e-07	0.95	1.388
1.953000e-07	0.97	1.44
1.993000e-07	0.98	1.493
2.033000e-07	0.99	1.55
2.073000e-07	1.01	1.599
2.119000e-07	1.04	1.651
2.164000e-07	1.08	1.699
2.214000e-07	1.13	1.737
2.262000e-07	1.18	1.768
2.313000e-07	1.23	1.792
2.371000e-07	1.28	1.802
2.426000e-07	1.34	1.799
2.490000e-07	1.37	1.783
2.551000e-07	1.41	1.741
2.616000e-07	1.41	1.691
2.689000e-07	1.45	1.668
2.761000e-07	1.46	1.646
2.844000e-07	1.45	1.633
2.924000e-07	1.42	1.633
3.009000e-07	1.4	1.679
3.107000e-07	1.38	1.729
3.204000e-07	1.38	1.783
3.315000e-07	1.34	1.821
3.425000e-07	1.36	1.864
3.542000e-07	1.37	1.916
3.679000e-07	1.36	1.975
3.815000e-07	1.33	2.045
3.974000e-07	1.32	2.116
4.133000e-07	1.28	2.207
4.305000e-07	1.25	2.305
4.509000e-07	1.24	2.397
4.714000e-07	1.25	2.483
4.959000e-07	1.22	2.564
5.209000e-07	1.18	2.608
5.486000e-07	1.02	2.577
5.821000e-07	0.7	2.704
6.168000e-07	0.3	3.205
6.595000e-07	0.22	3.747
7.045000e-07	0.21	4.205
7.560000e-07	0.24	4.665
8.211000e-07	0.26	5.18
8.920000e-07	0.3	5.768
9.840000e-07	0.32	6.421
1.088000e-06	0.36	7.217
1.216000e-06	0.48	8.245
1.393000e-06	0.6	9.439
1.610000e-06	0.76	11.12
1.937000e-06	1.09	13.43
