Wavelength(m)	n	k
# material: GaN
# source: 1) T. Kawashima, H. Yoshikawa, S. Adachi. Optical properties of hexagonal GaN. J. Appl. Phys. 82, 3528-3535 (1997) 2) S. Logothetidis, J. Petalas, M. Cardona, T. D. Moustakas. Optical properties and temperature dependence of the interband transitions of cubic and hexagonal GaN. Phys. Rev. B 50, 18017-18029 (1994) * Authors of Ref. 1 provide a simplified model of the interband transitions (MDF) based on their experimental data combined with experimental data from Ref. 2. [Calculation script (Python)]
# conditions: Single-crystalline hexagonal GaN (-GaN) film on (0001) sapphire substrate. Ordinary ray (o, Ec). Room temperature.
# upstream: polyanskiy/refractiveindex.info-database@ff11b58 main/GaN/nk/Kawashima.yml
# type: tabulated nk
# range: 1.2398e-07 - 9.9187e-07 m
# converted: 2026-07-31 (wavelength um -> m)
1.239800e-07	0.90117	1.4895
1.242000e-07	0.90784	1.497
1.244200e-07	0.91466	1.5044
1.246400e-07	0.92162	1.5118
1.248600e-07	0.92873	1.5191
1.250800e-07	0.93599	1.5264
1.253000e-07	0.9434	1.5336
1.255200e-07	0.95096	1.5407
1.257500e-07	0.95867	1.5478
1.259700e-07	0.96654	1.5548
1.262000e-07	0.97455	1.5617
1.264200e-07	0.98272	1.5685
1.266500e-07	0.99104	1.5752
1.268800e-07	0.99951	1.5818
1.271000e-07	1.0081	1.5883
1.273300e-07	1.0169	1.5947
1.275600e-07	1.0258	1.601
1.277900e-07	1.0349	1.6071
1.280300e-07	1.0441	1.6131
1.282600e-07	1.0535	1.619
1.284900e-07	1.063	1.6247
1.287200e-07	1.0726	1.6302
1.289600e-07	1.0823	1.6356
1.291900e-07	1.0922	1.6408
1.294300e-07	1.1022	1.6458
1.296700e-07	1.1124	1.6507
1.299100e-07	1.1226	1.6553
1.301500e-07	1.1329	1.6597
1.303900e-07	1.1434	1.664
1.306300e-07	1.1539	1.668
1.308700e-07	1.1645	1.6718
1.311100e-07	1.1752	1.6753
1.313500e-07	1.186	1.6786
1.316000e-07	1.1968	1.6817
1.318400e-07	1.2076	1.6845
1.320900e-07	1.2185	1.6871
1.323400e-07	1.2294	1.6894
1.325900e-07	1.2403	1.6915
1.328400e-07	1.2512	1.6933
1.330900e-07	1.2621	1.6948
1.333400e-07	1.273	1.696
1.335900e-07	1.2838	1.697
1.338400e-07	1.2945	1.6978
1.341000e-07	1.3052	1.6982
1.343500e-07	1.3158	1.6984
1.346100e-07	1.3262	1.6983
1.348600e-07	1.3366	1.698
1.351200e-07	1.3468	1.6974
1.353800e-07	1.3569	1.6966
1.356400e-07	1.3668	1.6955
1.359000e-07	1.3765	1.6942
1.361600e-07	1.386	1.6927
1.364200e-07	1.3953	1.691
1.366900e-07	1.4044	1.689
1.369500e-07	1.4133	1.6869
1.372200e-07	1.4219	1.6846
1.374800e-07	1.4302	1.6822
1.377500e-07	1.4383	1.6796
1.380200e-07	1.4461	1.6769
1.382900e-07	1.4535	1.6741
1.385600e-07	1.4607	1.6712
1.388300e-07	1.4676	1.6682
1.391100e-07	1.4742	1.6652
1.393800e-07	1.4804	1.6621
1.396600e-07	1.4863	1.6591
1.399300e-07	1.492	1.6561
1.402100e-07	1.4972	1.6531
1.404900e-07	1.5022	1.6501
1.407700e-07	1.5068	1.6473
1.410500e-07	1.5112	1.6446
1.413300e-07	1.5152	1.642
1.416200e-07	1.5189	1.6395
1.419000e-07	1.5223	1.6373
1.421800e-07	1.5254	1.6352
1.424700e-07	1.5283	1.6333
1.427600e-07	1.5309	1.6317
1.430500e-07	1.5332	1.6304
1.433400e-07	1.5354	1.6294
1.436300e-07	1.5373	1.6286
1.439200e-07	1.539	1.6282
1.442100e-07	1.5405	1.6281
1.445100e-07	1.542	1.6284
1.448100e-07	1.5432	1.6291
1.451000e-07	1.5444	1.6302
1.454000e-07	1.5455	1.6317
1.457000e-07	1.5466	1.6336
1.460000e-07	1.5477	1.636
1.463000e-07	1.5488	1.6388
1.466100e-07	1.55	1.6421
1.469100e-07	1.5512	1.6458
1.472200e-07	1.5526	1.65
1.475200e-07	1.5542	1.6547
1.478300e-07	1.556	1.6599
1.481400e-07	1.5581	1.6655
1.484500e-07	1.5605	1.6716
1.487700e-07	1.5633	1.6781
1.490800e-07	1.5665	1.6851
1.493900e-07	1.5702	1.6925
1.497100e-07	1.5744	1.7002
1.500300e-07	1.5792	1.7083
1.503500e-07	1.5847	1.7167
1.506700e-07	1.5908	1.7254
1.509900e-07	1.5977	1.7342
1.513100e-07	1.6053	1.7431
1.516400e-07	1.6138	1.7521
1.519600e-07	1.6232	1.761
1.522900e-07	1.6334	1.7697
1.526200e-07	1.6445	1.7781
1.529500e-07	1.6565	1.7862
1.532800e-07	1.6694	1.7936
