Wavelength(m)	n	k
# material: Graphene
# source: M. A. El-Sayed, G. A. Ermolaev, K. V. Voronin, R. I. Romanov, G. I. Tselikov, D. I. Yakubovsky, N. V. Doroshina, A. B. Nemtsov, V. R. Solovey, A. A. Voronov, S. M. Novikov, A. A. Vyshnevyy, A. M. Markeev, A. V. Arsenin, V. S. Volkov. Optical constants of chemical vapor deposited graphene for photonic applications, Nanomaterials, 11, 1230 (2021) (Numerical data kindly provided by Georgy Ermolaev)
# conditions: Broadband optical constants of CVD graphene in the spectral range 240-1000 nm.
# upstream: polyanskiy/refractiveindex.info-database@ff11b58 main/C/nk/El-Sayed.yml
# type: tabulated nk
# range: 2.4000e-07 - 1.0000e-06 m
# converted: 2026-07-31 by tools/convert_refractiveindex_info.py (wavelength um -> m)
2.400000e-07	1.4805	2.3484
2.410000e-07	1.50855	2.3633
2.420000e-07	1.54042	2.37998
2.430000e-07	1.55011	2.39735
2.440000e-07	1.59149	2.41337
2.450000e-07	1.63224	2.42823
2.460000e-07	1.67234	2.44229
2.470000e-07	1.7118	2.45528
2.480000e-07	1.75062	2.46695
2.490000e-07	1.78881	2.47737
2.500000e-07	1.82636	2.48678
2.510000e-07	1.86328	2.49585
2.520000e-07	1.89956	2.50371
2.530000e-07	1.93521	2.51001
2.540000e-07	1.97023	2.51481
2.550000e-07	2.00462	2.51836
2.560000e-07	2.03838	2.52146
2.570000e-07	2.07151	2.52313
2.580000e-07	2.10402	2.52303
2.590000e-07	2.1359	2.52125
2.600000e-07	2.16716	2.5181
2.610000e-07	2.1978	2.51497
2.620000e-07	2.22782	2.50988
2.630000e-07	2.25722	2.50186
2.640000e-07	2.286	2.49079
2.650000e-07	2.31416	2.47702
2.660000e-07	2.34171	2.46072
2.670000e-07	2.36864	2.44266
2.680000e-07	2.39496	2.42378
2.690000e-07	2.42067	2.40491
2.700000e-07	2.44577	2.38668
2.710000e-07	2.47026	2.36845
2.720000e-07	2.49414	2.35021
2.730000e-07	2.51741	2.33198
2.740000e-07	2.54008	2.31375
2.750000e-07	2.56214	2.29552
2.760000e-07	2.63922	2.27865
2.770000e-07	2.66373	2.26082
2.780000e-07	2.68657	2.24063
2.790000e-07	2.70779	2.21751
2.800000e-07	2.72752	2.19148
2.810000e-07	2.74589	2.16234
2.820000e-07	2.76308	2.13201
2.830000e-07	2.7793	2.10204
2.840000e-07	2.79479	2.07353
2.850000e-07	2.8098	2.04706
2.860000e-07	2.82386	2.02117
2.870000e-07	2.83695	1.99654
2.880000e-07	2.8491	1.97336
2.890000e-07	2.86031	1.95151
2.900000e-07	2.8706	1.93066
2.910000e-07	2.87999	1.91049
2.920000e-07	2.8885	1.89138
2.930000e-07	2.89616	1.87334
2.940000e-07	2.90301	1.85621
2.950000e-07	2.90907	1.83969
2.960000e-07	2.91438	1.82364
2.970000e-07	2.91897	1.8083
2.980000e-07	2.92288	1.79368
2.990000e-07	2.92614	1.77964
3.000000e-07	2.92881	1.766
3.010000e-07	2.9309	1.75266
3.020000e-07	2.93247	1.73978
3.030000e-07	2.93354	1.72739
3.040000e-07	2.93416	1.7154
3.050000e-07	2.93435	1.7037
3.060000e-07	2.93416	1.69218
3.070000e-07	2.93361	1.681
3.080000e-07	2.93274	1.67018
3.090000e-07	2.93157	1.65966
3.100000e-07	2.93014	1.64938
3.110000e-07	2.92846	1.63922
3.120000e-07	2.92657	1.62934
3.130000e-07	2.92449	1.61974
3.140000e-07	2.92224	1.6104
3.150000e-07	2.91983	1.60125
3.160000e-07	2.9173	1.59221
3.170000e-07	2.91465	1.5834
3.180000e-07	2.9119	1.57484
3.190000e-07	2.90907	1.56651
3.200000e-07	2.90617	1.55835
3.210000e-07	2.90321	1.55029
3.220000e-07	2.90021	1.54242
3.230000e-07	2.89717	1.53479
3.240000e-07	2.8941	1.52736
3.250000e-07	2.89101	1.5201
3.260000e-07	2.88791	1.51292
3.270000e-07	2.88481	1.50593
3.280000e-07	2.8817	1.49914
3.290000e-07	2.8786	1.49256
3.300000e-07	2.87551	1.48612
3.310000e-07	2.87242	1.47975
3.320000e-07	2.86934	1.47356
3.330000e-07	2.86628	1.46757
3.340000e-07	2.86322	1.46175
3.350000e-07	2.86018	1.45608
3.360000e-07	2.85715	1.45048
3.370000e-07	2.85412	1.44503
3.380000e-07	2.85111	1.43977
3.390000e-07	2.84811	1.43468
3.400000e-07	2.84511	1.42972
3.410000e-07	2.84212	1.42482
3.420000e-07	2.83915	1.42007
3.430000e-07	2.83618	1.41549
3.440000e-07	2.83323	1.41107
3.450000e-07	2.83028	1.40676
3.460000e-07	2.82736	1.40252
3.470000e-07	2.82445	1.39841
3.480000e-07	2.82157	1.39447
3.490000e-07	2.81871	1.39066
3.500000e-07	2.81587	1.38696
3.510000e-07	2.81307	1.38332
3.520000e-07	2.8103	1.3798
3.530000e-07	2.80757	1.37643
3.540000e-07	2.80487	1.37319
3.550000e-07	2.80222	1.37005
3.560000e-07	2.79961	1.36696
3.570000e-07	2.79705	1.36399
3.580000e-07	2.79454	1.36115
3.590000e-07	2.79208	1.35843
3.600000e-07	2.78968	1.35579
3.610000e-07	2.78732	1.35321
3.620000e-07	2.78503	1.35073
3.630000e-07	2.78279	1.34837
3.640000e-07	2.78061	1.34612
3.650000e-07	2.77849	1.34395
3.660000e-07	2.77644	1.34183
3.670000e-07	2.77444	1.33981
3.680000e-07	2.77251	1.33789
3.690000e-07	2.77064	1.33607
3.700000e-07	2.76883	1.33433
3.710000e-07	2.76709	1.33263
3.720000e-07	2.7654	1.33101
3.730000e-07	2.76378	1.32949
3.740000e-07	2.76221	1.32806
3.750000e-07	2.7607	1.32671
3.760000e-07	2.75925	1.32538
3.770000e-07	2.75784	1.32414
3.780000e-07	2.75648	1.32299
3.790000e-07	2.75516	1.32191
3.800000e-07	2.75388	1.3209
3.810000e-07	2.75264	1.31992
3.820000e-07	2.75144	1.31901
3.830000e-07	2.75026	1.31819
3.840000e-07	2.74912	1.31744
3.850000e-07	2.74799	1.31674
3.860000e-07	2.7469	1.31607
3.870000e-07	2.74583	1.31547
3.880000e-07	2.74477	1.31494
3.890000e-07	2.74374	1.31448
3.900000e-07	2.74273	1.31406
3.910000e-07	2.74174	1.31368
3.920000e-07	2.74078	1.31335
3.930000e-07	2.73983	1.31309
3.940000e-07	2.73891	1.31289
3.950000e-07	2.73801	1.31274
3.960000e-07	2.73713	1.3126
3.970000e-07	2.73627	1.31252
3.980000e-07	2.73544	1.3125
3.990000e-07	2.73463	1.31253
4.000000e-07	2.73384	1.31261
4.010000e-07	2.73307	1.31271
4.020000e-07	2.73233	1.31285
4.030000e-07	2.7316	1.31305
4.040000e-07	2.7309	1.31329
4.050000e-07	2.73022	1.31358
4.060000e-07	2.72956	1.31388
4.070000e-07	2.72892	1.31423
4.080000e-07	2.72829	1.31462
4.090000e-07	2.72769	1.31505
4.100000e-07	2.7271	1.31552
4.110000e-07	2.72653	1.31601
4.120000e-07	2.72598	1.31653
4.130000e-07	2.72545	1.3171
4.140000e-07	2.72493	1.31771
4.150000e-07	2.72443	1.31834
4.160000e-07	2.72395	1.319
4.170000e-07	2.72349	1.31968
4.180000e-07	2.72304	1.32041
4.190000e-07	2.72261	1.32117
4.200000e-07	2.72219	1.32196
4.210000e-07	2.72179	1.32276
4.220000e-07	2.7214	1.32359
4.230000e-07	2.72103	1.32446
4.240000e-07	2.72067	1.32536
4.250000e-07	2.72033	1.32628
4.260000e-07	2.72	1.32721
4.270000e-07	2.71968	1.32817
4.280000e-07	2.71938	1.32917
4.290000e-07	2.71909	1.33019
4.300000e-07	2.71882	1.33123
4.310000e-07	2.71856	1.33229
4.320000e-07	2.71831	1.33337
4.330000e-07	2.71807	1.33447
4.340000e-07	2.71785	1.3356
4.350000e-07	2.71764	1.33675
4.360000e-07	2.71744	1.33791
4.370000e-07	2.71725	1.33909
4.380000e-07	2.71708	1.3403
4.390000e-07	2.71691	1.34153
4.400000e-07	2.71676	1.34277
4.410000e-07	2.71662	1.34402
4.420000e-07	2.71649	1.3453
4.430000e-07	2.71637	1.34659
4.440000e-07	2.71626	1.3479
4.450000e-07	2.71616	1.34923
4.460000e-07	2.71607	1.35057
4.470000e-07	2.71599	1.35193
4.480000e-07	2.71592	1.35331
4.490000e-07	2.71587	1.3547
4.500000e-07	2.71582	1.3561
4.510000e-07	2.71578	1.35756
