Wavelength(m)	n	k
# material: Graphene
# source: B. Song, H. Gu, S. Zhu, H. Jiang, X. Chen, C. Zhang, S. Liu. Broadband optical properties of graphene and HOPG investigated by spectroscopic Mueller matrix ellipsometry. Appl. Surf. Sci 439, 1079-1087 (2018) (Numerical data kindly provided by Baokun Song)
# conditions: Mono-graphene fabricated by chemical vapor deposition (CVD).
# upstream: polyanskiy/refractiveindex.info-database@ff11b58 main/C/nk/Song.yml
# type: tabulated nk
# range: 1.9300e-07 - 1.6900e-06 m
# converted: 2026-07-31 (wavelength um -> m)
1.930000e-07	1.16834	2.03675
1.940000e-07	1.19134	2.04481
1.950000e-07	1.21331	2.04994
1.960000e-07	1.23397	2.05239
1.970000e-07	1.25307	2.05245
1.980000e-07	1.27039	2.05043
1.990000e-07	1.28573	2.04663
2.000000e-07	1.29894	2.0414
2.010000e-07	1.30991	2.03509
2.020000e-07	1.31857	2.02803
2.030000e-07	1.32489	2.02058
2.040000e-07	1.3289	2.01307
2.050000e-07	1.33065	2.00583
2.060000e-07	1.33025	1.99915
2.070000e-07	1.32781	1.99333
2.080000e-07	1.32351	1.98862
2.090000e-07	1.31753	1.98524
2.100000e-07	1.31008	1.98338
2.110000e-07	1.30137	1.9832
2.120000e-07	1.29164	1.98484
2.130000e-07	1.28113	1.98839
2.140000e-07	1.27006	1.9939
2.150000e-07	1.25869	2.00142
2.160000e-07	1.24723	2.01094
2.170000e-07	1.2359	2.02244
2.180000e-07	1.22491	2.03589
2.190000e-07	1.21446	2.05121
2.200000e-07	1.20471	2.06832
2.210000e-07	1.19582	2.08713
2.220000e-07	1.18794	2.10753
2.230000e-07	1.18119	2.12941
2.240000e-07	1.17567	2.15264
2.250000e-07	1.17147	2.17711
2.260000e-07	1.16867	2.2027
2.270000e-07	1.16733	2.22927
2.280000e-07	1.16749	2.25673
2.290000e-07	1.16919	2.28494
2.300000e-07	1.17247	2.31381
2.310000e-07	1.17734	2.34323
2.320000e-07	1.18381	2.3731
2.330000e-07	1.19191	2.40331
2.340000e-07	1.20164	2.43379
2.350000e-07	1.21299	2.46445
2.360000e-07	1.22598	2.49521
2.370000e-07	1.24061	2.52598
2.380000e-07	1.25688	2.55668
2.390000e-07	1.27479	2.58724
2.400000e-07	1.29435	2.61759
2.410000e-07	1.31555	2.64765
2.420000e-07	1.33841	2.67733
2.430000e-07	1.36293	2.70656
2.440000e-07	1.38911	2.73525
2.450000e-07	1.41696	2.76332
2.460000e-07	1.44647	2.79067
2.470000e-07	1.47765	2.81721
2.480000e-07	1.51049	2.84282
2.490000e-07	1.54499	2.86739
2.500000e-07	1.58112	2.89081
2.510000e-07	1.61887	2.91295
2.520000e-07	1.6582	2.93367
2.530000e-07	1.69906	2.95283
2.540000e-07	1.74139	2.97029
2.550000e-07	1.78511	2.9859
2.560000e-07	1.83012	2.99949
2.570000e-07	1.8763	3.01093
2.580000e-07	1.92352	3.02007
2.590000e-07	1.9716	3.02677
