Wavelength(m)	n	k
# material: HfO2
# source: D. Franta, D. Necas, I. Ohlidal. Universal dispersion model for characterization of optical thin films over wide spectral range: Application to hafnia. Appl. Opt. 54, 9108-9119 (2015) (Numerical data kindly provided by Daniel Franta)
# conditions: Film HfO2; Deposited by e-beam evaporation on c-Si; 112.7 nm thick film with an amorphous (very fine polycrystalline) structure; Heterogenous data processing combining ellipsometric and spectrophotometric measurements; Room temperature.
# upstream: polyanskiy/refractiveindex.info-database@ff11b58 main/HfO2/nk/Franta.yml
# type: tabulated nk
# range: 1.1477e-07 - 1.2512e-04 m
# converted: 2026-07-31 by tools/convert_refractiveindex_info.py (wavelength um -> m)
1.147730e-07	1.82557	1.54494
1.151040e-07	1.83492	1.54071
1.154360e-07	1.84415	1.5364
1.157680e-07	1.85327	1.53201
1.161020e-07	1.86228	1.52755
1.164370e-07	1.87117	1.52302
1.167720e-07	1.87994	1.51842
1.171090e-07	1.8886	1.51375
1.174460e-07	1.89715	1.50903
1.177850e-07	1.90557	1.50425
1.181240e-07	1.91388	1.49941
1.184650e-07	1.92207	1.49452
1.188060e-07	1.93014	1.48958
1.191490e-07	1.93809	1.4846
1.194920e-07	1.94592	1.47957
1.198370e-07	1.95363	1.4745
1.201820e-07	1.96122	1.46939
1.205290e-07	1.96868	1.46426
1.208760e-07	1.97603	1.45909
1.212240e-07	1.98326	1.45389
1.215740e-07	1.99037	1.44867
1.219240e-07	1.99735	1.44343
1.222760e-07	2.00422	1.43816
1.226280e-07	2.01097	1.43289
1.229820e-07	2.0176	1.4276
1.233360e-07	2.02411	1.4223
1.236920e-07	2.0305	1.417
1.240480e-07	2.03677	1.41169
1.244060e-07	2.04293	1.40639
1.247640e-07	2.04897	1.40109
1.251240e-07	2.05489	1.39579
1.254840e-07	2.0607	1.3905
1.258460e-07	2.0664	1.38523
1.262090e-07	2.07198	1.37997
1.265730e-07	2.07746	1.37473
1.269370e-07	2.08282	1.36951
1.273030e-07	2.08807	1.36431
1.276700e-07	2.09322	1.35915
1.280380e-07	2.09825	1.35401
1.284070e-07	2.10319	1.34891
1.287770e-07	2.10802	1.34384
1.291490e-07	2.11274	1.33881
1.295210e-07	2.11737	1.33383
1.298940e-07	2.1219	1.32889
1.302690e-07	2.12633	1.324
1.306440e-07	2.13067	1.31916
1.310210e-07	2.13491	1.31437
1.313980e-07	2.13906	1.30964
1.317770e-07	2.14312	1.30497
1.321570e-07	2.1471	1.30036
1.325380e-07	2.15099	1.29582
1.329200e-07	2.1548	1.29134
1.333030e-07	2.15853	1.28694
1.336870e-07	2.16218	1.28261
1.340730e-07	2.16576	1.27836
1.344590e-07	2.16926	1.27418
1.348470e-07	2.1727	1.27009
1.352350e-07	2.17607	1.26608
1.356250e-07	2.17938	1.26216
1.360160e-07	2.18263	1.25834
1.364080e-07	2.18582	1.2546
1.368010e-07	2.18895	1.25096
1.371960e-07	2.19204	1.24742
1.375910e-07	2.19509	1.24397
1.379880e-07	2.19809	1.24064
1.383850e-07	2.20105	1.2374
1.387840e-07	2.20398	1.23428
1.391840e-07	2.20688	1.23126
1.395850e-07	2.20975	1.22836
1.399880e-07	2.2126	1.22557
1.403910e-07	2.21544	1.22291
1.407960e-07	2.21827	1.22036
1.412020e-07	2.22109	1.21793
1.416090e-07	2.2239	1.21562
1.420170e-07	2.22673	1.21345
1.424260e-07	2.22956	1.21139
1.428370e-07	2.23241	1.20947
1.432480e-07	2.23528	1.20768
1.436610e-07	2.23818	1.20602
1.440750e-07	2.24112	1.20449
1.444910e-07	2.24409	1.2031
1.449070e-07	2.24712	1.20184
1.453250e-07	2.2502	1.20072
1.457440e-07	2.25334	1.19974
1.461640e-07	2.25656	1.19889
1.465850e-07	2.25985	1.19818
1.470080e-07	2.26324	1.1976
1.474310e-07	2.26671	1.19716
1.478560e-07	2.2703	1.19686
1.482820e-07	2.27399	1.19669
1.487100e-07	2.27781	1.19665
1.491390e-07	2.28176	1.19674
1.495680e-07	2.28585	1.19696
1.500000e-07	2.29009	1.1973
1.504320e-07	2.2945	1.19776
1.508650e-07	2.29908	1.19835
1.513000e-07	2.30384	1.19904
1.517360e-07	2.30879	1.19984
1.521740e-07	2.31395	1.20075
1.526120e-07	2.31933	1.20175
1.530520e-07	2.32493	1.20284
1.534930e-07	2.33077	1.204
1.539360e-07	2.33687	1.20524
1.543800e-07	2.34322	1.20654
1.548250e-07	2.34984	1.20789
1.552710e-07	2.35675	1.20928
1.557180e-07	2.36395	1.2107
1.561670e-07	2.37146	1.21213
1.566170e-07	2.37928	1.21356
1.570690e-07	2.38743	1.21497
1.575220e-07	2.39591	1.21635
1.579760e-07	2.40473	1.21768
1.584310e-07	2.41391	1.21894
1.588880e-07	2.42345	1.2201
1.593460e-07	2.43335	1.22116
1.598050e-07	2.44362	1.22208
1.602650e-07	2.45427	1.22284
1.607270e-07	2.4653	1.22342
1.611910e-07	2.47671	1.22379
1.616550e-07	2.4885	1.22392
1.621210e-07	2.50067	1.22379
1.625890e-07	2.51322	1.22337
1.630570e-07	2.52613	1.22263
1.635270e-07	2.53941	1.22154
1.639980e-07	2.55304	1.22007
1.644710e-07	2.56701	1.21819
1.649450e-07	2.58131	1.21586
1.654210e-07	2.59591	1.21307
1.658980e-07	2.6108	1.20977
1.663760e-07	2.62596	1.20595
1.668550e-07	2.64135	1.20156
1.673360e-07	2.65696	1.19659
1.678190e-07	2.67275	1.19101
1.683020e-07	2.68868	1.1848
1.687870e-07	2.70472	1.17793
1.692740e-07	2.72083	1.17039
1.697620e-07	2.73697	1.16215
1.702510e-07	2.75309	1.15321
1.707420e-07	2.76916	1.14356
1.712340e-07	2.78512	1.1332
1.717280e-07	2.80092	1.1221
1.722220e-07	2.81653	1.1103
1.727190e-07	2.83188	1.09777
1.732170e-07	2.84693	1.08454
1.737160e-07	2.86164	1.07063
1.742170e-07	2.87595	1.05604
1.747190e-07	2.88983	1.04081
1.752230e-07	2.90322	1.02495
1.757280e-07	2.91608	1.0085
1.762340e-07	2.92838	0.991495
1.767420e-07	2.94009	0.973969
1.772510e-07	2.95116	0.955961
1.777620e-07	2.96157	0.937515
1.782750e-07	2.9713	0.918673
1.787890e-07	2.98033	0.899482
1.793040e-07	2.98863	0.879989
1.798210e-07	2.9962	0.860241
1.803390e-07	3.00303	0.840284
1.808590e-07	3.00912	0.820168
1.813800e-07	3.01446	0.799937
1.819030e-07	3.01906	0.779638
1.824270e-07	3.02293	0.759315
1.829530e-07	3.02607	0.739011
1.834800e-07	3.0285	0.718765
1.840090e-07	3.03024	0.698617
1.845400e-07	3.0313	0.678603
1.850720e-07	3.0317	0.658755
1.856050e-07	3.03148	0.639106
1.861400e-07	3.03064	0.619683
1.866770e-07	3.02922	0.600513
1.872150e-07	3.02724	0.581619
1.877540e-07	3.02473	0.56302
1.882950e-07	3.02172	0.544737
1.888380e-07	3.01823	0.526783
1.893830e-07	3.01428	0.509173
1.899280e-07	3.00991	0.491918
1.904760e-07	3.00515	0.475027
1.910250e-07	3.00001	0.458508
1.915750e-07	2.99453	0.442365
1.921280e-07	2.98872	0.426604
1.926810e-07	2.98262	0.411225
1.932370e-07	2.97624	0.39623
1.937940e-07	2.9696	0.381619
1.943520e-07	2.96273	0.367391
1.949130e-07	2.95565	0.353543
1.954740e-07	2.94838	0.340072
1.960380e-07	2.94093	0.326974
1.966030e-07	2.93332	0.314245
1.971700e-07	2.92556	0.301878
1.977380e-07	2.91768	0.28987
1.983080e-07	2.90969	0.278213
1.988790e-07	2.9016	0.266902
1.994530e-07	2.89342	0.25593
2.000280e-07	2.88516	0.245289
2.006040e-07	2.87684	0.234974
2.011820e-07	2.86846	0.224977
2.017620e-07	2.86004	0.215291
2.023440e-07	2.85158	0.205909
2.029270e-07	2.84309	0.196824
2.035120e-07	2.83459	0.188029
2.040990e-07	2.82607	0.179517
2.046870e-07	2.81754	0.171282
2.052770e-07	2.80901	0.163316
2.058680e-07	2.80049	0.155614
2.064620e-07	2.79198	0.148168
2.070570e-07	2.78348	0.140973
2.076540e-07	2.775	0.134022
2.082520e-07	2.76654	0.127309
2.088530e-07	2.75812	0.12083
2.094550e-07	2.74972	0.114577
2.100580e-07	2.74135	0.108546
2.106640e-07	2.73303	0.102732
2.112710e-07	2.72474	0.09713
2.118800e-07	2.7165	0.0917343
2.124910e-07	2.7083	0.0865408
2.131030e-07	2.70014	0.0815451
2.137170e-07	2.69204	0.0767427
2.143330e-07	2.68399	0.0721296
2.149510e-07	2.67599	0.0677019
2.155710e-07	2.66805	0.0634558
2.161920e-07	2.66016	0.0593877
2.168150e-07	2.65233	0.0554941
2.174400e-07	2.64456	0.0517718
2.180670e-07	2.63686	0.0482176
2.186960e-07	2.62921	0.0448285
2.193260e-07	2.62164	0.0416017
2.199580e-07	2.61413	0.0385344
2.205920e-07	2.60668	0.0356242
2.212280e-07	2.59931	0.0328685
2.218660e-07	2.59201	0.030265
2.225050e-07	2.58478	0.0278116
2.231460e-07	2.57763	0.0255061
2.237900e-07	2.57055	0.0233466
2.244350e-07	2.56356	0.0213312
2.250820e-07	2.55664	0.0194581
2.257300e-07	2.54981	0.0177258
2.263810e-07	2.54307	0.0161326
2.270330e-07	2.53641	0.0146771
