Wavelength(m)	n	k
# material: ITO
# source: A. Minenkov, S. Hollweger, J. Duchoslav, O. Erdene-Ochir, M. Weise, E. Ermilova, A. Hertwig, M. Schiek. Monitoring the electrochemical failure of indium tin oxide electrodes via operando ellipsometry. ACS Appl Mater Interfaces 16, 9517-9531 (2024) (Numerical data kindly provided by Manuela Schiek)
# conditions: 110 nm thick ITO layer on glass type XY15S purchased from Xinyan Technology LTD.
# upstream: polyanskiy/refractiveindex.info-database@ff11b58 other/mixed crystals/In2O3-SnO2/nk/Minenkov-glass.yml
# type: tabulated nk
# range: 1.9146e-07 - 1.6887e-06 m
# converted: 2026-07-31 (wavelength um -> m)
1.914600e-07	2.04232	0.59569
1.930500e-07	2.05161	0.60194
1.946500e-07	2.06105	0.6071
1.962500e-07	2.07055	0.61126
1.978400e-07	2.08003	0.61447
1.994400e-07	2.08942	0.61682
2.010400e-07	2.09867	0.61839
2.026300e-07	2.10773	0.61925
2.042300e-07	2.11656	0.61948
2.058300e-07	2.12515	0.61915
2.074200e-07	2.13346	0.61834
2.090200e-07	2.1415	0.6171
2.106200e-07	2.14925	0.61551
2.122200e-07	2.15672	0.61363
2.138100e-07	2.16392	0.61152
2.154100e-07	2.17086	0.60923
2.170100e-07	2.17756	0.60682
2.186000e-07	2.18405	0.60433
2.202000e-07	2.19036	0.6018
2.218000e-07	2.19652	0.59928
2.234000e-07	2.20258	0.59679
2.249900e-07	2.20857	0.59437
2.265900e-07	2.21454	0.59203
2.281900e-07	2.22055	0.5898
2.297900e-07	2.22664	0.58767
2.313900e-07	2.23288	0.58566
2.329800e-07	2.23933	0.58374
2.345800e-07	2.24605	0.58192
2.361800e-07	2.25311	0.58015
2.377800e-07	2.26057	0.5784
2.393800e-07	2.26848	0.57661
2.409700e-07	2.27692	0.57473
2.425700e-07	2.28593	0.57267
2.441700e-07	2.29556	0.57033
2.457700e-07	2.30584	0.5676
2.473700e-07	2.31678	0.56436
2.489700e-07	2.32839	0.56046
2.505700e-07	2.34064	0.55577
2.521600e-07	2.35346	0.55012
2.537600e-07	2.36678	0.54335
2.553600e-07	2.38045	0.53532
2.569600e-07	2.39432	0.5259
2.585600e-07	2.40818	0.51496
2.601600e-07	2.42182	0.50245
2.617600e-07	2.43496	0.48832
2.633600e-07	2.44735	0.47261
2.649600e-07	2.45872	0.45539
2.665600e-07	2.46881	0.4368
2.681500e-07	2.47739	0.41703
2.697500e-07	2.48429	0.39631
2.713500e-07	2.48937	0.37491
2.729500e-07	2.49256	0.35312
2.745500e-07	2.49385	0.33122
2.761500e-07	2.49328	0.3095
2.777500e-07	2.49094	0.2882
2.793500e-07	2.48696	0.26754
2.809500e-07	2.48152	0.2477
2.825500e-07	2.47478	0.22882
2.841500e-07	2.46693	0.211
2.857500e-07	2.45816	0.19431
2.873500e-07	2.44864	0.17876
2.889500e-07	2.43853	0.16437
2.905500e-07	2.428	0.15112
2.921500e-07	2.41717	0.13897
2.937500e-07	2.40615	0.12787
2.953500e-07	2.39505	0.11776
2.969500e-07	2.38395	0.10859
2.985500e-07	2.37292	0.1003
3.001500e-07	2.36201	0.09282
3.017500e-07	2.35127	0.08609
3.033500e-07	2.34075	0.08005
3.049500e-07	2.33046	0.07464
3.065500e-07	2.32044	0.06982
3.081500e-07	2.31069	0.06553
3.097500e-07	2.30124	0.06173
3.113500e-07	2.29209	0.05837
3.129500e-07	2.28326	0.05542
3.145500e-07	2.27475	0.05284
3.161500e-07	2.26658	0.0506
3.177500e-07	2.25875	0.04868
3.193500e-07	2.25133	0.04703
3.209500e-07	2.24435	0.0455
3.225500e-07	2.23769	0.04403
3.241600e-07	2.23129	0.0426
3.257600e-07	2.22512	0.04122
3.273600e-07	2.21914	0.03989
3.289600e-07	2.21335	0.03861
3.305600e-07	2.20773	0.03737
3.321600e-07	2.20226	0.03617
3.337600e-07	2.19692	0.03502
3.353600e-07	2.19173	0.03391
3.369600e-07	2.18665	0.03284
3.385600e-07	2.1817	0.0318
3.401600e-07	2.17685	0.03081
3.417600e-07	2.17211	0.02985
3.433600e-07	2.16746	0.02893
3.449700e-07	2.16291	0.02804
3.465700e-07	2.15846	0.02718
3.481700e-07	2.15408	0.02635
3.497700e-07	2.14979	0.02556
3.513700e-07	2.14558	0.02479
3.529700e-07	2.14144	0.02406
3.545700e-07	2.13738	0.02335
3.561700e-07	2.13338	0.02266
3.577700e-07	2.12945	0.022
3.593800e-07	2.12559	0.02137
3.609800e-07	2.12179	0.02076
3.625800e-07	2.11804	0.02017
3.641800e-07	2.11436	0.01961
3.657800e-07	2.11073	0.01907
3.673800e-07	2.10716	0.01854
3.689800e-07	2.10364	0.01804
3.705800e-07	2.10017	0.01756
3.721900e-07	2.09675	0.01709
3.737900e-07	2.09337	0.01664
3.753900e-07	2.09005	0.01621
3.769900e-07	2.08676	0.0158
3.785900e-07	2.08352	0.0154
3.801900e-07	2.08033	0.01502
3.817900e-07	2.07717	0.01465
3.833900e-07	2.07406	0.0143
3.850000e-07	2.07098	0.01396
3.866000e-07	2.06794	0.01363
3.882000e-07	2.06494	0.01332
3.898000e-07	2.06197	0.01301
3.914000e-07	2.05903	0.01272
3.930000e-07	2.05613	0.01244
3.946000e-07	2.05327	0.01218
3.962100e-07	2.05043	0.01192
3.978100e-07	2.04762	0.01167
3.994100e-07	2.04485	0.01144
4.010100e-07	2.0421	0.01121
4.026100e-07	2.03938	0.01099
4.042100e-07	2.03669	0.01078
4.058100e-07	2.03403	0.01058
4.074200e-07	2.03139	0.01039
4.090200e-07	2.02878	0.01021
4.106200e-07	2.0262	0.01003
4.122200e-07	2.02364	0.00986
4.138200e-07	2.0211	0.0097
4.154200e-07	2.01858	0.00955
4.170200e-07	2.01609	0.0094
4.186300e-07	2.01362	0.00926
4.202300e-07	2.01116	0.00912
4.218300e-07	2.00873	0.00899
4.234300e-07	2.00632	0.00887
4.250300e-07	2.00393	0.00875
4.266300e-07	2.00156	0.00864
4.282300e-07	1.99921	0.00853
4.298400e-07	1.99688	0.00843
4.314400e-07	1.99456	0.00834
4.330400e-07	1.99226	0.00824
4.346400e-07	1.98998	0.00816
4.362400e-07	1.98771	0.00807
4.378400e-07	1.98546	0.008
4.394400e-07	1.98323	0.00792
4.410500e-07	1.981	0.00785
4.426500e-07	1.9788	0.00779
4.442500e-07	1.97661	0.00773
4.458500e-07	1.97443	0.00767
4.474500e-07	1.97227	0.00761
4.490500e-07	1.97012	0.00756
4.506500e-07	1.96798	0.00751
4.522500e-07	1.96586	0.00747
4.538600e-07	1.96375	0.00743
4.554600e-07	1.96164	0.00739
4.570600e-07	1.95956	0.00735
4.586600e-07	1.95748	0.00732
4.602600e-07	1.95541	0.00729
4.618600e-07	1.95336	0.00727
4.634600e-07	1.95131	0.00724
4.650600e-07	1.94928	0.00722
4.666700e-07	1.94725	0.0072
4.682700e-07	1.94524	0.00719
4.698700e-07	1.94323	0.00717
4.714700e-07	1.94123	0.00716
4.730700e-07	1.93925	0.00715
4.746700e-07	1.93727	0.00715
4.762700e-07	1.9353	0.00714
4.778700e-07	1.93333	0.00714
4.794700e-07	1.93138	0.00714
4.810700e-07	1.92943	0.00714
4.826700e-07	1.92749	0.00714
4.842800e-07	1.92556	0.00715
4.858800e-07	1.92364	0.00715
4.874800e-07	1.92172	0.00716
4.890800e-07	1.91981	0.00718
4.906800e-07	1.9179	0.00719
4.922800e-07	1.91601	0.0072
4.938800e-07	1.91411	0.00722
4.954800e-07	1.91223	0.00724
4.970800e-07	1.91035	0.00725
4.986800e-07	1.90847	0.00728
5.002800e-07	1.9066	0.0073
5.018800e-07	1.90474	0.00732
5.034800e-07	1.90288	0.00735
5.050800e-07	1.90103	0.00737
5.066800e-07	1.89918	0.0074
5.082800e-07	1.89733	0.00743
5.098900e-07	1.89549	0.00746
5.114900e-07	1.89366	0.00749
5.130900e-07	1.89183	0.00753
5.146900e-07	1.89	0.00756
5.162900e-07	1.88817	0.0076
5.178900e-07	1.88635	0.00764
5.194900e-07	1.88454	0.00767
5.210900e-07	1.88273	0.00771
5.226900e-07	1.88092	0.00775
5.242900e-07	1.87911	0.0078
5.258900e-07	1.87731	0.00784
5.274900e-07	1.87551	0.00788
5.290900e-07	1.87371	0.00793
5.306900e-07	1.87192	0.00797
5.322900e-07	1.87013	0.00802
5.338900e-07	1.86834	0.00807
5.354900e-07	1.86655	0.00812
5.370900e-07	1.86477	0.00817
5.386800e-07	1.86299	0.00822
5.402800e-07	1.86121	0.00828
5.418800e-07	1.85943	0.00833
