Wavelength(m)	n	k
# material: MgO
# source: R.A. Synowicki and T. E. Tiwald. Optical properties of bulk c-ZrO2, c-MgO and a-As2S3 determined by variable angle spectroscopic ellipsometry. Thin Solid Films 455-456, 248-255 (2004) Calculation scripts (Python): Synowicki 2004 - MgO.py, Synowicki 2004 - Aux funcs.py
# conditions: Data generated from oscillator model.
# upstream: polyanskiy/refractiveindex.info-database@ff11b58 main/MgO/nk/Synowicki.yml
# type: tabulated nk
# range: 1.3010e-07 - 3.3000e-05 m
# converted: 2026-07-31 (wavelength um -> m)
1.301000e-07	2.149	0.70165
1.307100e-07	2.148	0.6906
1.313200e-07	2.1466	0.68016
1.319400e-07	2.145	0.67036
1.325600e-07	2.1432	0.66123
1.331900e-07	2.1415	0.65275
1.338200e-07	2.1398	0.64491
1.344700e-07	2.1383	0.63767
1.351100e-07	2.1371	0.63095
1.357700e-07	2.1363	0.62468
1.364300e-07	2.1358	0.61877
1.371000e-07	2.1358	0.61311
1.377700e-07	2.1363	0.60757
1.384500e-07	2.1372	0.60206
1.391400e-07	2.1385	0.59646
1.398300e-07	2.1402	0.59067
1.405300e-07	2.1421	0.58463
1.412400e-07	2.1442	0.57827
1.419600e-07	2.1462	0.57156
1.426800e-07	2.1482	0.56453
1.434100e-07	2.1499	0.55719
1.441400e-07	2.1513	0.54963
1.448900e-07	2.1523	0.54194
1.456400e-07	2.1527	0.53425
1.464000e-07	2.1525	0.52671
1.471700e-07	2.1516	0.51949
1.479500e-07	2.1502	0.5128
1.487300e-07	2.1481	0.50682
1.495300e-07	2.1456	0.50176
1.503300e-07	2.1426	0.49785
1.511400e-07	2.1394	0.49528
1.519600e-07	2.1361	0.49427
1.527900e-07	2.133	0.49502
1.536200e-07	2.1303	0.49769
1.544700e-07	2.1284	0.50239
1.553200e-07	2.1273	0.50912
1.561900e-07	2.1266	0.51756
1.570600e-07	2.1237	0.52904
1.579500e-07	2.116	0.55076
1.588400e-07	2.1124	0.59751
1.597500e-07	2.1423	0.66674
1.606700e-07	2.2019	0.73251
1.615900e-07	2.3225	0.83293
1.625300e-07	2.5855	0.82219
1.634800e-07	2.7819	0.61851
1.644300e-07	2.819	0.36116
1.654000e-07	2.7341	0.16155
