Wavelength(m)	n	k
# material: Si3N4
# source: K. Luke, Y. Okawachi, M. R. E. Lamont, A. L. Gaeta, M. Lipson. Broadband mid-infrared frequency comb generation in a Si3N4 microresonator. Opt. Lett. 40, 4823-4826 (2015)
# conditions: 340 nm Si3N4 on 3.1 um of thermal SiO2 on silicon.
# upstream: polyanskiy/refractiveindex.info-database@ff11b58 main/Si3N4/nk/Luke.yml
# type: formula 1
# note: dispersion formula sampled at 5000 points; k set to 0
# range: 3.1000e-07 - 5.5040e-06 m
# converted: 2026-07-31 by tools/convert_refractiveindex_info.py (wavelength um -> m)
3.100000e-07	2.17594	0
3.110390e-07	2.17459	0
3.120780e-07	2.17325	0
3.131170e-07	2.17194	0
3.141560e-07	2.17063	0
3.151950e-07	2.16935	0
3.162340e-07	2.16808	0
3.172731e-07	2.16682	0
3.183121e-07	2.16558	0
3.193511e-07	2.16436	0
3.203901e-07	2.16315	0
3.214291e-07	2.16195	0
3.224681e-07	2.16077	0
3.235071e-07	2.1596	0
3.245461e-07	2.15845	0
3.255851e-07	2.15731	0
3.266241e-07	2.15618	0
3.276631e-07	2.15507	0
3.287021e-07	2.15397	0
3.297411e-07	2.15288	0
3.307802e-07	2.1518	0
3.318192e-07	2.15074	0
3.328582e-07	2.14968	0
3.338972e-07	2.14864	0
3.349362e-07	2.14761	0
3.359752e-07	2.1466	0
3.370142e-07	2.14559	0
3.380532e-07	2.14459	0
3.390922e-07	2.14361	0
3.401312e-07	2.14264	0
3.411702e-07	2.14167	0
3.422092e-07	2.14072	0
3.432482e-07	2.13978	0
3.442873e-07	2.13885	0
3.453263e-07	2.13793	0
3.463653e-07	2.13701	0
3.474043e-07	2.13611	0
3.484433e-07	2.13522	0
3.494823e-07	2.13433	0
3.505213e-07	2.13346	0
3.515603e-07	2.13259	0
3.525993e-07	2.13174	0
3.536383e-07	2.13089	0
3.546773e-07	2.13005	0
3.557163e-07	2.12922	0
3.567554e-07	2.1284	0
3.577944e-07	2.12759	0
3.588334e-07	2.12678	0
3.598724e-07	2.12598	0
3.609114e-07	2.1252	0
3.619504e-07	2.12441	0
3.629894e-07	2.12364	0
3.640284e-07	2.12288	0
3.650674e-07	2.12212	0
3.661064e-07	2.12137	0
3.671454e-07	2.12063	0
3.681844e-07	2.11989	0
3.692234e-07	2.11916	0
3.702625e-07	2.11844	0
3.713015e-07	2.11772	0
3.723405e-07	2.11702	0
3.733795e-07	2.11632	0
3.744185e-07	2.11562	0
3.754575e-07	2.11493	0
3.764965e-07	2.11425	0
3.775355e-07	2.11358	0
3.785745e-07	2.11291	0
3.796135e-07	2.11225	0
3.806525e-07	2.11159	0
3.816915e-07	2.11094	0
3.827305e-07	2.1103	0
3.837696e-07	2.10966	0
3.848086e-07	2.10903	0
3.858476e-07	2.10841	0
3.868866e-07	2.10779	0
3.879256e-07	2.10717	0
3.889646e-07	2.10656	0
3.900036e-07	2.10596	0
3.910426e-07	2.10536	0
3.920816e-07	2.10477	0
3.931206e-07	2.10418	0
3.941596e-07	2.1036	0
3.951986e-07	2.10302	0
3.962376e-07	2.10245	0
3.972767e-07	2.10188	0
3.983157e-07	2.10132	0
3.993547e-07	2.10076	0
4.003937e-07	2.10021	0
4.014327e-07	2.09967	0
4.024717e-07	2.09912	0
4.035107e-07	2.09859	0
4.045497e-07	2.09805	0
4.055887e-07	2.09752	0
4.066277e-07	2.097	0
4.076667e-07	2.09648	0
4.087057e-07	2.09597	0
4.097447e-07	2.09546	0
4.107838e-07	2.09495	0
4.118228e-07	2.09445	0
4.128618e-07	2.09395	0
4.139008e-07	2.09346	0
4.149398e-07	2.09297	0
4.159788e-07	2.09248	0
4.170178e-07	2.092	0
4.180568e-07	2.09152	0
4.190958e-07	2.09105	0
4.201348e-07	2.09058	0
4.211738e-07	2.09011	0
4.222128e-07	2.08965	0
4.232519e-07	2.08919	0
4.242909e-07	2.08874	0
