Wavelength(m)	n	k
# material: SiO2
# source: G. Ghosh. Dispersion-equation coefficients for the refractive index and birefringence of calcite and quartz crystals. Opt. Commun. 163, 95-102 (1999)
# conditions: Extraordinary ray (e). Room temperature.
# upstream: polyanskiy/refractiveindex.info-database@ff11b58 main/SiO2/nk/Ghosh-e.yml
# type: formula 2
# note: dispersion formula sampled at 5000 points; k set to 0
# range: 1.9800e-07 - 2.0531e-06 m
# converted: 2026-07-31 by tools/convert_refractiveindex_info.py (wavelength um -> m)
1.980000e-07	1.66397	0
1.983711e-07	1.66339	0
1.987422e-07	1.66281	0
1.991133e-07	1.66223	0
1.994844e-07	1.66166	0
1.998555e-07	1.66109	0
2.002266e-07	1.66053	0
2.005977e-07	1.65997	0
2.009688e-07	1.65941	0
2.013398e-07	1.65886	0
2.017109e-07	1.65832	0
2.020820e-07	1.65778	0
2.024531e-07	1.65724	0
2.028242e-07	1.6567	0
2.031953e-07	1.65617	0
2.035664e-07	1.65565	0
2.039375e-07	1.65513	0
2.043086e-07	1.65461	0
2.046797e-07	1.6541	0
2.050508e-07	1.65359	0
2.054219e-07	1.65308	0
2.057930e-07	1.65258	0
2.061641e-07	1.65208	0
2.065352e-07	1.65158	0
2.069063e-07	1.65109	0
2.072774e-07	1.6506	0
2.076484e-07	1.65012	0
2.080195e-07	1.64964	0
2.083906e-07	1.64916	0
2.087617e-07	1.64869	0
2.091328e-07	1.64822	0
2.095039e-07	1.64775	0
2.098750e-07	1.64728	0
2.102461e-07	1.64682	0
2.106172e-07	1.64637	0
2.109883e-07	1.64591	0
2.113594e-07	1.64546	0
2.117305e-07	1.64501	0
2.121016e-07	1.64457	0
2.124727e-07	1.64413	0
2.128438e-07	1.64369	0
2.132149e-07	1.64325	0
2.135860e-07	1.64282	0
2.139571e-07	1.64239	0
2.143281e-07	1.64197	0
2.146992e-07	1.64154	0
2.150703e-07	1.64112	0
2.154414e-07	1.6407	0
2.158125e-07	1.64029	0
2.161836e-07	1.63988	0
2.165547e-07	1.63947	0
2.169258e-07	1.63906	0
2.172969e-07	1.63866	0
2.176680e-07	1.63826	0
2.180391e-07	1.63786	0
2.184102e-07	1.63746	0
2.187813e-07	1.63707	0
2.191524e-07	1.63668	0
2.195235e-07	1.63629	0
2.198946e-07	1.63591	0
2.202657e-07	1.63552	0
