Wavelength(m)	n	k
# material: SiO2
# source: F. Lemarchand. private communications (2013). Measurement method described in: L. Gao, F. Lemarchand, M. Lequime. Exploitation of multiple incidences spectrometric measurements for thin film reverse engineering. Opt. Express 20, 15734-15751 (2012)
# conditions: 580-nm monolayer deposited on BK7 substrate using the magnetron sputtering technique.
# upstream: polyanskiy/refractiveindex.info-database@ff11b58 main/SiO2/nk/Lemarchand.yml
# type: tabulated nk
# range: 2.5000e-07 - 2.5000e-06 m
# converted: 2026-07-31 by tools/convert_refractiveindex_info.py (wavelength um -> m)
2.500000e-07	1.51746	0.00026
2.550000e-07	1.51523	0.00024
2.600000e-07	1.51314	0.000222
2.650000e-07	1.51117	0.000206
2.700000e-07	1.50933	0.000191
2.750000e-07	1.5076	0.000179
2.800000e-07	1.50596	0.000167
2.850000e-07	1.50442	0.000157
2.900000e-07	1.50297	0.000148
2.950000e-07	1.50159	0.000139
3.000000e-07	1.50029	0.000132
3.050000e-07	1.49906	0.000125
3.100000e-07	1.49788	0.000118
3.150000e-07	1.49677	0.000112
3.200000e-07	1.49572	0.000107
3.250000e-07	1.49472	0.000102
3.300000e-07	1.49376	0
3.350000e-07	1.49285	0
3.400000e-07	1.49198	0
3.450000e-07	1.49115	0
3.500000e-07	1.49036	0
3.550000e-07	1.48961	0
3.600000e-07	1.48888	0
3.650000e-07	1.48819	0
3.700000e-07	1.48753	0
3.750000e-07	1.48689	0
3.800000e-07	1.48628	0
3.850000e-07	1.4857	0
3.900000e-07	1.48514	0
3.950000e-07	1.4846	0
4.000000e-07	1.48408	0
4.050000e-07	1.48358	0
4.100000e-07	1.4831	0
4.150000e-07	1.48264	0
4.200000e-07	1.4822	0
4.250000e-07	1.48177	0
4.300000e-07	1.48136	0
4.350000e-07	1.48096	0
4.400000e-07	1.48057	0
4.450000e-07	1.4802	0
4.500000e-07	1.47984	0
4.550000e-07	1.4795	0
4.600000e-07	1.47916	0
4.650000e-07	1.47884	0
4.700000e-07	1.47853	0
4.750000e-07	1.47822	0
4.800000e-07	1.47793	0
4.850000e-07	1.47765	0
4.900000e-07	1.47737	0
4.950000e-07	1.47711	0
5.000000e-07	1.47685	0
5.050000e-07	1.4766	0
5.100000e-07	1.47636	0
5.150000e-07	1.47612	0
5.200000e-07	1.47589	0
5.250000e-07	1.47567	0
5.300000e-07	1.47545	0
5.350000e-07	1.47524	0
5.400000e-07	1.47504	0
