Wavelength(m)	n	k
# material: SiO2
# source: 1) I. H. Malitson. Interspecimen comparison of the refractive index of fused silica. J. Opt. Soc. Am. 55, 1205-1208 (1965) 2) C. Z. Tan. Determination of refractive index of silica glass for infrared wavelengths by IR spectroscopy. J. Non-Cryst. Solids 223, 158-163 (1998) * Sellmeier formula is reported in Ref. 1 for the 0.21-3.71 um wavelength range. Ref. 2 verifies the validity of the formula up to 6.7 um.
# conditions: Fused silica, 20 degC
# upstream: polyanskiy/refractiveindex.info-database@ff11b58 main/SiO2/nk/Malitson.yml
# type: formula 1
# note: dispersion formula sampled at 5000 points; k set to 0
# range: 2.1000e-07 - 6.7000e-06 m
# converted: 2026-07-31 by tools/convert_refractiveindex_info.py (wavelength um -> m)
2.100000e-07	1.53836	0
2.112983e-07	1.53696	0
2.125965e-07	1.5356	0
2.138948e-07	1.53427	0
2.151930e-07	1.53297	0
2.164913e-07	1.53171	0
2.177896e-07	1.53048	0
2.190878e-07	1.52928	0
2.203861e-07	1.52811	0
2.216843e-07	1.52696	0
2.229826e-07	1.52585	0
2.242809e-07	1.52475	0
2.255791e-07	1.52369	0
2.268774e-07	1.52265	0
2.281756e-07	1.52163	0
2.294739e-07	1.52063	0
2.307722e-07	1.51966	0
2.320704e-07	1.51871	0
2.333687e-07	1.51778	0
2.346669e-07	1.51687	0
2.359652e-07	1.51598	0
2.372635e-07	1.51511	0
2.385617e-07	1.51425	0
2.398600e-07	1.51342	0
2.411582e-07	1.5126	0
2.424565e-07	1.5118	0
2.437548e-07	1.51101	0
2.450530e-07	1.51024	0
2.463513e-07	1.50949	0
2.476495e-07	1.50875	0
2.489478e-07	1.50802	0
2.502460e-07	1.50731	0
2.515443e-07	1.50662	0
2.528426e-07	1.50593	0
2.541408e-07	1.50526	0
2.554391e-07	1.5046	0
2.567373e-07	1.50396	0
2.580356e-07	1.50332	0
2.593339e-07	1.5027	0
2.606321e-07	1.50209	0
2.619304e-07	1.50149	0
2.632286e-07	1.5009	0
2.645269e-07	1.50033	0
2.658252e-07	1.49976	0
2.671234e-07	1.4992	0
2.684217e-07	1.49865	0
2.697199e-07	1.49812	0
2.710182e-07	1.49759	0
2.723165e-07	1.49707	0
2.736147e-07	1.49656	0
2.749130e-07	1.49605	0
2.762112e-07	1.49556	0
2.775095e-07	1.49507	0
2.788078e-07	1.4946	0
2.801060e-07	1.49413	0
2.814043e-07	1.49366	0
2.827025e-07	1.49321	0
2.840008e-07	1.49276	0
2.852991e-07	1.49232	0
2.865973e-07	1.49189	0
2.878956e-07	1.49146	0
2.891938e-07	1.49104	0
2.904921e-07	1.49063	0
2.917904e-07	1.49022	0
