Wavelength(m)	n	k
# material: Si
# source: M. A. Green. Self-consistent optical parameters of intrinsic silicon at 300K including temperature coefficients. Sol. Energ. Mat. Sol. Cells 92, 1305-1310 (2008)
# conditions: Combination of data sets enforcing KK consistency. 300 K (27 degC). k is for band-to-band absorption.
# upstream: polyanskiy/refractiveindex.info-database@ff11b58 main/Si/nk/Green-2008.yml
# type: tabulated nk
# range: 2.5000e-07 - 1.4500e-06 m
# converted: 2026-07-31 (wavelength um -> m)
2.500000e-07	1.665	3.665
2.600000e-07	1.757	4.084
2.700000e-07	2.068	4.68
2.800000e-07	2.959	5.287
2.900000e-07	4.356	5.286
3.000000e-07	4.976	4.234
3.100000e-07	5.121	3.598
3.200000e-07	5.112	3.303
3.300000e-07	5.195	3.1
3.400000e-07	5.301	2.977
3.500000e-07	5.494	2.938
3.600000e-07	6.026	2.966
3.700000e-07	6.891	2.171
3.800000e-07	6.616	0.946
3.900000e-07	6.039	0.445
4.000000e-07	5.613	0.296
4.100000e-07	5.33	0.227
4.200000e-07	5.119	0.176
4.300000e-07	4.949	0.138
4.400000e-07	4.812	0.107
4.500000e-07	4.691	0.086302
4.600000e-07	4.587	0.071381
4.700000e-07	4.497	0.062086
4.800000e-07	4.419	0.055004
4.900000e-07	4.35	0.049131
5.000000e-07	4.294	0.044165
5.100000e-07	4.241	0.039367
5.200000e-07	4.193	0.036415
5.300000e-07	4.151	0.033108
5.400000e-07	4.112	0.030295
5.500000e-07	4.077	0.027968
5.600000e-07	4.045	0.025758
5.700000e-07	4.015	0.024131
5.800000e-07	3.988	0.022524
5.900000e-07	3.963	0.021081
6.000000e-07	3.94	0.019934
6.100000e-07	3.918	0.018446
6.200000e-07	3.898	0.017367
6.300000e-07	3.879	0.016444
6.400000e-07	3.861	0.015432
6.500000e-07	3.844	0.014431
6.600000e-07	3.828	0.013498
6.700000e-07	3.813	0.012743
6.800000e-07	3.798	0.011905
6.900000e-07	3.784	0.011201
7.000000e-07	3.772	0.010528
7.100000e-07	3.759	0.010057
7.200000e-07	3.748	0.0096257
7.300000e-07	3.737	0.0089461
7.400000e-07	3.727	0.008362
7.500000e-07	3.717	0.0078185
7.600000e-07	3.708	0.007197
7.700000e-07	3.699	0.0067402
7.800000e-07	3.691	0.0063933
7.900000e-07	3.683	0.005834
8.000000e-07	3.675	0.0054113
8.100000e-07	3.668	0.0049955
8.200000e-07	3.661	0.0046134
8.300000e-07	3.654	0.0042734
8.400000e-07	3.647	0.0039439
8.500000e-07	3.641	0.003612
8.600000e-07	3.635	0.0032781
8.700000e-07	3.63	0.0029839
8.800000e-07	3.624	0.0026821
8.900000e-07	3.619	0.0024293
9.000000e-07	3.614	0.0021701
9.100000e-07	3.609	0.0019625
9.200000e-07	3.604	0.0017571
9.300000e-07	3.6	0.0015467
9.400000e-07	3.595	0.0013689
9.500000e-07	3.591	0.0011793
9.600000e-07	3.587	0.0010237
9.700000e-07	3.583	0.00087225
9.800000e-07	3.579	0.00074866
9.900000e-07	3.575	0.00062238
1.000000e-06	3.572	0.0005093
1.010000e-06	3.568	0.00041071
1.020000e-06	3.565	0.00032386
1.030000e-06	3.562	0.00024753
1.040000e-06	3.559	0.00018704
1.050000e-06	3.556	0.0001362
1.060000e-06	3.553	9.3631e-05
1.070000e-06	3.55	6.8118e-05
1.080000e-06	3.547	5.3285e-05
1.090000e-06	3.545	4.0768e-05
1.100000e-06	3.542	3.0637e-05
1.110000e-06	3.54	2.3849e-05
1.120000e-06	3.537	1.7825e-05
1.130000e-06	3.535	1.3488e-05
1.140000e-06	3.532	9.0718e-06
1.150000e-06	3.53	6.223e-06
1.160000e-06	3.528	3.877e-06
1.170000e-06	3.526	2.0483e-06
1.180000e-06	3.524	6.1036e-07
1.190000e-06	3.522	3.4091e-07
1.200000e-06	3.52	2.1008e-07
1.210000e-06	3.518	1.2518e-07
1.220000e-06	3.517	7.9609e-08
1.230000e-06	3.515	4.6004e-08
1.240000e-06	3.513	2.3682e-08
1.250000e-06	3.511	9.9472e-09
1.260000e-06	3.509	3.6096e-09
1.270000e-06	3.508	2.0213e-09
1.280000e-06	3.506	1.2223e-09
1.290000e-06	3.505	7.2885e-10
1.300000e-06	3.503	4.6553e-10
1.310000e-06	3.502	2.8147e-10
1.320000e-06	3.5	1.6807e-10
1.330000e-06	3.499	8.467e-11
1.340000e-06	3.497	3.7322e-11
1.350000e-06	3.496	1.8263e-11
1.360000e-06	3.495	1.0281e-11
1.370000e-06	3.494	6.5413e-12
1.380000e-06	3.492	4.173e-12
1.390000e-06	3.491	2.5441e-12
1.400000e-06	3.49	1.5597e-12
1.410000e-06	3.489	9.5374e-13
1.420000e-06	3.488	5.65e-13
1.430000e-06	3.487	2.8449e-13
1.440000e-06	3.486	2.0626e-13
1.450000e-06	3.485	1.3846e-13
