Wavelength(m)	n	k
# material: TiO2
# source: T. Siefke, S. Kroker, K. Pfeiffer, O. Puffky, K. Dietrich, D. Franta, I. Ohlidal, A. Szeghalmi, E.-B. Kley, A. Tunnermann. Materials pushing the application limits of wire grid polarizers further into the deep ultraviolet spectral range. Adv. Opt. Mater. 4, 1780-1786 (2016) (Numerical data kindly provided by Thomas Siefke)
# conditions: Film: prepared by ALD, 350 nm TiO2. See Ratzsch et al. Nanotechnology 26, 024003 (2015). Measurement: ellipsometer Jobin Yvon UVISEL2 VUV: 1.5-8.7 eV; ellipsometer Jobin Yvon UVISEL: 0.6-6.5 eV; ellipsometer Woollam IRVASE: 300-6500 cm-1; spectrophotometer McPhersom VUVas 2000: 5.6-10.3 eV; spectrophotometer Perkin Elmer Lambda 1050: 0.5-6.7 eV; spectrophotometer Bruker Vertex 80v: 80-7500 cm-1. Fit model: universal dispersion model. See Franta et al. Appl. Opt. 54, 9108-9119 (2015)."
# upstream: polyanskiy/refractiveindex.info-database@ff11b58 main/TiO2/nk/Siefke.yml
# type: tabulated nk
# range: 1.2018e-07 - 1.2512e-04 m
# converted: 2026-07-31 (wavelength um -> m)
1.201811e-07	1.12662	0.898839
1.208750e-07	1.12438	0.907025
1.215728e-07	1.12223	0.915711
1.222746e-07	1.1202	0.924914
1.229805e-07	1.11833	0.934646
1.236905e-07	1.11666	0.944919
1.244046e-07	1.11523	0.955743
1.251228e-07	1.11407	0.967125
1.258451e-07	1.11325	0.979069
1.265716e-07	1.11282	0.991575
1.273023e-07	1.11281	1.00464
1.280372e-07	1.1133	1.01826
1.287764e-07	1.11434	1.03241
1.295198e-07	1.11598	1.04709
1.302676e-07	1.11831	1.06226
1.310196e-07	1.12137	1.0779
1.317760e-07	1.12524	1.09398
1.325368e-07	1.13	1.11043
1.333019e-07	1.13571	1.12722
1.340715e-07	1.14247	1.14426
1.348455e-07	1.15038	1.16147
1.356239e-07	1.15956	1.17872
1.364069e-07	1.17012	1.19559
1.371944e-07	1.18167	1.21189
1.379864e-07	1.19411	1.22767
1.387830e-07	1.20737	1.24294
1.395842e-07	1.22142	1.25766
1.403900e-07	1.23622	1.27181
1.412005e-07	1.25175	1.28534
1.420157e-07	1.26797	1.29821
1.428356e-07	1.28483	1.31037
1.436602e-07	1.30228	1.32177
1.444895e-07	1.32027	1.33238
1.453237e-07	1.33874	1.34215
1.461626e-07	1.35761	1.35105
1.470064e-07	1.37682	1.35905
1.478551e-07	1.39629	1.36614
1.487087e-07	1.41594	1.37231
1.495672e-07	1.43571	1.37755
1.504306e-07	1.45552	1.38189
1.512991e-07	1.4753	1.38532
1.521726e-07	1.495	1.38787
1.530511e-07	1.51454	1.38955
1.539346e-07	1.53388	1.39041
1.548233e-07	1.55296	1.39045
1.557171e-07	1.57172	1.38971
1.566161e-07	1.59013	1.38822
1.575202e-07	1.60813	1.38601
1.584296e-07	1.62567	1.38312
1.593442e-07	1.64271	1.3796
1.602641e-07	1.6592	1.37547
1.611893e-07	1.67511	1.3708
1.621199e-07	1.6904	1.36563
1.630558e-07	1.70503	1.36001
1.639972e-07	1.71897	1.35402
1.649439e-07	1.73221	1.34771
1.658962e-07	1.74472	1.34115
1.668539e-07	1.7565	1.3344
1.678171e-07	1.76755	1.32754
1.687860e-07	1.77786	1.32062
1.697604e-07	1.78745	1.31373
1.707404e-07	1.79634	1.30691
1.717261e-07	1.80455	1.30024
1.727175e-07	1.81211	1.29376
1.737146e-07	1.81906	1.28754
1.747175e-07	1.82543	1.28161
1.757261e-07	1.83126	1.27603
1.767406e-07	1.83661	1.27082
1.777609e-07	1.84151	1.26602
1.787872e-07	1.84601	1.26166
1.798193e-07	1.85016	1.25776
1.808574e-07	1.85401	1.25434
1.819015e-07	1.8576	1.25141
1.829516e-07	1.86099	1.24899
