Wavelength(m)	n	k
# material: Ti
# source: P. B. Johnson and R. W. Christy. Optical constants of transition metals: Ti, V, Cr, Mn, Fe, Co, Ni, and Pd. Phys. Rev. B 9, 5056-5070 (1974)
# conditions: Room temperature
# upstream: polyanskiy/refractiveindex.info-database@ff11b58 main/Ti/nk/Johnson.yml
# type: tabulated nk
# range: 1.8800e-07 - 1.9370e-06 m
# converted: 2026-07-31 by tools/convert_refractiveindex_info.py (wavelength um -> m)
1.880000e-07	1.1	1.62
1.920000e-07	1.16	1.64
1.950000e-07	1.22	1.66
1.990000e-07	1.25	1.68
2.030000e-07	1.27	1.69
2.070000e-07	1.31	1.69
2.120000e-07	1.31	1.68
2.160000e-07	1.32	1.67
2.210000e-07	1.32	1.66
2.260000e-07	1.32	1.66
2.310000e-07	1.31	1.68
2.370000e-07	1.3	1.72
2.430000e-07	1.28	1.77
2.490000e-07	1.27	1.83
2.550000e-07	1.26	1.91
2.620000e-07	1.27	1.99
2.690000e-07	1.27	2.07
2.760000e-07	1.3	2.17
2.840000e-07	1.35	2.26
2.920000e-07	1.4	2.36
3.010000e-07	1.45	2.46
3.110000e-07	1.5	2.57
3.200000e-07	1.55	2.66
3.320000e-07	1.61	2.74
3.420000e-07	1.72	2.82
3.540000e-07	1.82	2.87
3.680000e-07	1.9	2.9
3.810000e-07	1.99	2.93
3.970000e-07	2.08	2.95
4.130000e-07	2.14	2.98
4.310000e-07	2.21	3.01
4.510000e-07	2.27	3.04
4.710000e-07	2.32	3.1
4.960000e-07	2.36	3.19
5.210000e-07	2.44	3.3
5.490000e-07	2.54	3.43
5.820000e-07	2.6	3.58
6.170000e-07	2.67	3.72
6.590000e-07	2.76	3.84
7.040000e-07	2.86	3.96
7.560000e-07	3	4.01
8.210000e-07	3.21	4.01
8.920000e-07	3.29	3.96
9.840000e-07	3.35	3.97
1.088000e-06	3.5	4.02
1.216000e-06	3.62	4.15
1.393000e-06	3.67	4.37
1.610000e-06	3.69	4.7
1.937000e-06	3.51	5.19
